Impedivity,PhaseAngle,HFSlope,Impendance,AreaSpectrum,AreaNorm,MaxSpectrum,DistanceReal,LengthCurve,target
524.794,0.187,0.032,228.8,6843.598,29.911,60.205,220.737,556.828,car
330.0,0.227,0.265,121.154,3163.239,26.109,69.717,99.085,400.226,car
380.0,0.241,0.286,137.64,5402.171,39.249,88.758,105.199,493.702,car
362.831,0.201,0.244,124.913,3290.462,26.342,69.389,103.867,424.797,car
389.873,0.15,0.098,118.626,2475.557,20.869,49.757,107.686,429.386,car
290.455,0.144,0.053,74.635,1189.545,15.938,35.703,65.541,330.267,car
275.677,0.154,0.188,91.528,1756.235,19.188,39.305,82.659,331.588,car
470.0,0.213,0.225,184.59,8185.361,44.343,84.482,164.123,603.316,car
500.0,0.227,0.051,219.296,9819.45,44.777,76.868,207.267,602.528,car
438.78,0.212,0.061,120.902,4879.496,40.359,80.792,89.944,525.42,car
366.942,0.28,0.252,172.746,7064.816,40.897,75.604,155.322,471.588,car
485.669,0.23,0.134,253.894,8135.968,32.045,64.855,245.471,541.364,car
390.0,0.358,0.204,245.686,10055.837,40.93,70.325,236.49,477.548,car
269.496,0.208,0.038,80.411,1963.605,24.42,44.74,66.838,329.091,car
300.0,0.19,0.167,97.108,3039.561,31.301,51.354,82.418,387.078,car
294.475,0.207,0.468,194.871,5541.256,28.436,36.766,191.805,445.513,car
500.0,0.193,0.195,144.689,3055.013,21.114,96.563,107.751,542.897,car
211.0,0.054,0.094,30.753,151.985,4.942,14.268,27.243,217.131,fad
196.857,0.02,0.091,28.593,82.059,2.87,7.969,27.662,200.749,fad
352.656,0.122,0.091,68.528,1066.158,15.558,43.692,52.793,382.733,fad
243.294,0.04,0.067,68.545,383.928,5.601,9.991,67.817,263.641,fad
259.885,0.071,0.007,58.244,465.087,7.985,17.507,56.34,267.517,fad
250.0,0.068,-0.015,57.172,652.901,11.42,17.777,55.791,278.309,fad
200.0,0.038,0.117,42.317,220.811,5.218,10.676,40.948,218.034,fad
355.0,0.064,0.084,89.558,1033.854,11.544,27.563,86.577,372.04,fad
272.0,0.091,0.005,63.789,718.946,11.271,20.086,60.691,286.92,fad
160.322,0.177,0.163,37.217,341.881,9.186,30.889,20.76,187.567,fad
301.304,0.11,0.036,64.616,942.773,14.59,29.046,57.72,335.768,fad
144.0,0.121,0.046,19.648,70.426,3.584,18.131,7.569,160.374,fad
195.0,0.139,0.205,37.462,328.384,8.766,35.024,13.295,232.588,mas
435.093,0.077,0.161,123.598,1342.278,10.86,37.385,117.808,433.202,mas
250.0,0.047,0.014,70.907,224.146,3.161,9.102,70.32,232.278,mas
339.509,0.045,0.03,88.63,331.08,3.736,19.826,87.621,307.793,mas
236.0,0.125,0.202,48.451,236.88,4.889,36.007,32.42,244.965,mas
481.467,0.079,0.016,79.059,1154.338,14.601,33.929,71.408,501.893,mas
252.0,0.106,0.031,38.544,493.79,12.811,25.541,28.867,280.658,mas
172.516,0.127,0.038,37.544,192.218,5.12,19.322,32.19,174.934,mas
121.0,0.174,0.091,24.437,144.467,5.912,22.021,10.595,141.766,mas
370.396,0.105,0.0,115.923,1308.12,11.284,31.367,112.715,365.978,mas
260.278,0.079,0.033,58.818,277.259,4.714,17.869,56.038,248.623,mas
544.654,0.064,0.002,100.788,1189.29,11.8,29.412,96.58,553.358,mas
310.0,0.175,0.165,98.51,2741.032,27.825,49.328,85.27,388.978,mas
274.993,0.147,0.138,66.458,1217.416,18.319,40.85,52.421,327.559,mas
470.516,0.127,0.066,150.224,2657.91,17.693,47.561,142.496,491.472,gla
223.0,0.124,0.08,33.096,197.013,5.953,30.455,12.956,252.483,gla
