RULE 1: IF Glucose <= 111 AND DiabetesPedigreeFunction <= 0.660500 THEN target in {False}, COVERING: 0.478697(wo cond. 1: 0.328321; wo cond. 2: 0.100251), ERROR: 0.079070(wo cond. 1: 0.595349; wo cond. 2: 0.093023)
RULE 2: IF BMI <= 27.850000 THEN target in {False}, COVERING: 0.385965(wo cond. 1: 0.614035), ERROR: 0.088372(wo cond. 1: 0.911628)
RULE 3: IF Glucose <= 127 AND Insulin <= 121 THEN target in {False}, COVERING: 0.298246(wo cond. 1: 0.020050; wo cond. 2: 0.486216), ERROR: 0.046512(wo cond. 1: 0.060465; wo cond. 2: 0.293023)
RULE 4: IF Glucose <= 161 AND 99 < Insulin <= 525 AND 27.550000 < BMI <= 49.050000 AND DiabetesPedigreeFunction > 0.141500 AND Age <= 28 THEN target in {False}, COVERING: 0.223058(wo cond. 1: 0.002506; wo cond. 2: 0.105263; wo cond. 3: 0.127820; wo cond. 4: 0.012531; wo cond. 5: 0.223058), ERROR: 0.097674(wo cond. 1: 0.074419; wo cond. 2: 0.027907; wo cond. 3: 0.027907; wo cond. 4: 0.013953; wo cond. 5: 0.413953)
RULE 5: IF 108 < Glucose <= 160 AND Insulin <= 479 AND 28.450000 < BMI <= 45.950000 AND DiabetesPedigreeFunction <= 0.342500 AND Age > 23 THEN target in {False}, COVERING: 0.107769(wo cond. 1: 0.120301; wo cond. 2: 0.000000; wo cond. 3: 0.062657; wo cond. 4: 0.100251; wo cond. 5: 0.022556), ERROR: 0.093023(wo cond. 1: 0.125581; wo cond. 2: 0.009302; wo cond. 3: 0.055814; wo cond. 4: 0.265116; wo cond. 5: 0.013953)
RULE 6: IF 2 < Pregnancies <= 4 AND SkinThickness <= 35 AND DiabetesPedigreeFunction > 0.277500 THEN target in {False}, COVERING: 0.105263(wo cond. 1: 0.428571; wo cond. 2: 0.012531; wo cond. 3: 0.065163), ERROR: 0.074419(wo cond. 1: 0.418605; wo cond. 2: 0.037209; wo cond. 3: 0.060465)
RULE 7: IF Pregnancies <= 7 AND Glucose > 105 AND BloodPressure > 51 AND Insulin > 123 AND DiabetesPedigreeFunction > 0.594000 AND Age > 28 THEN target in {False}, COVERING: 0.060150(wo cond. 1: 0.015038; wo cond. 2: 0.010025; wo cond. 3: 0.002506; wo cond. 4: 0.002506; wo cond. 5: 0.125313; wo cond. 6: 0.040100), ERROR: 0.097674(wo cond. 1: 0.097674; wo cond. 2: 0.013953; wo cond. 3: 0.009302; wo cond. 4: 0.013953; wo cond. 5: 0.279070; wo cond. 6: 0.051163)
RULE 8: IF 136 < Glucose <= 173 AND 36 < SkinThickness <= 45 THEN target in {False}, COVERING: 0.027569(wo cond. 1: 0.085213; wo cond. 2: 0.110276), ERROR: 0.046512(wo cond. 1: 0.120930; wo cond. 2: 0.302326)
RULE 9: IF 136 < Glucose <= 193 AND BloodPressure <= 71 AND Insulin <= 126 THEN target in {False}, COVERING: 0.027569(wo cond. 1: 0.360902; wo cond. 2: 0.062657; wo cond. 3: 0.027569), ERROR: 0.037209(wo cond. 1: 0.148837; wo cond. 2: 0.195349; wo cond. 3: 0.106977)
RULE 10: IF Glucose > 143 AND BMI > 21.050000 THEN target in {True}, COVERING: 0.483721(wo cond. 1: 0.516279; wo cond. 2: 0.000000), ERROR: 0.097744(wo cond. 1: 0.857143; wo cond. 2: 0.002506)
RULE 11: IF 89 < Glucose <= 140 AND BloodPressure > 34 AND SkinThickness <= 53 AND Insulin > 22 AND BMI > 26.050000 AND DiabetesPedigreeFunction > 0.146000 AND 30 < Age <= 56 THEN target in {True}, COVERING: 0.306977(wo cond. 1: 0.246512; wo cond. 2: 0.000000; wo cond. 3: 0.000000; wo cond. 4: 0.000000; wo cond. 5: 0.000000; wo cond. 6: 0.004651; wo cond. 7: 0.153488), ERROR: 0.097744(wo cond. 1: 0.097744; wo cond. 2: 0.002506; wo cond. 3: 0.005013; wo cond. 4: 0.002506; wo cond. 5: 0.047619; wo cond. 6: 0.012531; wo cond. 7: 0.313283)
RULE 12: IF Glucose > 75 AND 28 < SkinThickness <= 36 AND BMI > 27.850000 AND DiabetesPedigreeFunction <= 0.264500 THEN target in {True}, COVERING: 0.158140(wo cond. 1: 0.000000; wo cond. 2: 0.055814; wo cond. 3: 0.027907; wo cond. 4: 0.330233), ERROR: 0.097744(wo cond. 1: 0.007519; wo cond. 2: 0.092732; wo cond. 3: 0.075188; wo cond. 4: 0.195489)
RULE 13: IF 127 < Glucose <= 143 AND 0.116500 < DiabetesPedigreeFunction <= 0.702500 THEN target in {True}, COVERING: 0.139535(wo cond. 1: 0.581395; wo cond. 2: 0.037209), ERROR: 0.097744(wo cond. 1: 0.719298; wo cond. 2: 0.017544)
RULE 14: IF Glucose <= 142 AND SkinThickness > 18 AND Insulin > 66 AND BMI > 32.450000 AND DiabetesPedigreeFunction > 0.269500 AND Age <= 30 THEN target in {True}, COVERING: 0.111628(wo cond. 1: 0.083721; wo cond. 2: 0.000000; wo cond. 3: 0.000000; wo cond. 4: 0.018605; wo cond. 5: 0.018605; wo cond. 6: 0.158140), ERROR: 0.095238(wo cond. 1: 0.017544; wo cond. 2: 0.007519; wo cond. 3: 0.027569; wo cond. 4: 0.135338; wo cond. 5: 0.075188; wo cond. 6: 0.055138)
RULE 15: IF 61 < Age <= 71 THEN target in {True}, COVERING: 0.023256(wo cond. 1: 0.976744), ERROR: 0.042607(wo cond. 1: 0.957393)
RULE 16: IF SkinThickness <= 13 THEN target in {True}, COVERING: 0.013953(wo cond. 1: 0.986047), ERROR: 0.060150(wo cond. 1: 0.939850)
