Task,Name,Description,Type,Output,OutputValue,Training,Validation,Test,Whole
llm1_cpy_cpy_1,ExecTime,Elapsed time (sec),continuous,,,,,,0.000
llm1_cpy_cpy_1,NumDist,Number of distinct samples,integer,,,538.000,,,
llm1_cpy_cpy_1,Size,Number of samples,integer,Outcome,,538.000,,,
llm1_cpy_cpy_1,NumRule,Number of rules,integer,Outcome,,,,,15.000
llm1_cpy_cpy_1,NumRuleAtt,Number of attributes in rules,integer,Outcome,,,,,9.000
llm1_cpy_cpy_1,MinCondRule,Minimum number of conditions in a rule,integer,Outcome,,,,,1.000
llm1_cpy_cpy_1,MaxCondRule,Maximum number of conditions in a rule,integer,Outcome,,,,,7.000
llm1_cpy_cpy_1,AveCondRule,Average number of conditions in a rule,continuous,Outcome,,,,,3.267
llm1_cpy_cpy_1,MinCovRule,Minimum covering for a rule (%),continuous,Outcome,,,,,2.500
llm1_cpy_cpy_1,MaxCovRule,Maximum covering for a rule (%),continuous,Outcome,,,,,52.367
llm1_cpy_cpy_1,AveCovRule,Average covering for a rule (%),continuous,Outcome,,,,,18.534
llm1_cpy_cpy_1,MinErrRule,Minimum error for a rule,continuous,Outcome,,,,,3.550
llm1_cpy_cpy_1,MaxErrRule,Maximum error for a rule,continuous,Outcome,,,,,10.000
llm1_cpy_cpy_1,AveErrRule,Average error for a rule,continuous,Outcome,,,,,8.839
pima_apply,ExecTime,Elapsed time (sec),continuous,,,,,,0.000
pima_apply,Size,Number of samples,integer,Outcome,,538.000,0.000,230.000,768.000
pima_apply,Corr,Correctness (%),continuous,Outcome,,81.041,0.000,73.043,78.646
pima_apply,Acc,Accuracy,continuous,Outcome,False,0.810,0.000,0.730,0.786
pima_apply,Acc,Accuracy,continuous,Outcome,True,0.810,0.000,0.730,0.786
pima_apply,Prec,Precision | Positive predictive value,continuous,Outcome,False,0.899,0.000,0.842,0.880
pima_apply,Prec,Precision | Positive predictive value,continuous,Outcome,True,0.702,0.000,0.536,0.660
pima_apply,Npv,Negative predictive value | Negative reliability,continuous,Outcome,False,0.702,0.000,0.536,0.660
pima_apply,Npv,Negative predictive value | Negative reliability,continuous,Outcome,True,0.899,0.000,0.842,0.880
pima_apply,Sens,Sensitivity | Recall | True positive rate,continuous,Outcome,False,0.787,0.000,0.759,0.778
pima_apply,Sens,Sensitivity | Recall | True positive rate,continuous,Outcome,True,0.850,0.000,0.662,0.802
pima_apply,Spec,Specificity | True negative rate,continuous,Outcome,False,0.850,0.000,0.662,0.802
pima_apply,Spec,Specificity | True negative rate,continuous,Outcome,True,0.787,0.000,0.759,0.778
pima_apply,Cov,Coverage,continuous,Outcome,False,0.550,0.000,0.635,0.576
pima_apply,Cov,Coverage,continuous,Outcome,True,0.450,0.000,0.365,0.424
pima_apply,Supp,Support | Frequency,continuous,Outcome,False,0.494,0.000,0.535,0.507
pima_apply,Supp,Support | Frequency,continuous,Outcome,True,0.316,0.000,0.196,0.280
pima_apply,Nov,Novelty,continuous,Outcome,False,0.149,0.000,0.088,0.132
pima_apply,Nov,Novelty,continuous,Outcome,True,0.149,0.000,0.088,0.132
pima_apply,Sat,Satisfaction,continuous,Outcome,False,0.727,0.000,0.467,0.656
pima_apply,Sat,Satisfaction,continuous,Outcome,True,0.526,0.000,0.341,0.477
pima_apply,RPrec,Relative precision,continuous,Outcome,False,0.270,0.000,0.138,0.229
pima_apply,RPrec,Relative precision,continuous,Outcome,True,0.331,0.000,0.240,0.311
pima_apply,RNpv,Relative negative reliability,continuous,Outcome,False,0.331,0.000,0.240,0.311
pima_apply,RNpv,Relative negative reliability,continuous,Outcome,True,0.270,0.000,0.138,0.229
pima_apply,RSens,Relative sensitivity,continuous,Outcome,False,0.237,0.000,0.124,0.202
pima_apply,RSens,Relative sensitivity,continuous,Outcome,True,0.400,0.000,0.297,0.378
pima_apply,RSpec,Relative specificity,continuous,Outcome,False,0.400,0.000,0.297,0.378
pima_apply,RSpec,Relative specificity,continuous,Outcome,True,0.237,0.000,0.124,0.202
pima_apply,FMeas,F-measure,continuous,Outcome,False,0.839,0.000,0.799,0.826
pima_apply,FMeas,F-measure,continuous,Outcome,True,0.769,0.000,0.592,0.724
pima_apply,Mcc,Matthews correlation coefficient,continuous,Outcome,False,0.619,0.000,0.399,0.560
pima_apply,Mcc,Matthews correlation coefficient,continuous,Outcome,True,0.619,0.000,0.399,0.560
pima_apply,Tot,Total number of samples for each class,integer,Outcome,False,338.000,0.000,39.000,500.000
pima_apply,Tot,Total number of samples for each class,integer,Outcome,True,200.000,0.000,45.000,268.000
pima_apply,Reject,Samples not covered by rules,integer,Outcome,False,538.000,0.000,230.000,768.000
