,method,fold,right-distance,right-weight,left-distance,left-weight
0,perm,0,0.27108433734939763,0.16265060240963863,0.22891566265060245,0.3373493975903614
1,gini,0,0.23564180298293141,0.25447705427667994,0.24857949717752006,0.2613016455628686
2,shap,0,0.28052490248376327,0.25156368860495026,0.22472877917062334,0.2431826297406632
3,support_impurity_centrality,0,0.23964190582552403,0.2323384538303834,0.270455259595017,0.25756438074907556
4,confidence_impurity_centrality,0,0.2498530546081191,0.24970884975230326,0.25023844852719845,0.2501996471123792
5,lift_impurity_centrality,0,0.25,0.25,0.25,0.25
6,equal_impurity_centrality,0,0.2498320041359233,0.2497002915888578,0.25025980049441604,0.2502079037808029
7,relevance_impurity_centrality,0,0.24131858848540588,0.24002112757375188,0.2597884446341161,0.25887183930672614
8,support_relevance_centrality,0,0.7962215575259939,0.04993775854548177,0.08841882973328194,0.06542185419524241
9,confidence_relevance_centrality,0,0.753565566664459,0.08007706554404687,0.09366345778654732,0.07269391000494689
10,lift_relevance_centrality,0,0.7499155091948289,0.08119074509111175,0.09519464505159077,0.07369910066246863
11,equal_relevance_centrality,0,0.7535491873409698,0.08008296358219438,0.09366526549208642,0.07270258358474944
12,relevance_relevance_centrality,0,0.7961417150988928,0.049962434353172595,0.08845463695345408,0.06544121359448055
13,perm,1,0.22333333333333336,0.2966666666666667,0.2533333333333333,0.22666666666666666
14,gini,1,0.27285620818772494,0.24098644127040328,0.25193354068551765,0.23422380985635413
15,shap,1,0.23207596275380718,0.2537779031055891,0.2507847543343683,0.2633613798062353
16,support_impurity_centrality,1,0.20644877844156892,0.28541449473398395,0.26073629676179627,0.24740043006265086
17,confidence_impurity_centrality,1,0.20872771399864762,0.28063688004625004,0.27554768338658436,0.23508772256851795
18,lift_impurity_centrality,1,0.23901082760526177,0.25319414640885046,0.26146706234503597,0.24632796364085185
19,equal_impurity_centrality,1,0.21668359177966726,0.27054322185578766,0.271347866028425,0.24142532033611996
20,relevance_impurity_centrality,1,0.20345700373645262,0.26259283381301973,0.2793851612018228,0.2545650012487049
21,support_relevance_centrality,1,0.16763868211720273,0.29582753171969184,0.20042602586993827,0.33610776029316713
22,confidence_relevance_centrality,1,0.19880534901394512,0.2763730246822445,0.20352645727176388,0.3212951690320465
23,lift_relevance_centrality,1,0.20224419134965643,0.27267351941731965,0.21283791522055426,0.3122443740124697
24,equal_relevance_centrality,1,0.20063090131175162,0.27546397343401613,0.20523109540907924,0.318674029845153
25,relevance_relevance_centrality,1,0.16855297260830937,0.2951094523398276,0.2019249232730553,0.3344126517788077
26,perm,2,0.23853211009174305,0.24464831804281337,0.27217125382262997,0.24464831804281348
27,gini,2,0.2161615579207526,0.23469431428158574,0.27901831735498717,0.2701258104426744
28,shap,2,0.2708819146480761,0.2524704124856571,0.25131616385271777,0.22533150901354904
29,support_impurity_centrality,2,0.23766446371981215,0.23553869410639972,0.2893468357427671,0.23745000643102104
30,confidence_impurity_centrality,2,0.22816747208417315,0.226003286973731,0.2842987589182486,0.2615304820238472
31,lift_impurity_centrality,2,0.22987483734204883,0.22773638295026036,0.2821025071027587,0.2602862726049322
32,equal_impurity_centrality,2,0.23701386195780058,0.23158792605557135,0.2734562434000286,0.2579419685865995
33,relevance_impurity_centrality,2,0.23714338427269457,0.2364113762939828,0.2888730348287266,0.23757220460459608
34,support_relevance_centrality,2,0.32219039229970475,0.2913392693646443,0.11792545193017784,0.268544886405473
35,confidence_relevance_centrality,2,0.3044725618799488,0.29038241785386576,0.13807876823815754,0.2670662520280279
36,lift_relevance_centrality,2,0.30438970387849856,0.2904046097353335,0.13813152993805075,0.2670741564481172
37,equal_relevance_centrality,2,0.3065953134337828,0.2860508277965481,0.14596923950091756,0.2613846192687515
38,relevance_relevance_centrality,2,0.32168623210162334,0.29128472683873885,0.11701566449451328,0.2700133765651245
39,perm,3,0.2875,0.21749999999999997,0.19749999999999995,0.29749999999999993
40,gini,3,0.21886851225793885,0.2907193887234218,0.2342152419355983,0.2561968570830411
