,method,fold,selected,metric,value
0,perm,0,2,A,0.7142857142857143
1,perm,0,2,MCC,0.4763011572314661
2,perm,0,3,A,0.746031746031746
3,perm,0,3,MCC,0.5358388018853993
4,perm,0,4,A,0.7142857142857143
5,perm,0,4,MCC,0.5355408288991393
6,perm,0,5,A,0.7142857142857143
7,perm,0,5,MCC,0.5355408288991393
8,perm,0,6,A,0.7142857142857143
9,perm,0,6,MCC,0.5355408288991393
10,perm,0,7,A,0.7142857142857143
11,perm,0,7,MCC,0.5355408288991393
12,perm,0,8,A,0.7142857142857143
13,perm,0,8,MCC,0.5355408288991393
14,perm,0,9,A,0.7142857142857143
15,perm,0,9,MCC,0.5355408288991393
16,perm,0,10,A,0.7142857142857143
17,perm,0,10,MCC,0.5355408288991393
18,perm,0,11,A,0.7142857142857143
19,perm,0,11,MCC,0.5355408288991393
20,gini,0,2,A,0.6984126984126984
21,gini,0,2,MCC,0.4474371632587326
22,gini,0,3,A,0.7301587301587301
23,gini,0,3,MCC,0.5158840715020624
24,gini,0,4,A,0.7142857142857143
25,gini,0,4,MCC,0.5355408288991393
26,gini,0,5,A,0.7142857142857143
27,gini,0,5,MCC,0.5355408288991393
28,gini,0,6,A,0.7142857142857143
29,gini,0,6,MCC,0.5355408288991393
30,gini,0,7,A,0.7142857142857143
31,gini,0,7,MCC,0.5355408288991393
32,gini,0,8,A,0.7142857142857143
33,gini,0,8,MCC,0.5355408288991393
34,gini,0,9,A,0.7142857142857143
35,gini,0,9,MCC,0.5355408288991393
36,gini,0,10,A,0.7142857142857143
37,gini,0,10,MCC,0.5355408288991393
38,gini,0,11,A,0.7142857142857143
39,gini,0,11,MCC,0.5355408288991393
40,shap,0,2,A,0.6031746031746031
41,shap,0,2,MCC,0.2676491846349737
42,shap,0,3,A,0.7301587301587301
43,shap,0,3,MCC,0.5314418491416619
44,shap,0,4,A,0.7142857142857143
45,shap,0,4,MCC,0.5355408288991393
46,shap,0,5,A,0.7142857142857143
47,shap,0,5,MCC,0.5355408288991393
48,shap,0,6,A,0.7142857142857143
49,shap,0,6,MCC,0.5355408288991393
50,shap,0,7,A,0.7142857142857143
51,shap,0,7,MCC,0.5355408288991393
52,shap,0,8,A,0.7142857142857143
53,shap,0,8,MCC,0.5355408288991393
54,shap,0,9,A,0.7142857142857143
55,shap,0,9,MCC,0.5355408288991393
56,shap,0,10,A,0.7142857142857143
57,shap,0,10,MCC,0.5355408288991393
58,shap,0,11,A,0.7142857142857143
59,shap,0,11,MCC,0.5355408288991393
60,support_impurity_centrality,0,2,A,0.7777777777777778
61,support_impurity_centrality,0,2,MCC,0.5965828843449767
