,method,fold,radius1,texture1,perimeter1,area1,smoothness1,compactness1,concavity1,concave_points1,symmetry1,fractal_dimension1,radius2,texture2,perimeter2,area2,smoothness2,compactness2,concavity2,concave_points2,symmetry2,fractal_dimension2,radius3,texture3,perimeter3,area3,smoothness3,compactness3,concavity3,concave_points3,symmetry3,fractal_dimension3
0,perm,0,0.0,0.0,0.0,0.0,0.03664921465968589,0.0,0.0,0.07329842931937178,0.0,0.0,0.0,0.0,0.0,0.2198952879581151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04188481675392674,0.6125654450261777,0.0,-0.04712041884816735,0.0,0.0,0.06282722513089008,0.0,0.0
1,gini,0,0.0,0.0,0.0,0.009307466074181179,0.029427208733059176,0.0,0.0,0.0380579718620017,0.0,0.0,0.0,0.0,0.0,0.039874331054858284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06339728487836305,0.6544158275332443,0.0,0.015671745596967473,0.0,0.0,0.14984816426732486,0.0,0.0
2,shap,0,0.0,0.0,0.0,0.02231387088661619,0.05656177555955979,0.0,0.0,0.07720319131511753,0.0,0.0,0.0,0.0,0.0,0.09510161870683537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10725451105961699,0.43923048255238434,0.0,0.029427457192159733,0.0,0.0,0.17290709272771,0.0,0.0
3,support_impurity_centrality,0,0.0,0.0,0.0,0.030873059484320974,0.025360235907228572,0.0,0.0,0.054897328669673236,0.0,0.0,0.0,0.0,0.0,0.019370445440809184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14090652338873175,0.5474844842953728,0.0,0.03673362261349172,0.0,0.0,0.14437430020037184,0.0,0.0
4,confidence_impurity_centrality,0,0.0,0.0,0.0,0.11323438781596586,0.13075084916209073,0.0,0.0,0.041968639639703674,0.0,0.0,0.0,0.0,0.0,0.017818477216835098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13252379320125673,0.24755786196303503,0.0,0.03399280462435704,0.0,0.0,0.28215318637675574,0.0,0.0
5,lift_impurity_centrality,0,0.0,0.0,0.0,0.12922870043307452,0.10123418142407667,0.0,0.0,0.048507060745544874,0.0,0.0,0.0,0.0,0.0,0.01608703189992735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13413576328426113,0.25281957199726435,0.0,0.03568491653005359,0.0,0.0,0.2823027736857975,0.0,0.0
6,equal_impurity_centrality,0,0.0,0.0,0.0,0.10947366475831619,0.12640837208657268,0.0,0.0,0.04847232733027163,0.0,0.0,0.0,0.0,0.0,0.018943994457365394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1369222147860503,0.2484828569638703,0.0,0.03398691802801691,0.0,0.0,0.2773096515895366,0.0,0.0
7,relevance_impurity_centrality,0,0.0,0.0,0.0,0.036454565808584756,0.023920984332031266,0.0,0.0,0.05698172338177463,0.0,0.0,0.0,0.0,0.0,0.01446699048780902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14003087895106273,0.5706957545157528,0.0,0.02718103312139747,0.0,0.0,0.13026806940158733,0.0,0.0
8,support_relevance_centrality,0,0.0,0.0,0.0,6.893897130227318e-09,0.011433122403528803,0.0,0.0,2.297159094605881e-05,0.0,0.0,0.0,0.0,0.0,0.007351190593997108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002619571272013117,0.9222182901618085,0.0,1.6640901405415523e-05,0.0,0.0,0.056338206182403865,0.0,0.0
9,confidence_relevance_centrality,0,0.0,0.0,0.0,2.1825979289005598e-07,0.011776519340385259,0.0,0.0,0.00016459025806517643,0.0,0.0,0.0,0.0,0.0,0.004551186729762097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023020597164036287,0.9475136430875698,0.0,8.110283452904442e-05,0.0,0.0,0.03361067977349211,0.0,0.0
10,lift_relevance_centrality,0,0.0,0.0,0.0,1.9972002076756044e-07,0.012006649574085792,0.0,0.0,0.00014513328969830984,0.0,0.0,0.0,0.0,0.0,0.0028145646287800552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014267289669621175,0.963336485953232,0.0,5.008329530424875e-05,0.0,0.0,0.02022015457191678,0.0,0.0
11,equal_relevance_centrality,0,0.0,0.0,0.0,2.1820746646727558e-07,0.011773695993392546,0.0,0.0,0.000199416028212278,0.0,0.0,0.0,0.0,0.0,0.004596033785295726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023557437333592093,0.9473737489304392,0.0,8.628286517667111e-05,0.0,0.0,0.03361486045665789,0.0,0.0
12,relevance_relevance_centrality,0,0.0,0.0,0.0,6.956474172643029e-09,0.011791307330245865,0.0,0.0,1.99443388046769e-05,0.0,0.0,0.0,0.0,0.0,0.0044761086841080934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015984934153868806,0.9478197890961091,0.0,1.00378384071171e-05,0.0,0.0,0.03428431234046416,0.0,0.0
13,perm,1,0.0,0.0,0.0,0.0,0.0,0.007751937984496145,0.034883720930232655,0.3410852713178294,0.0,0.0,0.0,0.0,0.0,0.1124031007751938,0.011627906976744217,0.01550387596899229,0.0,0.0,0.0,0.0,0.0,0.14341085271317827,0.1627906976744186,0.0,0.0,0.0,0.0,0.17054263565891467,0.0,0.0
14,gini,1,0.0,0.023910708448138984,0.0,0.0,0.0,0.005579165304565763,0.030832229314705528,0.02844969039083656,0.0,0.0,0.0,0.0,0.0,0.0026465004902909584,0.0013079357451541507,0.028692850137766776,0.0,0.0,0.0,0.0,0.0,0.08960620892469616,0.6954908583781851,0.014346425068883393,0.0,0.0,0.0,0.07096909742045646,0.0,0.008168330376320197
15,shap,1,0.0,0.015172235005491098,0.0,0.0,0.0,0.01881556783903558,0.05055748007548766,0.26365251583358207,0.0,0.0,0.0,0.0,0.0,0.0468392837141008,0.003518561012245128,0.04140922145547514,0.0,0.0,0.0,0.0,0.0,0.1849465480371878,0.17689627904507096,0.04604573713517814,0.0,0.0,0.0,0.1521465708471456,0.0,0.0
16,support_impurity_centrality,1,0.0,0.07906856805228232,0.0,0.0,0.0,0.023443380569288106,0.10452907886340988,0.025324507089997197,0.0,0.0,0.0,0.0,0.0,0.0011399568764092205,0.0008816131360592987,0.11526503892249945,0.0,0.0,0.0,0.0,0.0,0.21355090563544024,0.23472785975539612,0.07367982140134577,0.0,0.0,0.0,0.12838819529409,0.0,1.0744037823420973e-06
17,confidence_impurity_centrality,1,0.0,0.08501293612632452,0.0,0.0,0.0,0.12939082411150366,0.09113091841177647,0.008575622052853062,0.0,0.0,0.0,0.0,0.0,0.0031917921371287378,0.004273164426676862,0.08954414494423485,0.0,0.0,0.0,0.0,0.0,0.153348286804417,0.2654506139443057,0.0606341361581974,0.0,0.0,0.0,0.10943857271238173,0.0,8.988170200076366e-06
18,lift_impurity_centrality,1,0.0,0.0806919164539597,0.0,0.0,0.0,0.13167076139038023,0.09270668666545633,0.007211379646972715,0.0,0.0,0.0,0.0,0.0,0.004190560061681177,0.005621407798061512,0.10154673862248778,0.0,0.0,0.0,0.0,0.0,0.16403474712781438,0.23976608369582042,0.07283099180003831,0.0,0.0,0.0,0.0997168888867411,0.0,1.18378505862242e-05
19,equal_impurity_centrality,1,0.0,0.08501293612632452,0.0,0.0,0.0,0.12939082411150366,0.09113091841177647,0.008575622052853062,0.0,0.0,0.0,0.0,0.0,0.0031917921371287378,0.004273164426676862,0.08954414494423485,0.0,0.0,0.0,0.0,0.0,0.153348286804417,0.2654506139443057,0.0606341361581974,0.0,0.0,0.0,0.10943857271238173,0.0,8.988170200076366e-06
20,relevance_impurity_centrality,1,0.0,0.06887941543877421,0.0,0.0,0.0,0.02273246464225216,0.09371371874720241,0.028695158635051704,0.0,0.0,0.0,0.0,0.0,0.0010450594820451695,0.0009202802776341053,0.13369137637561204,0.0,0.0,0.0,0.0,0.0,0.2477564026835157,0.20718061193406287,0.09152564028214517,0.0,0.0,0.0,0.10385851521067566,0.0,1.356291028769593e-06
