,method,fold,selected,metric,value
0,perm,0,2,A,0.9122807017543859
1,perm,0,2,MCC,0.8139267835041308
2,perm,0,3,A,0.8947368421052632
3,perm,0,3,MCC,0.8068583569395964
4,perm,0,4,A,0.9473684210526315
5,perm,0,4,MCC,0.8904905361044291
6,perm,0,5,A,0.9473684210526315
7,perm,0,5,MCC,0.8904905361044291
8,perm,0,6,A,0.9473684210526315
9,perm,0,6,MCC,0.8904905361044291
10,perm,0,7,A,0.9473684210526315
11,perm,0,7,MCC,0.8904905361044291
12,perm,0,8,A,0.9473684210526315
13,perm,0,8,MCC,0.8904905361044291
14,perm,0,9,A,0.9473684210526315
15,perm,0,9,MCC,0.8904905361044291
16,perm,0,10,A,0.9473684210526315
17,perm,0,10,MCC,0.8904905361044291
18,perm,0,11,A,0.9473684210526315
19,perm,0,11,MCC,0.8904905361044291
20,gini,0,2,A,0.9473684210526315
21,gini,0,2,MCC,0.8904905361044291
22,gini,0,3,A,0.9298245614035088
23,gini,0,3,MCC,0.8566790854748145
24,gini,0,4,A,0.9298245614035088
25,gini,0,4,MCC,0.8566790854748145
26,gini,0,5,A,0.9473684210526315
27,gini,0,5,MCC,0.8904905361044291
28,gini,0,6,A,0.9473684210526315
29,gini,0,6,MCC,0.8904905361044291
30,gini,0,7,A,0.9473684210526315
31,gini,0,7,MCC,0.8904905361044291
32,gini,0,8,A,0.9298245614035088
33,gini,0,8,MCC,0.8566790854748145
34,gini,0,9,A,0.9298245614035088
35,gini,0,9,MCC,0.8566790854748145
36,gini,0,10,A,0.9298245614035088
37,gini,0,10,MCC,0.8566790854748145
38,gini,0,11,A,0.9298245614035088
39,gini,0,11,MCC,0.8566790854748145
40,shap,0,2,A,0.9473684210526315
41,shap,0,2,MCC,0.8904905361044291
42,shap,0,3,A,0.9298245614035088
43,shap,0,3,MCC,0.8566790854748145
44,shap,0,4,A,0.9298245614035088
45,shap,0,4,MCC,0.8566790854748145
46,shap,0,5,A,0.9473684210526315
47,shap,0,5,MCC,0.8904905361044291
48,shap,0,6,A,0.9473684210526315
49,shap,0,6,MCC,0.8904905361044291
50,shap,0,7,A,0.9473684210526315
51,shap,0,7,MCC,0.8904905361044291
52,shap,0,8,A,0.9298245614035088
53,shap,0,8,MCC,0.8566790854748145
54,shap,0,9,A,0.9298245614035088
55,shap,0,9,MCC,0.8566790854748145
56,shap,0,10,A,0.9298245614035088
57,shap,0,10,MCC,0.8566790854748145
58,shap,0,11,A,0.9298245614035088
59,shap,0,11,MCC,0.8566790854748145
60,support_impurity_centrality,0,2,A,0.9473684210526315
61,support_impurity_centrality,0,2,MCC,0.8904905361044291
62,support_impurity_centrality,0,3,A,0.9298245614035088
63,support_impurity_centrality,0,3,MCC,0.8566790854748145
64,support_impurity_centrality,0,4,A,0.9473684210526315
65,support_impurity_centrality,0,4,MCC,0.8904905361044291
66,support_impurity_centrality,0,5,A,0.9298245614035088
67,support_impurity_centrality,0,5,MCC,0.8566790854748145
68,support_impurity_centrality,0,6,A,0.9298245614035088
69,support_impurity_centrality,0,6,MCC,0.8566790854748145
70,support_impurity_centrality,0,7,A,0.9298245614035088
71,support_impurity_centrality,0,7,MCC,0.8566790854748145
72,support_impurity_centrality,0,8,A,0.9473684210526315
73,support_impurity_centrality,0,8,MCC,0.8904905361044291
74,support_impurity_centrality,0,9,A,0.9473684210526315
75,support_impurity_centrality,0,9,MCC,0.8904905361044291
76,support_impurity_centrality,0,10,A,0.9473684210526315
77,support_impurity_centrality,0,10,MCC,0.8904905361044291
78,support_impurity_centrality,0,11,A,0.9473684210526315
79,support_impurity_centrality,0,11,MCC,0.8904905361044291
80,confidence_impurity_centrality,0,2,A,0.9473684210526315
81,confidence_impurity_centrality,0,2,MCC,0.8904905361044291
