,method,fold,Clump_thickness,Uniformity_of_cell_size,Uniformity_of_cell_shape,Marginal_adhesion,Single_epithelial_cell_size,Bare_nuclei,Bland_chromatin,Normal_nucleoli,Mitoses
0,perm,0,0.027027027027026876,0.7027027027027029,0.0,0.0,0.0,0.19819819819819826,0.07207207207207186,0.0,0.0
1,gini,0,0.07436922584192918,0.7595758126185708,0.0,0.015298643043725132,0.0,0.14690204859850417,0.0038542698972707902,0.0,0.0
2,shap,0,0.23116763177223168,0.44823474258368984,0.0,0.022340941230744978,0.0,0.2466415432765949,0.05161514113673857,0.0,0.0
3,support_impurity_centrality,0,0.2943742495064348,0.37290398042508793,0.0,0.013169976148742686,0.0,0.25478844275361606,0.06476335116611849,0.0,0.0
4,confidence_impurity_centrality,0,0.17864075406525032,0.2598600082066183,0.0,0.0020064194667391887,0.0,0.24662086341886705,0.31287195484252517,0.0,0.0
5,lift_impurity_centrality,0,0.21123036182041632,0.2283075691463048,0.0,0.0033039929501097283,0.0,0.22526922883513778,0.3318888472480314,0.0,0.0
6,equal_impurity_centrality,0,0.18140495460233821,0.25876939174284164,0.0,0.0024969514719718777,0.0,0.2496706467703277,0.30765805541252067,0.0,0.0
7,relevance_impurity_centrality,0,0.27621850211911525,0.35714016701996265,0.0,0.019625641272917153,0.0,0.27857421856483944,0.06844147102316551,0.0,0.0
8,support_relevance_centrality,0,0.042626040471885444,0.7419360397605601,0.0,0.0028235276026697975,0.0,0.2126143915807607,5.841239830516388e-10,0.0,0.0
9,confidence_relevance_centrality,0,0.029487889866347754,0.8121612634287779,0.0,0.006814956052470063,0.0,0.15153576518243103,1.254699731692244e-07,0.0,0.0
10,lift_relevance_centrality,0,0.023196077581202703,0.8451402874158218,0.0,0.009520388416181379,0.0,0.12214310686145623,1.3972533786447134e-07,0.0,0.0
11,equal_relevance_centrality,0,0.029880468791015472,0.8091821625384169,0.0,0.006782443072103707,0.0,0.1541548007270864,1.248713775593907e-07,0.0,0.0
12,relevance_relevance_centrality,0,0.04176537681611534,0.7451610669951064,0.0,0.0051943701214618235,0.0,0.20787918521073942,8.565770067631481e-10,0.0,0.0
13,perm,1,0.040935672514619756,0.6608187134502927,0.10526315789473675,0.0,0.0,0.07017543859649111,0.0,0.12280701754385968,0.0
14,gini,1,0.04960836027255103,0.7979843939847611,0.017290405499829492,0.0,0.0038286886484980775,0.08601606123610912,0.0,0.045272090358251305,0.0
15,shap,1,0.14452309686764134,0.3458612250545826,0.15266959635266053,0.0,0.07115898929423971,0.15766831850363716,0.0,0.12811877392723867,0.0
16,support_impurity_centrality,1,0.3368220532233357,0.11207634703632675,0.0912049313484912,0.0,0.0026592627434203057,0.37566610107282533,0.0,0.08157130457560076,0.0
17,confidence_impurity_centrality,1,0.21405274602831842,0.07865935964695121,0.12736413426876714,0.0,6.620678926329785e-05,0.3817670016711814,0.0,0.19809055159551855,0.0
18,lift_impurity_centrality,1,0.2347438423737668,0.10082996362575365,0.1023278012444565,0.0,5.2041025032485144e-05,0.3633301910692708,0.0,0.19871616066171974,0.0
19,equal_impurity_centrality,1,0.21507738612258168,0.0789037340985009,0.12715918687534997,0.0,0.00010627578156095413,0.38122144674221925,0.0,0.1975319703797872,0.0
20,relevance_impurity_centrality,1,0.33104309531358034,0.11996495661475622,0.0712700673614702,0.0,0.0017070813566745107,0.4000842881206887,0.0,0.07593051123283004,0.0
21,support_relevance_centrality,1,0.09726298422773837,0.7028089145010967,0.00042222853243332467,0.0,0.048617980926484596,0.004977565878222679,0.0,0.14591032593402437,0.0
22,confidence_relevance_centrality,1,0.08609853417874612,0.7150558959349183,0.0029424608814024337,0.0,0.042743666786010055,0.021863606952584307,0.0,0.13129583526633887,0.0
23,lift_relevance_centrality,1,0.07688832809397968,0.7304592064690091,0.004739184807128713,0.0,0.03812041070647233,0.030242656655424777,0.0,0.11955021326798541,0.0
24,equal_relevance_centrality,1,0.08585798071037017,0.7139590554314618,0.0034242854063426227,0.0,0.042609611445424404,0.02327348581396752,0.0,0.13087558119243356,0.0
25,relevance_relevance_centrality,1,0.09497115829981329,0.705518529505931,0.0007653731808664589,0.0,0.04747173651882366,0.008752989419106285,0.0,0.14252021307545937,0.0
26,perm,2,0.07981220657276983,0.5492957746478874,0.0,0.004694835680751158,-3.6486202687211726e-17,0.295774647887324,0.00938967136150228,0.06103286384976521,0.0
27,gini,2,0.06569738830182843,0.7279064500993212,0.008163090527964241,0.013134317291245982,0.01930085770067467,0.1280522320574502,0.017627152792584616,0.013660511487947894,0.006457999740982685
28,shap,2,0.12467477895380678,0.40380857957227423,0.01129263896550243,0.035747879869777656,0.011251353989328656,0.25495054181381827,0.10933703055173814,0.034438905311026134,0.014498290972727514
29,support_impurity_centrality,2,0.2444628821034107,0.1932534210025179,0.04942136388019792,0.029569905890742557,0.08393969519437577,0.24064438158701507,0.13323596071299956,0.017163645894916167,0.008308743733824337
30,confidence_impurity_centrality,2,0.211488558572347,0.1436834644101645,0.09106959767926841,0.02512263709057671,0.15406725394440596,0.16204835014269783,0.1891245721827662,0.00779585943160662,0.015599706546166749
31,lift_impurity_centrality,2,0.23140475739058,0.12095069882886672,0.07597014152074465,0.025835890884576072,0.16125698488091111,0.1743442461437846,0.18574822944235383,0.00642475559769759,0.018064295310485375
32,equal_impurity_centrality,2,0.2091980155200073,0.14373014106041015,0.09159574941436745,0.02478764072278767,0.15499518173360902,0.16130022872666475,0.18544308259239545,0.009696382215446261,0.019253578014312114
33,relevance_impurity_centrality,2,0.27570426364869993,0.16134677795293048,0.03821494912580073,0.02477514130086108,0.07723211875989895,0.25169380338794695,0.1496860381377422,0.012625819204489951,0.008721088481629771
34,support_relevance_centrality,2,0.06127062476540444,0.5878093528259303,4.835736844901161e-05,1.2459238774128886e-05,1.2840020441362374e-05,0.35078445798649777,1.0681969064997197e-05,5.112506854487415e-05,1.0075689320845754e-07
35,confidence_relevance_centrality,2,0.06758999376381357,0.5852765460917531,0.0007640395394769807,0.00025998017852079584,0.00028163357976512983,0.3442688439458006,0.0004526281557937467,0.001095539335226402,1.0795409849683228e-05
36,lift_relevance_centrality,2,0.0731293737617685,0.5840195740841212,0.0013596413513797063,0.00045702891531250006,0.00048659263058495496,0.33871195559166667,0.0007798304671915897,0.001044848849949764,1.1154348025099687e-05
37,equal_relevance_centrality,2,0.0673348428709513,0.5869814339381942,0.000760592024859293,0.00025870816916753736,0.0002917388426344384,0.34281647588923575,0.00045041357447068737,0.0010901791716585508,1.561551882818754e-05
38,relevance_relevance_centrality,2,0.06334584865594114,0.587475245722766,9.096669388373615e-05,2.314100743226244e-05,2.3984346216075743e-05,0.3489702919072527,1.9630683799666545e-05,5.078297380192703e-05,1.0800890651184204e-07
39,perm,3,0.23225806451612893,0.19354838709677416,0.05161290322580655,0.006451612903225875,-0.06451612903225774,0.5483870967741928,-0.006451612903225724,0.03870967741935495,0.0
40,gini,3,0.0702852212030438,0.7473037378565996,0.10323263481567867,0.016621817586707124,0.011137913193580332,0.03402484544750799,0.005358288830793162,0.007272617660939791,0.004762923405149485
41,shap,3,0.2608443497728241,0.22840660482283276,0.16842961127745099,0.016058001112174133,0.026904659246361373,0.2359155570310806,0.028187131241304147,0.02001874887841504,0.01523533661755691
42,support_impurity_centrality,3,0.20780139033111178,0.2226280491459524,0.13329667153034172,0.0958263918434969,0.05811038528337676,0.12561521225557307,0.04998569198017672,0.06877749300976804,0.0379587146202026
43,confidence_impurity_centrality,3,0.15214946224439155,0.19058251619185254,0.0796377587817251,0.13431495856481473,0.11406333287506744,0.09503171717806048,0.06336975541806063,0.10177292903616601,0.0690775697098615
44,lift_impurity_centrality,3,0.14614872761386435,0.17298549081483786,0.11237010522600784,0.11542931355920728,0.11865632571102719,0.10169976370143698,0.055125084550104404,0.09856640319024673,0.0790187856332674
45,equal_impurity_centrality,3,0.15128974097199321,0.1908781296459067,0.08061399844394147,0.13355481216203943,0.11342799389556783,0.09538953105894868,0.06330044551698608,0.10287680357754919,0.0686685447270675
46,relevance_impurity_centrality,3,0.18280051921426319,0.21512388264884877,0.14901996400657283,0.08984767531966897,0.06236495786678475,0.14404666209041897,0.04487404961617896,0.07666947815555951,0.035252811081704076
