,method,fold,selected,metric,value
0,perm,0,2,A,0.9428571428571428
1,perm,0,2,MCC,0.8724376655309847
2,perm,0,3,A,0.9428571428571428
3,perm,0,3,MCC,0.8724376655309847
4,perm,0,4,A,0.9428571428571428
5,perm,0,4,MCC,0.8731884057971014
6,perm,0,5,A,0.9428571428571428
7,perm,0,5,MCC,0.8731884057971014
8,perm,0,6,A,0.9285714285714286
9,perm,0,6,MCC,0.8403211560207222
10,perm,0,7,A,0.9285714285714286
11,perm,0,7,MCC,0.8403211560207222
12,perm,0,8,A,0.9285714285714286
13,perm,0,8,MCC,0.8403211560207222
14,perm,0,9,A,0.9285714285714286
15,perm,0,9,MCC,0.8403211560207222
16,perm,0,10,A,0.9285714285714286
17,perm,0,10,MCC,0.8403211560207222
18,perm,0,11,A,0.9285714285714286
19,perm,0,11,MCC,0.8403211560207222
20,gini,0,2,A,0.9428571428571428
21,gini,0,2,MCC,0.8724376655309847
22,gini,0,3,A,0.9285714285714286
23,gini,0,3,MCC,0.8403211560207222
24,gini,0,4,A,0.9285714285714286
25,gini,0,4,MCC,0.8403211560207222
26,gini,0,5,A,0.9571428571428572
27,gini,0,5,MCC,0.9062762017979119
28,gini,0,6,A,0.9428571428571428
29,gini,0,6,MCC,0.8731884057971014
30,gini,0,7,A,0.9428571428571428
31,gini,0,7,MCC,0.8731884057971014
32,gini,0,8,A,0.9285714285714286
33,gini,0,8,MCC,0.8403211560207222
34,gini,0,9,A,0.9571428571428572
35,gini,0,9,MCC,0.9062762017979119
36,gini,0,10,A,0.9571428571428572
37,gini,0,10,MCC,0.9062762017979119
38,gini,0,11,A,0.9571428571428572
39,gini,0,11,MCC,0.9062762017979119
40,shap,0,2,A,0.9428571428571428
41,shap,0,2,MCC,0.8724376655309847
42,shap,0,3,A,0.9285714285714286
43,shap,0,3,MCC,0.8403211560207222
44,shap,0,4,A,0.9428571428571428
45,shap,0,4,MCC,0.8731884057971014
46,shap,0,5,A,0.9571428571428572
47,shap,0,5,MCC,0.9062762017979119
48,shap,0,6,A,0.9285714285714286
49,shap,0,6,MCC,0.8403211560207222
50,shap,0,7,A,0.9428571428571428
51,shap,0,7,MCC,0.8731884057971014
52,shap,0,8,A,0.9285714285714286
53,shap,0,8,MCC,0.8403211560207222
54,shap,0,9,A,0.9285714285714286
55,shap,0,9,MCC,0.8403211560207222
56,shap,0,10,A,0.9285714285714286
57,shap,0,10,MCC,0.8403211560207222
58,shap,0,11,A,0.9285714285714286
59,shap,0,11,MCC,0.8403211560207222
60,support_impurity_centrality,0,2,A,0.9428571428571428
61,support_impurity_centrality,0,2,MCC,0.8731884057971014
62,support_impurity_centrality,0,3,A,0.9285714285714286
63,support_impurity_centrality,0,3,MCC,0.8403211560207222
64,support_impurity_centrality,0,4,A,0.9571428571428572
65,support_impurity_centrality,0,4,MCC,0.9062762017979119
66,support_impurity_centrality,0,5,A,0.9428571428571428
67,support_impurity_centrality,0,5,MCC,0.8731884057971014
68,support_impurity_centrality,0,6,A,0.9285714285714286
69,support_impurity_centrality,0,6,MCC,0.8403211560207222
70,support_impurity_centrality,0,7,A,0.9428571428571428
71,support_impurity_centrality,0,7,MCC,0.8731884057971014
72,support_impurity_centrality,0,8,A,0.9285714285714286
73,support_impurity_centrality,0,8,MCC,0.8403211560207222
74,support_impurity_centrality,0,9,A,0.9285714285714286
75,support_impurity_centrality,0,9,MCC,0.8403211560207222
76,support_impurity_centrality,0,10,A,0.9285714285714286
77,support_impurity_centrality,0,10,MCC,0.8403211560207222
78,support_impurity_centrality,0,11,A,0.9285714285714286
79,support_impurity_centrality,0,11,MCC,0.8403211560207222
80,confidence_impurity_centrality,0,2,A,0.9142857142857143
81,confidence_impurity_centrality,0,2,MCC,0.8097826086956522
82,confidence_impurity_centrality,0,3,A,0.9428571428571428
83,confidence_impurity_centrality,0,3,MCC,0.8724376655309847
84,confidence_impurity_centrality,0,4,A,0.9571428571428572
85,confidence_impurity_centrality,0,4,MCC,0.9062762017979119
86,confidence_impurity_centrality,0,5,A,0.9571428571428572
87,confidence_impurity_centrality,0,5,MCC,0.9062762017979119
88,confidence_impurity_centrality,0,6,A,0.9285714285714286
89,confidence_impurity_centrality,0,6,MCC,0.8403211560207222
90,confidence_impurity_centrality,0,7,A,0.9428571428571428
91,confidence_impurity_centrality,0,7,MCC,0.8731884057971014
92,confidence_impurity_centrality,0,8,A,0.9285714285714286
93,confidence_impurity_centrality,0,8,MCC,0.8403211560207222
94,confidence_impurity_centrality,0,9,A,0.9285714285714286
95,confidence_impurity_centrality,0,9,MCC,0.8403211560207222
96,confidence_impurity_centrality,0,10,A,0.9285714285714286
97,confidence_impurity_centrality,0,10,MCC,0.8403211560207222
98,confidence_impurity_centrality,0,11,A,0.9285714285714286
99,confidence_impurity_centrality,0,11,MCC,0.8403211560207222
100,lift_impurity_centrality,0,2,A,0.9142857142857143
101,lift_impurity_centrality,0,2,MCC,0.8097826086956522
102,lift_impurity_centrality,0,3,A,0.9428571428571428
103,lift_impurity_centrality,0,3,MCC,0.8724376655309847
104,lift_impurity_centrality,0,4,A,0.9571428571428572
105,lift_impurity_centrality,0,4,MCC,0.9062762017979119
106,lift_impurity_centrality,0,5,A,0.9571428571428572
107,lift_impurity_centrality,0,5,MCC,0.9062762017979119
108,lift_impurity_centrality,0,6,A,0.9285714285714286
109,lift_impurity_centrality,0,6,MCC,0.8403211560207222
110,lift_impurity_centrality,0,7,A,0.9428571428571428
111,lift_impurity_centrality,0,7,MCC,0.8731884057971014
112,lift_impurity_centrality,0,8,A,0.9285714285714286
113,lift_impurity_centrality,0,8,MCC,0.8403211560207222
114,lift_impurity_centrality,0,9,A,0.9285714285714286
115,lift_impurity_centrality,0,9,MCC,0.8403211560207222
116,lift_impurity_centrality,0,10,A,0.9285714285714286
117,lift_impurity_centrality,0,10,MCC,0.8403211560207222
118,lift_impurity_centrality,0,11,A,0.9285714285714286
119,lift_impurity_centrality,0,11,MCC,0.8403211560207222
120,equal_impurity_centrality,0,2,A,0.9142857142857143
121,equal_impurity_centrality,0,2,MCC,0.8097826086956522
122,equal_impurity_centrality,0,3,A,0.9428571428571428
123,equal_impurity_centrality,0,3,MCC,0.8724376655309847
124,equal_impurity_centrality,0,4,A,0.9571428571428572
125,equal_impurity_centrality,0,4,MCC,0.9062762017979119
126,equal_impurity_centrality,0,5,A,0.9571428571428572
127,equal_impurity_centrality,0,5,MCC,0.9062762017979119
128,equal_impurity_centrality,0,6,A,0.9285714285714286
129,equal_impurity_centrality,0,6,MCC,0.8403211560207222
130,equal_impurity_centrality,0,7,A,0.9428571428571428
131,equal_impurity_centrality,0,7,MCC,0.8731884057971014
132,equal_impurity_centrality,0,8,A,0.9285714285714286
133,equal_impurity_centrality,0,8,MCC,0.8403211560207222
134,equal_impurity_centrality,0,9,A,0.9285714285714286
135,equal_impurity_centrality,0,9,MCC,0.8403211560207222
136,equal_impurity_centrality,0,10,A,0.9285714285714286
137,equal_impurity_centrality,0,10,MCC,0.8403211560207222
138,equal_impurity_centrality,0,11,A,0.9285714285714286
139,equal_impurity_centrality,0,11,MCC,0.8403211560207222
140,relevance_impurity_centrality,0,2,A,0.9428571428571428
141,relevance_impurity_centrality,0,2,MCC,0.8724376655309847
142,relevance_impurity_centrality,0,3,A,0.9285714285714286
143,relevance_impurity_centrality,0,3,MCC,0.8403211560207222
144,relevance_impurity_centrality,0,4,A,0.9428571428571428
145,relevance_impurity_centrality,0,4,MCC,0.8731884057971014
146,relevance_impurity_centrality,0,5,A,0.9571428571428572
147,relevance_impurity_centrality,0,5,MCC,0.9062762017979119
148,relevance_impurity_centrality,0,6,A,0.9285714285714286
149,relevance_impurity_centrality,0,6,MCC,0.8403211560207222
150,relevance_impurity_centrality,0,7,A,0.9428571428571428
151,relevance_impurity_centrality,0,7,MCC,0.8731884057971014
152,relevance_impurity_centrality,0,8,A,0.9285714285714286
153,relevance_impurity_centrality,0,8,MCC,0.8403211560207222
154,relevance_impurity_centrality,0,9,A,0.9285714285714286
155,relevance_impurity_centrality,0,9,MCC,0.8403211560207222
156,relevance_impurity_centrality,0,10,A,0.9285714285714286
157,relevance_impurity_centrality,0,10,MCC,0.8403211560207222
158,relevance_impurity_centrality,0,11,A,0.9285714285714286
159,relevance_impurity_centrality,0,11,MCC,0.8403211560207222
160,support_relevance_centrality,0,2,A,0.9428571428571428
161,support_relevance_centrality,0,2,MCC,0.8724376655309847
162,support_relevance_centrality,0,3,A,0.9285714285714286
163,support_relevance_centrality,0,3,MCC,0.8403211560207222
164,support_relevance_centrality,0,4,A,0.9285714285714286
165,support_relevance_centrality,0,4,MCC,0.8403211560207222
166,support_relevance_centrality,0,5,A,0.9571428571428572
167,support_relevance_centrality,0,5,MCC,0.9062762017979119
168,support_relevance_centrality,0,6,A,0.9428571428571428
169,support_relevance_centrality,0,6,MCC,0.8731884057971014
170,support_relevance_centrality,0,7,A,0.9428571428571428
171,support_relevance_centrality,0,7,MCC,0.8731884057971014
172,support_relevance_centrality,0,8,A,0.9285714285714286
173,support_relevance_centrality,0,8,MCC,0.8403211560207222
174,support_relevance_centrality,0,9,A,0.9571428571428572
175,support_relevance_centrality,0,9,MCC,0.9062762017979119
176,support_relevance_centrality,0,10,A,0.9571428571428572
177,support_relevance_centrality,0,10,MCC,0.9062762017979119
178,support_relevance_centrality,0,11,A,0.9571428571428572
179,support_relevance_centrality,0,11,MCC,0.9062762017979119
180,confidence_relevance_centrality,0,2,A,0.9428571428571428
181,confidence_relevance_centrality,0,2,MCC,0.8724376655309847
182,confidence_relevance_centrality,0,3,A,0.9285714285714286
183,confidence_relevance_centrality,0,3,MCC,0.8403211560207222
184,confidence_relevance_centrality,0,4,A,0.9285714285714286
185,confidence_relevance_centrality,0,4,MCC,0.8403211560207222
186,confidence_relevance_centrality,0,5,A,0.9571428571428572
187,confidence_relevance_centrality,0,5,MCC,0.9062762017979119
188,confidence_relevance_centrality,0,6,A,0.9428571428571428
189,confidence_relevance_centrality,0,6,MCC,0.8731884057971014
190,confidence_relevance_centrality,0,7,A,0.9428571428571428
191,confidence_relevance_centrality,0,7,MCC,0.8731884057971014
192,confidence_relevance_centrality,0,8,A,0.9285714285714286
193,confidence_relevance_centrality,0,8,MCC,0.8403211560207222
194,confidence_relevance_centrality,0,9,A,0.9571428571428572
195,confidence_relevance_centrality,0,9,MCC,0.9062762017979119
196,confidence_relevance_centrality,0,10,A,0.9571428571428572
197,confidence_relevance_centrality,0,10,MCC,0.9062762017979119
198,confidence_relevance_centrality,0,11,A,0.9571428571428572
199,confidence_relevance_centrality,0,11,MCC,0.9062762017979119
200,lift_relevance_centrality,0,2,A,0.9428571428571428
201,lift_relevance_centrality,0,2,MCC,0.8724376655309847
202,lift_relevance_centrality,0,3,A,0.9285714285714286
203,lift_relevance_centrality,0,3,MCC,0.8403211560207222
204,lift_relevance_centrality,0,4,A,0.9285714285714286
205,lift_relevance_centrality,0,4,MCC,0.8403211560207222
206,lift_relevance_centrality,0,5,A,0.9571428571428572
207,lift_relevance_centrality,0,5,MCC,0.9062762017979119
208,lift_relevance_centrality,0,6,A,0.9428571428571428
209,lift_relevance_centrality,0,6,MCC,0.8731884057971014
210,lift_relevance_centrality,0,7,A,0.9428571428571428
211,lift_relevance_centrality,0,7,MCC,0.8731884057971014
212,lift_relevance_centrality,0,8,A,0.9285714285714286
213,lift_relevance_centrality,0,8,MCC,0.8403211560207222
214,lift_relevance_centrality,0,9,A,0.9571428571428572
215,lift_relevance_centrality,0,9,MCC,0.9062762017979119
216,lift_relevance_centrality,0,10,A,0.9571428571428572
217,lift_relevance_centrality,0,10,MCC,0.9062762017979119
218,lift_relevance_centrality,0,11,A,0.9571428571428572
219,lift_relevance_centrality,0,11,MCC,0.9062762017979119
220,equal_relevance_centrality,0,2,A,0.9428571428571428
221,equal_relevance_centrality,0,2,MCC,0.8724376655309847
222,equal_relevance_centrality,0,3,A,0.9285714285714286
223,equal_relevance_centrality,0,3,MCC,0.8403211560207222
224,equal_relevance_centrality,0,4,A,0.9285714285714286
225,equal_relevance_centrality,0,4,MCC,0.8403211560207222
226,equal_relevance_centrality,0,5,A,0.9571428571428572
227,equal_relevance_centrality,0,5,MCC,0.9062762017979119
228,equal_relevance_centrality,0,6,A,0.9428571428571428
229,equal_relevance_centrality,0,6,MCC,0.8731884057971014
230,equal_relevance_centrality,0,7,A,0.9428571428571428
231,equal_relevance_centrality,0,7,MCC,0.8731884057971014
232,equal_relevance_centrality,0,8,A,0.9285714285714286
233,equal_relevance_centrality,0,8,MCC,0.8403211560207222
234,equal_relevance_centrality,0,9,A,0.9571428571428572
235,equal_relevance_centrality,0,9,MCC,0.9062762017979119
236,equal_relevance_centrality,0,10,A,0.9571428571428572
237,equal_relevance_centrality,0,10,MCC,0.9062762017979119
238,equal_relevance_centrality,0,11,A,0.9571428571428572
239,equal_relevance_centrality,0,11,MCC,0.9062762017979119
240,relevance_relevance_centrality,0,2,A,0.9428571428571428
241,relevance_relevance_centrality,0,2,MCC,0.8724376655309847
242,relevance_relevance_centrality,0,3,A,0.9285714285714286
243,relevance_relevance_centrality,0,3,MCC,0.8403211560207222
244,relevance_relevance_centrality,0,4,A,0.9285714285714286
245,relevance_relevance_centrality,0,4,MCC,0.8403211560207222
246,relevance_relevance_centrality,0,5,A,0.9571428571428572
247,relevance_relevance_centrality,0,5,MCC,0.9062762017979119
248,relevance_relevance_centrality,0,6,A,0.9428571428571428
249,relevance_relevance_centrality,0,6,MCC,0.8731884057971014
250,relevance_relevance_centrality,0,7,A,0.9428571428571428
251,relevance_relevance_centrality,0,7,MCC,0.8731884057971014
252,relevance_relevance_centrality,0,8,A,0.9285714285714286
253,relevance_relevance_centrality,0,8,MCC,0.8403211560207222
254,relevance_relevance_centrality,0,9,A,0.9571428571428572
255,relevance_relevance_centrality,0,9,MCC,0.9062762017979119
256,relevance_relevance_centrality,0,10,A,0.9571428571428572
257,relevance_relevance_centrality,0,10,MCC,0.9062762017979119
258,relevance_relevance_centrality,0,11,A,0.9571428571428572
259,relevance_relevance_centrality,0,11,MCC,0.9062762017979119
260,perm,1,2,A,0.9714285714285714
261,perm,1,2,MCC,0.9365942028985508
262,perm,1,3,A,1.0
263,perm,1,3,MCC,1.0
264,perm,1,4,A,0.9714285714285714
265,perm,1,4,MCC,0.9372684899334994
266,perm,1,5,A,0.9714285714285714
267,perm,1,5,MCC,0.9372684899334994
268,perm,1,6,A,0.9714285714285714
269,perm,1,6,MCC,0.9372684899334994
270,perm,1,7,A,0.9571428571428572
271,perm,1,7,MCC,0.9043979326236096
272,perm,1,8,A,0.9428571428571428
273,perm,1,8,MCC,0.8731884057971014
274,perm,1,9,A,0.9714285714285714
275,perm,1,9,MCC,0.9372684899334994
276,perm,1,10,A,0.9714285714285714
277,perm,1,10,MCC,0.9372684899334994
278,perm,1,11,A,0.9714285714285714
279,perm,1,11,MCC,0.9372684899334994
280,perm,1,12,A,0.9714285714285714
281,perm,1,12,MCC,0.9372684899334994
282,perm,1,13,A,0.9714285714285714
283,perm,1,13,MCC,0.9372684899334994
284,perm,1,14,A,0.9714285714285714
285,perm,1,14,MCC,0.9372684899334994
286,perm,1,15,A,0.9714285714285714
287,perm,1,15,MCC,0.9372684899334994
288,perm,1,16,A,0.9714285714285714
289,perm,1,16,MCC,0.9372684899334994
290,perm,1,17,A,0.9714285714285714
291,perm,1,17,MCC,0.9372684899334994
292,perm,1,18,A,0.9714285714285714
293,perm,1,18,MCC,0.9372684899334994
294,perm,1,19,A,0.9714285714285714
295,perm,1,19,MCC,0.9372684899334994
296,gini,1,2,A,0.9571428571428572
297,gini,1,2,MCC,0.9063269671749657
298,gini,1,3,A,0.9571428571428572
299,gini,1,3,MCC,0.9063269671749657
300,gini,1,4,A,0.9714285714285714
301,gini,1,4,MCC,0.9372684899334994
302,gini,1,5,A,0.9571428571428572
303,gini,1,5,MCC,0.9043979326236096
304,gini,1,6,A,0.9571428571428572
305,gini,1,6,MCC,0.9043979326236096
306,gini,1,7,A,0.9714285714285714
307,gini,1,7,MCC,0.9372684899334994
308,gini,1,8,A,0.9714285714285714
309,gini,1,8,MCC,0.9372684899334994
310,gini,1,9,A,0.9714285714285714
311,gini,1,9,MCC,0.9372684899334994
312,gini,1,10,A,0.9714285714285714
313,gini,1,10,MCC,0.9372684899334994
314,gini,1,11,A,0.9714285714285714
315,gini,1,11,MCC,0.9372684899334994
316,gini,1,12,A,0.9714285714285714
317,gini,1,12,MCC,0.9372684899334994
318,gini,1,13,A,0.9714285714285714
319,gini,1,13,MCC,0.9372684899334994
320,gini,1,14,A,0.9714285714285714
321,gini,1,14,MCC,0.9372684899334994
