,method,fold,Time,radius1,texture1,perimeter1,area1,smoothness1,compactness1,concavity1,concave_points1,symmetry1,fractal_dimension1,radius2,texture2,perimeter2,area2,smoothness2,compactness2,concavity2,concave_points2,symmetry2,fractal_dimension2,radius3,texture3,perimeter3,area3,smoothness3,compactness3,concavity3,concave_points3,symmetry3,fractal_dimension3,tumor_size,lymph_node_status
0,perm,0,1.2499999999999991,0.0,0.0,0.0,0.0,0.0,-0.375,0.0,0.0,0.0,0.0,0.125,0.4999999999999997,0.0,0.0,-0.375,0.0,0.0,-0.875,0.375,0.0,0.0,0.0,1.25,0.0,-0.6249999999999994,0.0,-1.2499999999999996,0.0,0.0,0.0,1.0,0.0
1,gini,0,0.1561520061750041,0.0,0.0,0.044716561962176965,0.06663172738113851,0.0,0.045817232494478985,0.0,0.0,0.0,0.0,0.10464475412606794,0.0823005966760792,0.0,0.0,0.03526917461984155,0.0,0.0,0.05325230232341663,0.045580111415443755,0.0,0.06142192558943276,0.0,0.08155764701825347,0.0,0.07381690864497621,0.0,0.07464680783828158,0.0,0.0,0.0,0.0741922437354085,0.0
2,shap,0,0.2231504096896982,0.0,0.0,0.00670831378544096,0.03298423715285092,0.0,0.05315491534704786,0.0,0.0,0.0,0.0,0.08995069697270815,0.06976646103523841,0.0,0.0,0.0604900164638809,0.0,0.0,0.06843665570994888,0.0338126117916751,0.0,0.042613279856493116,0.0,0.042613280731157686,0.0,0.12484288136248836,0.0,0.05395788115957787,0.0,0.0,0.0,0.09751835894179375,0.0
3,support_impurity_centrality,0,0.2619218640549831,0.0,0.0,0.03252786217745611,0.0410871874877228,0.0,0.06986002656381106,0.0,0.0,0.0,0.0,0.09280986500614347,0.10116995796897597,0.0,0.0,0.030758500300888312,0.0,0.0,0.0611636971111747,0.010691199031275269,0.0,0.06803172895364062,0.0,0.03277726209609522,0.0,0.07291690024074614,0.0,0.045255652164434695,0.0,0.0,0.0,0.07902829684265256,0.0
4,confidence_impurity_centrality,0,0.22039334293697235,0.0,0.0,0.0639325485475223,0.031140015588666997,0.0,0.124546766252641,0.0,0.0,0.0,0.0,0.12409389404770889,0.07396185230626631,0.0,0.0,0.06510816886086562,0.0,0.0,0.10996085946285614,0.02084998918631925,0.0,0.029345863559220902,0.0,0.014291752048214102,0.0,0.034625836745253,0.0,0.04506051902373828,0.0,0.0,0.0,0.042688591433754884,0.0
5,lift_impurity_centrality,0,0.2139068536850621,0.0,0.0,0.06331838932320913,0.0297692336976691,0.0,0.12018571293850036,0.0,0.0,0.0,0.0,0.11410577994184432,0.08039865328172861,0.0,0.0,0.08164130948479124,0.0,0.0,0.11079071524689048,0.02611790439482885,0.0,0.037186302473294235,0.0,0.016407452718941146,0.0,0.031308027387376584,0.0,0.02467646132606741,0.0,0.0,0.0,0.05018720409979655,0.0
6,equal_impurity_centrality,0,0.21925818405321232,0.0,0.0,0.06348477261978981,0.030921914641862808,0.0,0.12368920462047459,0.0,0.0,0.0,0.0,0.12361349645179237,0.07490796632640662,0.0,0.0,0.06467131613598791,0.0,0.0,0.10920649685835097,0.02070395835439994,0.0,0.029245584910610193,0.0,0.015512010881045696,0.0,0.03660340587487555,0.0,0.04539936693347764,0.0,0.0,0.0,0.042782321337713626,0.0
7,relevance_impurity_centrality,0,0.2851940460587695,0.0,0.0,0.02842789839728044,0.025284271134159698,0.0,0.08057893147807191,0.0,0.0,0.0,0.0,0.08248393631446428,0.11213015310993606,0.0,0.0,0.03250635838219965,0.0,0.0,0.07033658612172705,0.01071179307779159,0.0,0.07825200110585856,0.0,0.027264820657864373,0.0,0.056676635697570005,0.0,0.030558258582462514,0.0,0.0,0.0,0.07959430988184425,0.0
8,support_relevance_centrality,0,0.5015686923880276,0.0,0.0,1.6937893860324453e-05,0.0021508037537522977,0.0,0.01144452363103074,0.0,0.0,0.0,0.0,0.00017892573455180848,0.17300700748326636,0.0,0.0,0.001745937547398503,0.0,0.0,0.17176264392748203,0.010552409917940342,0.0,0.015292662074587144,0.0,0.023740343131789014,0.0,0.05667948233891842,0.0,0.005600356256508014,0.0,0.0,0.0,0.02625927392088734,0.0
9,confidence_relevance_centrality,0,0.3723088675843529,0.0,0.0,0.00019190528352902518,0.006819923644337626,0.0,0.016805188212130034,0.0,0.0,0.0,0.0,0.0010942251542724129,0.2318812179911401,0.0,0.0,0.0036511173219920686,0.0,0.0,0.11258603475197,0.014855364851678626,0.0,0.0471280647043253,0.0,0.03226719142550826,0.0,0.10108921592347303,0.0,0.01201423579329558,0.0,0.0,0.0,0.047307447357995094,0.0
