,method,fold,selected,metric,value
0,perm,0,2,A,0.7
1,perm,0,2,MCC,-0.16666666666666666
2,perm,0,3,A,0.9
3,perm,0,3,MCC,0.6666666666666666
4,perm,0,4,A,0.8
5,perm,0,4,MCC,0.375
6,perm,0,5,A,0.8
7,perm,0,5,MCC,0.375
8,perm,0,6,A,0.8
9,perm,0,6,MCC,0.25
10,perm,0,7,A,0.8
11,perm,0,7,MCC,0.25
12,perm,0,8,A,0.8
13,perm,0,8,MCC,0.25
14,perm,0,9,A,0.8
15,perm,0,9,MCC,0.25
16,perm,0,10,A,0.8
17,perm,0,10,MCC,0.25
18,perm,0,11,A,0.85
19,perm,0,11,MCC,0.4900980294098034
20,gini,0,2,A,0.65
21,gini,0,2,MCC,0.30151134457776363
22,gini,0,3,A,0.8
23,gini,0,3,MCC,0.375
24,gini,0,4,A,0.75
25,gini,0,4,MCC,0.4193139346887673
26,gini,0,5,A,0.75
27,gini,0,5,MCC,0.4193139346887673
28,gini,0,6,A,0.8
29,gini,0,6,MCC,0.25
30,gini,0,7,A,0.8
31,gini,0,7,MCC,0.375
32,gini,0,8,A,0.85
33,gini,0,8,MCC,0.4900980294098034
34,gini,0,9,A,0.8
35,gini,0,9,MCC,0.25
36,gini,0,10,A,0.75
37,gini,0,10,MCC,0.14002800840280097
38,gini,0,11,A,0.8
39,gini,0,11,MCC,0.25
40,shap,0,2,A,0.85
41,shap,0,2,MCC,0.4588314677411235
42,shap,0,3,A,0.85
43,shap,0,3,MCC,0.4588314677411235
44,shap,0,4,A,0.65
45,shap,0,4,MCC,0.15724272550828775
46,shap,0,5,A,0.75
47,shap,0,5,MCC,0.28867513459481287
48,shap,0,6,A,0.75
49,shap,0,6,MCC,0.28867513459481287
50,shap,0,7,A,0.7
51,shap,0,7,MCC,0.2182178902359924
52,shap,0,8,A,0.65
53,shap,0,8,MCC,0.15724272550828775
54,shap,0,9,A,0.7
55,shap,0,9,MCC,0.2182178902359924
56,shap,0,10,A,0.75
57,shap,0,10,MCC,0.28867513459481287
58,shap,0,11,A,0.75
59,shap,0,11,MCC,0.14002800840280097
60,support_impurity_centrality,0,2,A,0.7
61,support_impurity_centrality,0,2,MCC,0.3572172541558802
62,support_impurity_centrality,0,3,A,0.8
63,support_impurity_centrality,0,3,MCC,0.375
64,support_impurity_centrality,0,4,A,0.7
65,support_impurity_centrality,0,4,MCC,0.0625
66,support_impurity_centrality,0,5,A,0.75
67,support_impurity_centrality,0,5,MCC,0.28867513459481287
68,support_impurity_centrality,0,6,A,0.75
69,support_impurity_centrality,0,6,MCC,0.28867513459481287
70,support_impurity_centrality,0,7,A,0.9
71,support_impurity_centrality,0,7,MCC,0.6666666666666666
72,support_impurity_centrality,0,8,A,0.85
73,support_impurity_centrality,0,8,MCC,0.4900980294098034
74,support_impurity_centrality,0,9,A,0.8
75,support_impurity_centrality,0,9,MCC,0.375
76,support_impurity_centrality,0,10,A,0.85
77,support_impurity_centrality,0,10,MCC,0.4900980294098034
78,support_impurity_centrality,0,11,A,0.8
79,support_impurity_centrality,0,11,MCC,0.25
80,confidence_impurity_centrality,0,2,A,0.75
81,confidence_impurity_centrality,0,2,MCC,0.28867513459481287
82,confidence_impurity_centrality,0,3,A,0.6
83,confidence_impurity_centrality,0,3,MCC,0.25
84,confidence_impurity_centrality,0,4,A,0.7
85,confidence_impurity_centrality,0,4,MCC,0.2182178902359924
86,confidence_impurity_centrality,0,5,A,0.7
87,confidence_impurity_centrality,0,5,MCC,0.2182178902359924
88,confidence_impurity_centrality,0,6,A,0.7
89,confidence_impurity_centrality,0,6,MCC,0.2182178902359924
90,confidence_impurity_centrality,0,7,A,0.7
91,confidence_impurity_centrality,0,7,MCC,0.2182178902359924
92,confidence_impurity_centrality,0,8,A,0.7
93,confidence_impurity_centrality,0,8,MCC,0.2182178902359924
94,confidence_impurity_centrality,0,9,A,0.65
95,confidence_impurity_centrality,0,9,MCC,0.0
96,confidence_impurity_centrality,0,10,A,0.7
97,confidence_impurity_centrality,0,10,MCC,0.2182178902359924
98,confidence_impurity_centrality,0,11,A,0.7
99,confidence_impurity_centrality,0,11,MCC,0.2182178902359924
100,lift_impurity_centrality,0,2,A,0.75
101,lift_impurity_centrality,0,2,MCC,0.28867513459481287
102,lift_impurity_centrality,0,3,A,0.6
103,lift_impurity_centrality,0,3,MCC,0.25
104,lift_impurity_centrality,0,4,A,0.7
105,lift_impurity_centrality,0,4,MCC,0.2182178902359924
106,lift_impurity_centrality,0,5,A,0.65
107,lift_impurity_centrality,0,5,MCC,0.15724272550828775
108,lift_impurity_centrality,0,6,A,0.7
109,lift_impurity_centrality,0,6,MCC,0.2182178902359924
110,lift_impurity_centrality,0,7,A,0.7
111,lift_impurity_centrality,0,7,MCC,0.2182178902359924
