,method,fold,deg-malig,age_20-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-79,menopause_ge40,menopause_lt40,menopause_premeno,tumor-size_0-4,tumor-size_14-Oct,tumor-size_15-19,tumor-size_20-24,tumor-size_25-29,tumor-size_30-34,tumor-size_35-39,tumor-size_40-44,tumor-size_45-49,tumor-size_50-54,tumor-size_9-May,inv-nodes_0-2,inv-nodes_11-Sep,inv-nodes_14-Dec,inv-nodes_15-17,inv-nodes_24-26,inv-nodes_5-Mar,inv-nodes_8-Jun,node-caps_no,node-caps_yes,breast_left,breast_right,breast-quad_central,breast-quad_left_low,breast-quad_left_up,breast-quad_right_low,breast-quad_right_up,irradiat_no,irradiat_yes
0,perm,0,0.3333333333333333,0.0,0.0,0.0,0.0,-0.2666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999973,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,gini,0,0.34652980494148955,0.0,0.0,0.0,0.0,0.10935574127748875,0.0,0.04600533688308862,0.0,0.0,0.0,0.1116699549976634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11770539734223534,0.0822195889048109,0.0,0.09875115615982914,0.0,0.0,0.0,0.0,0.051948917075603916,0.03581410241779026,0.0,0.0,0.0
2,shap,0,0.42002819512086664,0.0,0.0,0.0,0.0,0.05445637628088975,0.0,0.11798017509083324,0.0,0.0,0.0,0.0952729806415555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09983311678088606,0.002850777866614158,0.0,0.10429188289799386,0.0,0.0,0.0,0.0,0.046361473052970156,0.058925022267390596,0.0,0.0,0.0
3,support_impurity_centrality,0,0.30294947482997736,0.0,0.0,0.0,0.0,0.07386012536842998,0.0,0.007376097395327528,0.0,0.0,0.0,0.010636591663615413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10445519021861989,0.04122419998897907,0.0,0.288069114844358,0.0,0.0,0.0,0.0,0.15059919434736802,0.020830011343324777,0.0,0.0,0.0
4,confidence_impurity_centrality,0,0.17414098362782593,0.0,0.0,0.0,0.0,0.03180606288190281,0.0,0.0006943752848470967,0.0,0.0,0.0,0.001150947847402743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13616405794300623,0.04244474165348569,0.0,0.360183724503425,0.0,0.0,0.0,0.0,0.19850050734965066,0.054914598908453925,0.0,0.0,0.0
5,lift_impurity_centrality,0,0.23446504667175147,0.0,0.0,0.0,0.0,0.04453808937552566,0.0,0.00045589198367437035,0.0,0.0,0.0,0.0007556123702162101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11914380735180727,0.04972772694073236,0.0,0.2923674563319203,0.0,0.0,0.0,0.0,0.17643550431248756,0.08211086466188484,0.0,0.0,0.0
6,equal_impurity_centrality,0,0.17961077544839432,0.0,0.0,0.0,0.0,0.03506222034787695,0.0,0.0008790515481093161,0.0,0.0,0.0,0.001405270983128166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14516375220929964,0.04053553300296204,0.0,0.35204657878726164,0.0,0.0,0.0,0.0,0.192532154145161,0.05276466352780707,0.0,0.0,0.0
7,relevance_impurity_centrality,0,0.34840087939797837,0.0,0.0,0.0,0.0,0.08071861495401446,0.0,0.0032294264046766803,0.0,0.0,0.0,0.00459359889394861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07921943229177024,0.027169427207465582,0.0,0.26520938510459635,0.0,0.0,0.0,0.0,0.17505735256913715,0.016401883176412592,0.0,0.0,0.0
8,support_relevance_centrality,0,0.5020209855404372,0.0,0.0,0.0,0.0,0.010350293739391586,0.0,0.40601295264110865,0.0,0.0,0.0,0.029186461595817736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006412906366687841,0.0002723406676457769,0.0,0.02439053049973569,0.0,0.0,0.0,0.0,0.0006960643656709093,0.020657464583504623,0.0,0.0,0.0
9,confidence_relevance_centrality,0,0.43789906011653346,0.0,0.0,0.0,0.0,0.020260055917462216,0.0,0.35824083552953034,0.0,0.0,0.0,0.07582276224916178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012177060249769367,0.001074229919480817,0.0,0.045380773807702994,0.0,0.0,0.0,0.0,0.002874559387614254,0.046270662822744765,0.0,0.0,0.0
10,lift_relevance_centrality,0,0.43409474476523063,0.0,0.0,0.0,0.0,0.02630887183768151,0.0,0.3433401384035991,0.0,0.0,0.0,0.07270572523156604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014533906446603176,0.0010803031632548332,0.0,0.05713003595059918,0.0,0.0,0.0,0.0,0.006417980439910338,0.044388293761555175,0.0,0.0,0.0
11,equal_relevance_centrality,0,0.4599663883888596,0.0,0.0,0.0,0.0,0.02297001027392445,0.0,0.3530701573067744,0.0,0.0,0.0,0.060496522684741066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013223637095740782,0.0008570932100698726,0.0,0.048604909998842545,0.0,0.0,0.0,0.0,0.0023046276818570587,0.03850665335919019,0.0,0.0,0.0
12,relevance_relevance_centrality,0,0.4771600488818844,0.0,0.0,0.0,0.0,0.012662966039534469,0.0,0.41073179863718945,0.0,0.0,0.0,0.03594598885069096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070576357299083695,0.0003365431655575398,0.0,0.030304196758485627,0.0,0.0,0.0,0.0,0.0020027708844714805,0.023798051052277693,0.0,0.0,0.0
13,perm,1,-0.035714285714285615,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.678571428571428,0.3571428571428574,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.1498738469331962e-16,-0.0,-0.0
14,gini,1,0.184760468599574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04679325869556835,0.0,0.13090673226346594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34289064096555977,0.03910320018026659,0.0,0.0,0.0,0.0,0.07517077826298009,0.0,0.0,0.0,0.0,0.03309605719938536,0.0,0.0,0.058953682780335345,0.08832518105286456,0.0,0.0
15,shap,1,0.2662441247148855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09234658586738637,0.0,0.17213753793341952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23470635923247024,0.056311683037045195,0.0,0.0,0.0,0.0,0.010899783857595702,0.0,0.0,0.0,0.0,0.01958912249037741,0.0,0.0,0.1003969729761846,0.04736782989063537,0.0,0.0
16,support_impurity_centrality,1,0.42492092041684815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018884451045298345,0.0,0.00843945654370002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13042354455615696,0.125976489340996,0.0,0.0,0.0,0.0,0.03785872998247873,0.0,0.0,0.0,0.0,0.11517144741816528,0.0,0.0,0.005047470601592985,0.13327749009476356,0.0,0.0
17,confidence_impurity_centrality,1,0.30178689685789517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006386142136304587,0.0,0.0020671323741853977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07349748412475787,0.14440999728701734,0.0,0.0,0.0,0.0,0.024944517208793652,0.0,0.0,0.0,0.0,0.09635859318234409,0.0,0.0,0.002074944839356737,0.34847429198934515,0.0,0.0
18,lift_impurity_centrality,1,0.33355225767329044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035271253232776194,0.0,0.0011418815400961696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05065392152833793,0.1345488610934948,0.0,0.0,0.0,0.0,0.03277609115652239,0.0,0.0,0.0,0.0,0.12531323991101687,0.0,0.0,0.0011462511751080537,0.3173403705988558,0.0,0.0
19,equal_impurity_centrality,1,0.2973442638366244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009399404340820185,0.0,0.003320544082816648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08292149812473243,0.1517780703688698,0.0,0.0,0.0,0.0,0.025165762838476432,0.0,0.0,0.0,0.0,0.09157353841378488,0.0,0.0,0.002007214152685268,0.33648970384119,0.0,0.0
20,relevance_impurity_centrality,1,0.445153406945199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009982359156167788,0.0,0.004029448147510767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0888007945549673,0.09723808560745537,0.0,0.0,0.0,0.0,0.051504800345951444,0.0,0.0,0.0,0.0,0.1588474708802494,0.0,0.0,0.002544869345187215,0.14189876501731172,0.0,0.0
