,method,fold,selected,metric,value
0,perm,0,2,A,0.7586206896551724
1,perm,0,2,MCC,0.29701403707121016
2,perm,0,3,A,0.7586206896551724
3,perm,0,3,MCC,0.33101874976866896
4,perm,0,4,A,0.7586206896551724
5,perm,0,4,MCC,0.33101874976866896
6,perm,0,5,A,0.7586206896551724
7,perm,0,5,MCC,0.33101874976866896
8,perm,0,6,A,0.7586206896551724
9,perm,0,6,MCC,0.33101874976866896
10,perm,0,7,A,0.7586206896551724
11,perm,0,7,MCC,0.33101874976866896
12,perm,0,8,A,0.7586206896551724
13,perm,0,8,MCC,0.33101874976866896
14,perm,0,9,A,0.7586206896551724
15,perm,0,9,MCC,0.33101874976866896
16,perm,0,10,A,0.7586206896551724
17,perm,0,10,MCC,0.33101874976866896
18,perm,0,11,A,0.7586206896551724
19,perm,0,11,MCC,0.33101874976866896
20,gini,0,2,A,0.6206896551724138
21,gini,0,2,MCC,0.08625819491779428
22,gini,0,3,A,0.6206896551724138
23,gini,0,3,MCC,0.08625819491779428
24,gini,0,4,A,0.6896551724137931
25,gini,0,4,MCC,0.04367853486341326
26,gini,0,5,A,0.7241379310344828
27,gini,0,5,MCC,0.2561358820277077
28,gini,0,6,A,0.7241379310344828
29,gini,0,6,MCC,0.2561358820277077
30,gini,0,7,A,0.7241379310344828
31,gini,0,7,MCC,0.2561358820277077
32,gini,0,8,A,0.7241379310344828
33,gini,0,8,MCC,0.2561358820277077
34,gini,0,9,A,0.7241379310344828
35,gini,0,9,MCC,0.2561358820277077
36,gini,0,10,A,0.7241379310344828
37,gini,0,10,MCC,0.2561358820277077
38,gini,0,11,A,0.7241379310344828
39,gini,0,11,MCC,0.2561358820277077
40,shap,0,2,A,0.6551724137931034
41,shap,0,2,MCC,-0.02314550249431379
42,shap,0,3,A,0.7586206896551724
43,shap,0,3,MCC,0.29701403707121016
44,shap,0,4,A,0.7586206896551724
45,shap,0,4,MCC,0.33101874976866896
46,shap,0,5,A,0.7586206896551724
47,shap,0,5,MCC,0.33101874976866896
48,shap,0,6,A,0.7586206896551724
49,shap,0,6,MCC,0.33101874976866896
50,shap,0,7,A,0.7241379310344828
51,shap,0,7,MCC,0.2561358820277077
52,shap,0,8,A,0.7241379310344828
53,shap,0,8,MCC,0.2561358820277077
54,shap,0,9,A,0.7241379310344828
55,shap,0,9,MCC,0.2561358820277077
56,shap,0,10,A,0.7241379310344828
57,shap,0,10,MCC,0.2561358820277077
58,shap,0,11,A,0.7241379310344828
59,shap,0,11,MCC,0.2561358820277077
60,support_impurity_centrality,0,2,A,0.7586206896551724
61,support_impurity_centrality,0,2,MCC,0.29701403707121016
