,method,fold,buying_high,buying_low,buying_med,buying_vhigh,maint_high,maint_low,maint_med,maint_vhigh,doors_2,doors_3,doors_4,doors_5more,persons_2,persons_4,persons_more,lug_boot_big,lug_boot_med,lug_boot_small,safety_high,safety_low,safety_med
0,perm,0,0.08540540540540544,0.0037837837837837477,0.01567567567567565,0.09135135135135136,0.03675675675675673,0.03999999999999997,0.012432432432432399,0.08000000000000002,0.03459459459459458,0.010270270270270236,0.0,0.0,0.2037837837837839,0.008108108108108084,0.005945945945945921,0.01729729729729728,0.017297297297297266,0.0756756756756757,0.0,0.1751351351351352,0.08648648648648652
1,gini,0,0.05580404149721331,0.001472793122190376,0.03544632678229538,0.056575629955134724,0.04889783386674165,0.033827085786323215,0.018782108414767847,0.08936353667181841,0.046217027138031025,0.013277123841255043,0.0,0.0,0.20960925935758135,0.010962859797466985,0.02024801843787019,0.010636822571267357,0.012882524799254376,0.07488523712630442,0.0,0.1829448624554498,0.07816690837903473
2,shap,0,0.0792644072876907,0.003726676987180271,0.02092502384369188,0.08997790705011151,0.036339492308757985,0.035436960359315615,0.01696728554005484,0.07195091223648921,0.03189690323112194,0.012534642156711986,0.0,0.0,0.22244285769540045,0.006099612762255197,0.011087494141230015,0.01969635026403991,0.00991121767044869,0.06273376339637646,0.0,0.1992678450195445,0.06974064804957886
3,support_impurity_centrality,0,0.10967577510841502,0.001419684877857695,0.03216380740949923,0.12134567408802918,0.04034421612016138,0.03866233020429868,0.01930101266916283,0.08750359557077718,0.03653133152399845,0.008757535459876701,0.0,0.0,0.16211404345915773,0.007688630854663781,0.013980158787695951,0.010225675348934727,0.010879199901950617,0.06558964563227143,0.0,0.12181972883938767,0.11199795414386163
4,confidence_impurity_centrality,0,0.07570679364271102,0.014116499627525534,0.05365897542896793,0.0814022341092068,0.045573573270641154,0.04762404000332415,0.04444690571675581,0.05269754190551331,0.05907554595328001,0.033828955544523275,0.0,0.0,0.08251851994237087,0.04285008339433435,0.0583397917278238,0.03801377026277292,0.038931606402611556,0.06472289653880371,0.0,0.07842814637064097,0.08806412015819283
5,lift_impurity_centrality,0,-2.0047441218506283,0.001062255933309755,1.8753624607702137,-0.20610164610174614,0.0008967890241701629,0.0008657274314982893,-0.05146589290322992,0.0010133662288569932,0.0009394243444261443,0.0011015432910011385,0.0,0.0,0.506994178242258,-0.0002915760054465215,0.000309621839306183,0.0008317165386916467,0.0008087441737092978,-0.823673551906311,0.0,-1.0280835278056737,2.724174488755594
6,equal_impurity_centrality,0,0.07562847368394889,0.014034108969341482,0.053447806894558955,0.08114800652789865,0.04569953188487834,0.04734608327858436,0.044313579961868146,0.0526770498999726,0.05873075275085026,0.03494488103686207,0.0,0.0,0.08257450998867949,0.04259998976863009,0.05868584737412765,0.0388514498297749,0.0388706518918048,0.06434514269145387,0.0,0.07834501420061366,0.0877571193661521
7,relevance_impurity_centrality,0,0.12759970301946763,0.0013695604928914856,0.042279748563383034,0.1312052620466536,0.024855966321903115,0.030801561648539227,0.0232034604761594,0.07070874393360016,0.038088675695534924,0.01027888924580162,0.0,0.0,0.13952610989770267,0.004985782172472246,0.012785375880681835,0.013126836023223598,0.005681307319094364,0.07723599751715153,0.0,0.1185947934943312,0.12767222625140826
8,support_relevance_centrality,0,9.889561760611784e-05,2.8835809664926898e-11,6.836263734927086e-07,0.00010716641602789982,4.494889770542939e-05,1.2384877996320918e-05,8.511369876292829e-07,9.600281920756084e-05,2.2804607436742997e-06,1.0807539846170496e-06,0.0,0.0,0.2183738885829798,3.0019674543503526e-10,7.430986785965923e-09,2.7014302999987255e-05,1.7449486615575682e-06,1.600681165220818e-05,0.0,0.7811315428341786,8.5500152875755e-05
9,confidence_relevance_centrality,0,0.001424411119748083,1.2331855474044855e-08,3.6739912370368466e-05,0.0014578488427190658,0.0005902283363027999,0.0003966549648518965,2.996900479255439e-05,0.001304836132252213,7.340830249423753e-05,3.500594744434005e-05,0.0,0.0,0.2972773011685654,5.1378295175627864e-08,8.861170331179165e-07,0.0004456886262146109,4.5258735258705306e-05,0.00043820564360317374,0.0,0.6948995064737101,0.0015439869624887224
10,lift_relevance_centrality,0,0.014081241772039342,1.801297079467977e-07,0.0005401137044587265,0.011579566068613436,0.004894589632970314,0.005881130785403686,0.0003169643524361287,0.009995863768236475,0.0010935086166049884,0.0005648884436416429,0.0,0.0,0.27543918725074473,3.740501134865063e-07,1.3802969446625284e-05,0.0072151770434584215,0.0005203198407502276,0.005323496341732757,0.0,0.6388821496067777,0.02365744562286335
11,equal_relevance_centrality,0,0.0014244580972241673,1.2331846644751834e-08,3.673988606553116e-05,0.0014578718457918607,0.0005902518649818748,0.0003966546808570897,2.99690792956409e-05,0.0013048591488964633,7.340824993577103e-05,3.5173966890528414e-05,0.0,0.0,0.297277159573227,5.137825839008298e-08,9.81922575710637e-07,0.0004457601608188067,4.525879881439842e-05,0.0004382292812116709,0.0,0.6948991018327032,0.0015440579006053103
12,relevance_relevance_centrality,0,0.0008963247497647981,4.425340424845906e-10,1.0668824320520028e-05,0.0007078698165771216,0.0003199166384116904,0.00019663119077919166,5.97245974991719e-06,0.0006678412988486628,3.711307305658455e-05,1.950632935322107e-05,0.0,0.0,0.2176204166086515,1.9063530123394323e-09,1.3029945399604298e-07,0.00048825632646426893,1.9111456988219355e-05,0.00018293729988823698,0.0,0.7773791390609015,0.001448162217903519
13,perm,1,0.04405797101449273,0.07710144927536229,0.04695652173913042,0.05275362318840577,0.02782608695652173,0.031884057971014484,0.004637681159420318,0.09855072463768114,0.056811594202898524,-0.004057971014492733,0.0,0.0,0.17971014492753615,0.0,0.01681159420289855,0.013333333333333348,0.0017391304347826348,0.0898550724637681,0.02376811594202898,0.184927536231884,0.0533333333333333
14,gini,1,0.027026917777392828,0.04917490147817072,0.04725700401706561,0.04937526628458161,0.048320202312864206,0.027682861980925153,0.009705861821758503,0.0528882802575933,0.04024656739620606,0.017293431338223707,0.0,0.0,0.18216769066841768,0.01067370219244212,0.014898431951051342,0.021388003996383322,0.012348911989187122,0.09608181441856513,0.033798461182823376,0.21400895951638538,0.04566272941996301
15,shap,1,0.026015837084929567,0.08201272476659144,0.04410735944801679,0.0516460434353019,0.03763586763575279,0.026992348344781217,0.012286766401360553,0.07674477920496123,0.03466606787067869,0.010333893400448898,0.0,0.0,0.18979596370784751,0.003817577680762295,0.007744081551861154,0.024717913412026345,0.00786085695933312,0.071248890196812,0.060013232742770685,0.1884105538773758,0.04394924227838804
16,support_impurity_centrality,1,0.030853539317087432,0.08927500512879094,0.06035508239577336,0.034123180702008975,0.04991414551352894,0.026014448773314162,0.013053369352193825,0.10579022456266166,0.04230514815619566,0.019843301041125472,0.0,0.0,0.17398802260975535,0.010474439088193375,0.013733727532392603,0.021681233229370513,0.013903133160125349,0.07230853437108874,0.034858354991435046,0.10794557872458645,0.07957953135037232
17,confidence_impurity_centrality,1,0.02992220651960839,0.0540178605895547,0.062092315718314785,0.025509491725590576,0.048557696874998134,0.049373184341974116,0.025188708575129552,0.060739711910874065,0.06139664617745756,0.052769604757845326,0.0,0.0,0.08351460067876176,0.04984624683827471,0.048093359706803646,0.0519485946040982,0.03692295455471073,0.06471132553895677,0.04640717165504208,0.07802028814173351,0.07096803109027142
18,lift_impurity_centrality,1,-4.0887389136053005e-11,8.541472435415592e-11,-4.0260930488504476e-07,-3.9426527724453464e-11,-1.388975570938609e-07,-3.4400131701933463e-09,2.542844839009497e-10,1.5495380766343983e-09,-1.1282629220981844e-10,-7.858132716334138e-11,-0.0,-0.0,3.8944395112206755e-09,-1.1359041340489327e-08,-5.893472660646763e-11,-2.7272302459485535e-11,-6.294954985609005e-11,-3.5157339389257347e-08,-5.855872715418369e-11,0.5000673327718059,0.49993325338720995
19,equal_impurity_centrality,1,0.03005446514529412,0.05397298881411068,0.062040736621747423,0.02548830139757853,0.04853241913860152,0.04933217082502678,0.025167784716565514,0.06068925640072145,0.061345644962484916,0.05285666863804045,0.0,0.0,0.08348859282141395,0.04980484035585496,0.04805340931977316,0.05203165096469302,0.036892283245121164,0.06478356989790154,0.0465274095741785,0.07802872808241915,0.07090907907847327
20,relevance_impurity_centrality,1,0.011482290002854913,0.06802836736577443,0.06165532318990838,0.012217268532014672,0.06011842678281156,0.030832139441899165,0.01891589212513415,0.10083773591923569,0.0463840417032797,0.02074973662873682,0.0,0.0,0.15854226783612602,0.016687909373391624,0.005844144227654017,0.01899037557570101,0.008196822923685931,0.08661160862253153,0.008793953313278247,0.1253198682706492,0.1397918281653329
21,support_relevance_centrality,1,2.587964303841223e-05,0.00015484043777508607,6.177672566464578e-05,1.6961077194458178e-05,3.778835432753325e-05,5.545179310919636e-07,2.3702437131736505e-07,0.00014993248290983378,7.617467256549678e-06,2.3652578931311625e-07,0.0,0.0,0.7709758381727924,1.867450534377658e-09,4.036025524177253e-10,9.980375148572708e-06,1.0665564618200524e-06,2.0757770371137306e-05,6.860559927753887e-05,0.22843792469021584,3.0000308421394483e-05
22,confidence_relevance_centrality,1,0.00027969525043254536,0.002314415731169822,0.00047876037741763475,0.00021155421187367122,0.0003470439665474102,3.173239199231447e-05,1.1621362396250118e-05,0.0014968911351076761,7.847584769186379e-05,1.1454134691875331e-05,0.0,0.0,0.6872277586344432,3.220024002694137e-07,6.786549962402131e-08,0.00020692460270072018,3.6802770775562974e-05,0.0003819463110760146,0.0005091667548317731,0.305649065946014,0.0007263007029377566
23,lift_relevance_centrality,1,0.0003501863969504434,0.030447254189569974,0.002058591044067993,0.0003017588114812481,0.0020161080471559575,0.0004544489536397252,0.00014798184395482138,0.006955143136972603,0.0006104156099188883,0.0001824928317895691,0.0,0.0,0.6432945163741451,5.409367020009435e-06,4.9761328808644e-07,0.003260971672598912,0.0005817605013928514,0.003757137788247067,0.0013099461318880725,0.29215950997704,0.01210586970887867
24,equal_relevance_centrality,1,0.0002796954062997263,0.0023144157295571163,0.0004787603770840303,0.00021155421172625835,0.00034704412236799743,3.173239197020306e-05,1.1621362388152251e-05,0.001496891134064629,7.847584763718112e-05,1.1454134683893987e-05,0.0,0.0,0.6872277582316385,3.220024000450395e-07,6.786549957673203e-08,0.0002069246025565333,3.680277074991848e-05,0.00038194646687127507,0.0005091667544769811,0.30564906588559626,0.0007263007024316639
25,relevance_relevance_centrality,1,3.2582405026804787e-05,0.0015569172367482888,0.00020003036730896788,2.4401280782489408e-05,0.0001488998229015503,7.447136820067705e-06,2.557032092788603e-06,0.0005276691239658072,3.279327080367112e-05,3.9826315258608045e-06,0.0,0.0,0.7684366686507789,3.391240640861616e-08,2.543783103101019e-09,0.00016528761640520614,1.8137138047053853e-05,0.00011670914787918902,0.00019726732373989743,0.22798971807683213,0.000538895282151839
26,perm,2,0.10207715133531158,0.007715133531157304,0.01186943620178044,0.13115727002967356,0.04154302670623145,0.02017804154302671,0.013649851632047495,0.1198813056379822,0.018397626112759646,0.0077151335311572925,0.0,0.0,0.18872403560830855,0.003560830860534156,0.003560830860534156,0.01899109792284867,0.0,0.06231454005934716,0.012462908011869455,0.15489614243323438,0.08130563798219584
27,gini,2,0.056127849302490145,0.0057814260318774366,0.027051917288687832,0.04963274937958157,0.04754303973137942,0.034466771825548304,0.01865195992520583,0.08962566003083823,0.051992737178574014,0.01194022270383488,0.0,0.0,0.2145441353768502,0.01848295837898151,0.012077756479086689,0.029907667553401244,0.004192770794144298,0.07999802041531216,0.008700815021570095,0.1838164941323208,0.05546504845031556
28,shap,2,0.08019399262267864,0.004870746622469055,0.01895258194808049,0.09481718012425239,0.03496437337804917,0.03176531515470283,0.016151972138229352,0.08745522717800529,0.03309853705513355,0.008558077625387886,0.0,0.0,0.20780562275879802,0.006563345162958971,0.004024507470618299,0.026949242224885206,0.003120060188739914,0.0584187707877875,0.013375847486190981,0.20075482965649583,0.06815977041653674
29,support_impurity_centrality,2,0.10608312759951716,0.003702899458615799,0.028305280425965584,0.11879874441815584,0.03869051352386611,0.04099962185651557,0.0182687350086136,0.08627487924181844,0.043763013640291275,0.010633405054080072,0.0,0.0,0.16028071346087983,0.011713405831728852,0.011117615921534466,0.021625029964205313,0.004768888923610623,0.0698257328802475,0.005754748849360749,0.11607349316095113,0.10332015078004204
30,confidence_impurity_centrality,2,0.07428955020120398,0.014649085268875275,0.049761979802625055,0.07888445912200576,0.041824952700922756,0.048047779066984354,0.04243196647922832,0.05886850115153434,0.05852965443063154,0.040631581363859304,0.0,0.0,0.08052510656398089,0.04544329720237856,0.05094706786373262,0.06256491010048396,0.016216882241026,0.06693165414078693,0.016027545879735063,0.0719320182083646,0.08149200821164068
31,lift_impurity_centrality,2,0.741175366784272,-4.676861519372459e-06,-0.01891477327349359,-0.3085992834598669,-6.879530575011486e-06,1.8652157385758577e-05,-0.001850257494462747,-9.619020698758776e-06,-6.9515568048207445e-06,-8.453138490947038e-06,-0.0,-0.0,4.4796001434339067e-05,-1.5914471982384809e-06,-8.347387878322516e-06,-6.004900711034526e-06,-4.219660111069878e-06,-0.00016148681722316942,-2.7619515981232835e-06,0.10159632506232494,0.48675016649521496
32,equal_impurity_centrality,2,0.07428955020120398,0.014649085268875275,0.049761979802625055,0.07888445912200576,0.041824952700922756,0.048047779066984354,0.04243196647922832,0.05886850115153434,0.05852965443063154,0.040631581363859304,0.0,0.0,0.08052510656398089,0.04544329720237856,0.05094706786373262,0.06256491010048396,0.016216882241026,0.06693165414078693,0.016027545879735063,0.0719320182083646,0.08149200821164068
33,relevance_impurity_centrality,2,0.12471219427790768,0.0018091346798947666,0.04022859268930458,0.12921228449350025,0.029415521489921524,0.033077471878659545,0.023052025099614994,0.07166517180864727,0.044727667233045214,0.007917893689396369,0.0,0.0,0.13303550177975956,0.0067891236587727605,0.010737591951787273,0.017666046072273647,0.004060653927341313,0.07971423979600288,0.0012902095114367658,0.11471793668333471,0.12617073927939904
34,support_relevance_centrality,2,0.00010932140700018528,2.6878761832511883e-09,8.939086455452316e-07,0.00011523565944103261,4.750276562106424e-05,1.4997602970955293e-05,8.689408033865221e-07,0.00010716148830423467,2.6211870132209543e-06,3.5065404403605347e-07,0.0,0.0,0.2229253378181018,1.878319167564052e-09,3.332799531305868e-09,4.803808986053754e-05,1.7170452032140105e-06,1.2106728663216336e-05,2.3215620704814944e-06,0.776501648843867,0.00010986839939529251
35,confidence_relevance_centrality,2,0.0015469145615931636,3.032388645223483e-07,4.327914563507338e-05,0.0016371098687090182,0.0006486161583126377,0.0004570985159022343,2.888138683547214e-05,0.0014583027882658069,7.717187021349844e-05,1.3904991829664024e-05,0.0,0.0,0.30069944220242484,1.9608851583446538e-07,5.058263005621806e-07,0.0006380891735099607,4.980492583776562e-05,0.00038340460798211783,3.283669842461159e-05,0.6904633868597232,0.0018207510911200573
36,lift_relevance_centrality,2,0.015787195024575783,2.9254067436645884e-06,0.0006410882108827948,0.015505485940412,0.006317981677670961,0.006648781481847718,0.00029747472837556146,0.01274807971449441,0.0009598278052789403,0.00021094028733123287,0.0,0.0,0.2743230543465158,8.641237554778462e-07,7.713542999850832e-06,0.007674222405430418,0.0007608572990968664,0.005220584693028815,8.67395122067632e-05,0.6250404062519607,0.027765777547392307
37,equal_relevance_centrality,2,0.0015469145615931636,3.032388645223483e-07,4.327914563507338e-05,0.0016371098687090182,0.0006486161583126377,0.0004570985159022343,2.888138683547214e-05,0.0014583027882658069,7.717187021349844e-05,1.3904991829664024e-05,0.0,0.0,0.30069944220242484,1.9608851583446538e-07,5.058263005621806e-07,0.0006380891735099607,4.980492583776562e-05,0.00038340460798211783,3.283669842461159e-05,0.6904633868597232,0.0018207510911200573
38,relevance_relevance_centrality,2,0.0011216874181931235,2.2438651970467903e-08,1.4718758817857115e-05,0.0010766149583229274,0.00046608038179135115,0.0002399458461201961,6.476089285191764e-06,0.0009610813053388483,3.0132311744481817e-05,6.08967837532571e-06,0.0,0.0,0.22185771419040218,5.897140850945889e-09,5.832442989087322e-08,0.0006005004395568142,2.9889296214526457e-05,0.0001757026248508005,7.145139940469594e-06,0.7714878311957925,0.0019183037050307563
39,perm,3,0.0989862850327967,0.011329755515801992,0.016696481812760865,0.1091234347048301,0.011329755515802002,0.03697078115682764,0.026237328562909955,0.10077519379844967,0.02385211687537265,0.0035778175313058817,-0.0005963029218843232,0.0,0.16100178890876574,0.0029815146094215586,0.0011926058437686004,0.005366726296958828,-0.003577817531305939,0.08646392367322601,0.09183064997018488,0.21109123434704843,0.005366726296958828
40,gini,3,0.055978744714175833,0.014359125597094378,0.01979100589647904,0.04980950620711306,0.04429867036964487,0.03441377353810373,0.01973067898414793,0.10077913299181543,0.04644477969271288,0.01432759708832629,0.0010662321547953827,0.0,0.1842787830857168,0.010476522307373162,0.02074274731181047,0.01140222910516468,0.015785829359736173,0.07166642076273351,0.07110433507238756,0.21061130855242527,0.0029325772082435643
41,shap,3,0.06807151562505703,0.007021032207944722,0.015243453670959525,0.07850058795018591,0.03326429061926752,0.034536156282365296,0.02033754920251597,0.07453473307054398,0.04136357092210359,0.007117578514017853,0.0006832084569335617,0.0,0.22036924901989857,0.003064688705957609,0.017083717738885555,0.009609676985518786,0.012363804524367427,0.08293589002675093,0.07177437347668954,0.19660450470065896,0.005520418299377611
42,support_impurity_centrality,3,0.10188227665126126,0.010246019877878387,0.020029143926371867,0.11855272683029716,0.0423060281419882,0.0456310231162116,0.021746666435766775,0.0854120356511472,0.04265015020910253,0.013456538185970632,0.0010705160979693786,0.0,0.16518277590608835,0.008829636708170161,0.016087711623510966,0.011404236610928545,0.01602378622882255,0.06272241423906999,0.11078204319362132,0.10374795028837883,0.002236320077444205
43,confidence_impurity_centrality,3,0.06914941114114546,0.029918599346737598,0.03942521629705087,0.07480755832060433,0.05245357346957475,0.05215731090034967,0.047107188102116664,0.045142301705382346,0.05553994054277716,0.044634417736903985,0.013423661751865677,0.0,0.07987040402614014,0.042772529658604806,0.053196242381837525,0.03932376968954466,0.0470711389367281,0.05536521292507013,0.08297952907871974,0.06671342845919771,0.008948565529648357
44,lift_impurity_centrality,3,6.548718961889599,0.003953159153924413,-16.93563762791801,-4.442477998767986,0.007517061707493022,0.011083060331847453,0.18944991512159623,0.009985221080299995,-0.0060334698585151865,0.008398498368758323,0.011475259160817345,0.0,-0.006418162000028484,0.008864939000688125,0.009995190545938552,0.005866967418156093,0.008595491630191644,0.2829583631734882,15.27137392297796,0.011036551424779552,0.001294695559000652
45,equal_impurity_centrality,3,0.06914941114114546,0.029918599346737598,0.03942521629705087,0.07480755832060433,0.05245357346957475,0.05215731090034967,0.047107188102116664,0.045142301705382346,0.05553994054277716,0.044634417736903985,0.013423661751865677,0.0,0.07987040402614014,0.042772529658604806,0.053196242381837525,0.03932376968954466,0.0470711389367281,0.05536521292507013,0.08297952907871974,0.06671342845919771,0.008948565529648357
46,relevance_impurity_centrality,3,0.12615662885664172,0.008951494873557906,0.03374482411788881,0.13355740441358954,0.029747001160268866,0.03859773121907148,0.024721068307597616,0.07205047523640057,0.04510959838329643,0.013191709012675277,0.0015217637812775474,0.0,0.14319950774123144,0.004972324497290935,0.013103676195997508,0.004692655667177913,0.020155539983297888,0.07618894087748748,0.13507330772582435,0.07481409712078016,0.00045025082864643334
47,support_relevance_centrality,3,8.825664054758388e-05,8.309454208863609e-09,3.4493541287985145e-07,0.00012057530731546191,5.307804387009985e-05,1.2058549257109394e-05,1.0216335829806928e-06,0.00010941744108878174,1.4814481323821351e-06,4.022085764111653e-07,5.429106193685545e-12,0.0,0.7849407085656013,3.1293140258876327e-10,4.410110651489639e-09,2.604201103336714e-06,3.9173146804608555e-05,0.00010152326994467918,0.00010386274396564079,0.2144254506382897,2.818858166166243e-08
48,confidence_relevance_centrality,3,0.0012415542086686607,9.540072986902976e-07,1.9002034802476007e-05,0.0016535424526547874,0.0007033295010409857,0.00038371609939292324,3.336630579453816e-05,0.0014584269877106065,5.203415373456853e-05,1.533204132796863e-05,2.522642388452064e-09,0.0,0.6971469700228224,6.369019679383112e-08,4.969750268992292e-07,5.928760127261019e-05,0.0005798105114840164,0.0015676728055434017,0.001708693797471386,0.2933747301805404,1.014100573478698e-06
49,lift_relevance_centrality,3,0.011836188519953996,1.3082632133775342e-05,0.00024869539827958076,0.015373033151385654,0.006914522019370873,0.005560354245531822,0.0003382748265549616,0.012649192052461325,0.0007011062340641656,0.00023102178457814064,3.8202885361308926e-08,0.0,0.6265331099879927,6.541034667889776e-07,5.443121418492098e-06,0.0006303683281340481,0.008893264945492871,0.023052381850347522,0.026692276471720337,0.2603241895009294,2.8026232981703994e-06
50,equal_relevance_centrality,3,0.0012415542086686607,9.540072986902976e-07,1.9002034802476007e-05,0.0016535424526547874,0.0007033295010409857,0.00038371609939292324,3.336630579453816e-05,0.0014584269877106065,5.203415373456853e-05,1.533204132796863e-05,2.522642388452064e-09,0.0,0.6971469700228224,6.369019679383112e-08,4.969750268992292e-07,5.928760127261019e-05,0.0005798105114840164,0.0015676728055434017,0.001708693797471386,0.2933747301805404,1.014100573478698e-06
51,relevance_relevance_centrality,3,0.0008205123801794478,1.2415191667440753e-07,4.340417067797196e-06,0.0010899620348831438,0.0005145200547009591,0.00018703939620900428,7.066202733166882e-06,0.0009432373130526766,2.084200002080895e-05,6.76820494669429e-06,9.260825435120266e-11,0.0,0.7794415417449658,3.1887704218475465e-09,4.699882600769099e-08,2.5085208850573352e-05,0.0006649968917292088,0.0016692130319413017,0.0018455564390478024,0.21275905610378948,8.8143760715522e-08
52,perm,4,0.0890928725701944,0.01241900647948162,0.004319654427645749,0.10853131749460049,0.051295896328293726,0.02537796976241898,0.010799136069114465,0.08099352051835854,0.031317494600431955,0.007019438444924382,0.0,0.0,0.20032397408207353,0.0037796976241900294,0.0005399568034557186,0.004859611231101477,0.023218142548596103,0.08639308855291579,0.04103671706263497,0.15496760259179274,0.06371490280777536
53,gini,4,0.05283810676976501,0.0238135167762656,0.012022962130704022,0.05273348490273435,0.04525465241204616,0.01738480306947221,0.020331156516265676,0.11353601057707499,0.047677552669742725,0.013861119017998256,0.0,0.0,0.2117046638974588,0.014685963587485161,0.0185537327100507,0.006007960333227704,0.019411600589863076,0.08290685106832206,0.0226013900789084,0.18545853505275672,0.03921593783985826
54,shap,4,0.08095226828905867,0.015482902232080938,0.006534996466507641,0.08748607919398499,0.04403244498008287,0.0266441013567131,0.010375077629650271,0.06887187243682723,0.030707965467858964,0.009122637183616803,0.0,0.0,0.20554145124335185,0.00643308796944293,0.004980781998498904,0.008265805532684812,0.016418196460453224,0.07274338581936772,0.02901185896061573,0.2161898594383617,0.06020522734084158
55,support_impurity_centrality,4,0.09827679714509231,0.01821357189593291,0.013574068779698054,0.1129272661647422,0.05276715795563591,0.02405743016575614,0.018417515364462636,0.10187575958791595,0.040423229124152395,0.012045285331353331,0.0,0.0,0.16470343069262747,0.010627912977610763,0.01534968999568419,0.005215274058430423,0.020739428705836515,0.07310265848177291,0.014983570227647038,0.11223969389852793,0.09046025944712063
