,method,fold,selected,metric,value
0,perm,0,2,A,0.8034682080924855
1,perm,0,2,MCC,0.6438581114398946
2,perm,0,3,A,0.7803468208092486
3,perm,0,3,MCC,0.5429680105532229
4,perm,0,4,A,0.7803468208092486
5,perm,0,4,MCC,0.5429680105532229
6,perm,0,5,A,0.8092485549132948
7,perm,0,5,MCC,0.5694305328017422
8,perm,0,6,A,0.8497109826589595
9,perm,0,6,MCC,0.7002302696115202
10,perm,0,7,A,0.8786127167630058
11,perm,0,7,MCC,0.7527663635284854
12,perm,0,8,A,0.8786127167630058
13,perm,0,8,MCC,0.74072510677423
14,perm,0,9,A,0.930635838150289
15,perm,0,9,MCC,0.8561799398500497
16,perm,0,10,A,0.9075144508670521
17,perm,0,10,MCC,0.8013505902185859
18,perm,0,11,A,0.9190751445086706
19,perm,0,11,MCC,0.829950240052465
20,gini,0,2,A,0.8034682080924855
21,gini,0,2,MCC,0.6438581114398946
22,gini,0,3,A,0.8092485549132948
23,gini,0,3,MCC,0.5694305328017422
24,gini,0,4,A,0.8092485549132948
25,gini,0,4,MCC,0.5694305328017422
26,gini,0,5,A,0.8265895953757225
27,gini,0,5,MCC,0.5970745297870423
28,gini,0,6,A,0.838150289017341
29,gini,0,6,MCC,0.6919379215972374
30,gini,0,7,A,0.8786127167630058
31,gini,0,7,MCC,0.7527663635284854
32,gini,0,8,A,0.9364161849710982
33,gini,0,8,MCC,0.8686505214348914
34,gini,0,9,A,0.9190751445086706
35,gini,0,9,MCC,0.8267597012656991
36,gini,0,10,A,0.9190751445086706
37,gini,0,10,MCC,0.8273260005078008
38,gini,0,11,A,0.9132947976878613
39,gini,0,11,MCC,0.8151648730374449
40,shap,0,2,A,0.8034682080924855
41,shap,0,2,MCC,0.6438581114398946
42,shap,0,3,A,0.7803468208092486
43,shap,0,3,MCC,0.5429680105532229
44,shap,0,4,A,0.7803468208092486
45,shap,0,4,MCC,0.5429680105532229
46,shap,0,5,A,0.8208092485549133
47,shap,0,5,MCC,0.6078952776886596
48,shap,0,6,A,0.8497109826589595
49,shap,0,6,MCC,0.7002302696115202
50,shap,0,7,A,0.8786127167630058
51,shap,0,7,MCC,0.7527663635284854
52,shap,0,8,A,0.9364161849710982
53,shap,0,8,MCC,0.8686505214348914
54,shap,0,9,A,0.930635838150289
55,shap,0,9,MCC,0.8561799398500497
56,shap,0,10,A,0.9075144508670521
57,shap,0,10,MCC,0.8013505902185859
58,shap,0,11,A,0.9132947976878613
59,shap,0,11,MCC,0.8151648730374449
60,support_impurity_centrality,0,2,A,0.8034682080924855
61,support_impurity_centrality,0,2,MCC,0.6438581114398946
62,support_impurity_centrality,0,3,A,0.7803468208092486
63,support_impurity_centrality,0,3,MCC,0.5429680105532229
64,support_impurity_centrality,0,4,A,0.7803468208092486
65,support_impurity_centrality,0,4,MCC,0.5429680105532229
66,support_impurity_centrality,0,5,A,0.8092485549132948
67,support_impurity_centrality,0,5,MCC,0.5694305328017422
68,support_impurity_centrality,0,6,A,0.8497109826589595
69,support_impurity_centrality,0,6,MCC,0.7002302696115202
70,support_impurity_centrality,0,7,A,0.8786127167630058
71,support_impurity_centrality,0,7,MCC,0.7527663635284854
72,support_impurity_centrality,0,8,A,0.9364161849710982
73,support_impurity_centrality,0,8,MCC,0.8686505214348914
74,support_impurity_centrality,0,9,A,0.930635838150289
75,support_impurity_centrality,0,9,MCC,0.8561799398500497
76,support_impurity_centrality,0,10,A,0.9075144508670521
77,support_impurity_centrality,0,10,MCC,0.8013505902185859
78,support_impurity_centrality,0,11,A,0.9132947976878613
79,support_impurity_centrality,0,11,MCC,0.8151648730374449
80,confidence_impurity_centrality,0,2,A,0.6878612716763006
81,confidence_impurity_centrality,0,2,MCC,0.20008637946413513
82,confidence_impurity_centrality,0,3,A,0.6936416184971098
83,confidence_impurity_centrality,0,3,MCC,0.20141749318801427
84,confidence_impurity_centrality,0,4,A,0.7803468208092486
85,confidence_impurity_centrality,0,4,MCC,0.5429680105532229
86,confidence_impurity_centrality,0,5,A,0.8092485549132948
87,confidence_impurity_centrality,0,5,MCC,0.5694305328017422
88,confidence_impurity_centrality,0,6,A,0.7861271676300579
89,confidence_impurity_centrality,0,6,MCC,0.5501857816484523
90,confidence_impurity_centrality,0,7,A,0.8265895953757225
91,confidence_impurity_centrality,0,7,MCC,0.620820043087473
92,confidence_impurity_centrality,0,8,A,0.8092485549132948
93,confidence_impurity_centrality,0,8,MCC,0.5902381637187706
94,confidence_impurity_centrality,0,9,A,0.8034682080924855
95,confidence_impurity_centrality,0,9,MCC,0.5717629357724374
96,confidence_impurity_centrality,0,10,A,0.9017341040462428
97,confidence_impurity_centrality,0,10,MCC,0.7913043815611277
98,confidence_impurity_centrality,0,11,A,0.8728323699421965
99,confidence_impurity_centrality,0,11,MCC,0.7183482450649704
100,lift_impurity_centrality,0,2,A,0.6994219653179191
101,lift_impurity_centrality,0,2,MCC,0.0
102,lift_impurity_centrality,0,3,A,0.7167630057803468
103,lift_impurity_centrality,0,3,MCC,0.19550645911474404
