,method,fold,wife_age,wife_edu,husband_edu,num_children,wife_religion,wife_working,husband_occupation,standard_of_living_index,media_exposure
0,perm,0,0.5280898876404496,0.14981273408239684,0.0,0.31460674157303375,0.0,0.0,0.007490636704119781,0.0,0.0
1,gini,0,0.3011834921078351,0.19992633426863116,0.0,0.46708616040436374,0.0,0.0,0.0031652987631472927,0.0,0.028638714456022514
2,shap,0,0.28440857193896163,0.2824176350896884,0.0,0.4110906980340835,0.0,0.0,0.0030494001905350125,0.0,0.019033694746731365
3,support_impurity_centrality,0,0.40449233354210407,0.25742434260839203,0.0,0.29543896983699336,0.0,0.0,0.0072257149626164105,0.0,0.03541863904989414
4,confidence_impurity_centrality,0,0.46876068947887717,0.01350758916018239,0.0,0.4616778427049843,0.0,0.0,0.0525133376944851,0.0,0.0035405409614711766
5,lift_impurity_centrality,0,0.43912182548643597,0.015772812859763393,0.0,0.4851521390163538,0.0,0.0,0.05683727745713566,0.0,0.003115945180311175
6,equal_impurity_centrality,0,0.4653186263643574,0.021464596297613842,0.0,0.4575888556131127,0.0,0.0,0.05126054906393967,0.0,0.004367372660976263
7,relevance_impurity_centrality,0,0.36949326421615813,0.2718512604396414,0.0,0.32341562549529035,0.0,0.0,0.007156879196549794,0.0,0.02808297065236025
8,support_relevance_centrality,0,0.259267550029646,0.2767838392849256,0.0,0.46280854857397014,0.0,0.0,0.0001873785464221086,0.0,0.0009526835650361322
9,confidence_relevance_centrality,0,0.21210158049297945,0.2305896552370423,0.0,0.5552843022085268,0.0,0.0,0.00043687443709047386,0.0,0.0015875876243610517
10,lift_relevance_centrality,0,0.21112790561217462,0.2754174287614278,0.0,0.5117470377662144,0.0,0.0,0.0003685209954669261,0.0,0.0013391068647162947
11,equal_relevance_centrality,0,0.23461796723176784,0.2737072650918173,0.0,0.48999928175874374,0.0,0.0,0.0002861139940561552,0.0,0.0013893719236149685
12,relevance_relevance_centrality,0,0.24819260193600085,0.3128020757220649,0.0,0.43802612638382976,0.0,0.0,0.00017052109898708996,0.0,0.0008086748591173885
