,method,fold,selected,metric,value
0,perm,0,2,A,0.527027027027027
1,perm,0,2,MCC,0.27309246673447757
2,perm,0,3,A,0.527027027027027
3,perm,0,3,MCC,0.2694004634564572
4,perm,0,4,A,0.527027027027027
5,perm,0,4,MCC,0.2694004634564572
6,perm,0,5,A,0.527027027027027
7,perm,0,5,MCC,0.2694004634564572
8,perm,0,6,A,0.527027027027027
9,perm,0,6,MCC,0.2694004634564572
10,perm,0,7,A,0.527027027027027
11,perm,0,7,MCC,0.2694004634564572
12,perm,0,8,A,0.527027027027027
13,perm,0,8,MCC,0.2694004634564572
14,perm,0,9,A,0.527027027027027
15,perm,0,9,MCC,0.2694004634564572
16,perm,0,10,A,0.527027027027027
17,perm,0,10,MCC,0.2694004634564572
18,perm,0,11,A,0.527027027027027
19,perm,0,11,MCC,0.2694004634564572
20,gini,0,2,A,0.527027027027027
21,gini,0,2,MCC,0.27309246673447757
22,gini,0,3,A,0.527027027027027
23,gini,0,3,MCC,0.2694004634564572
24,gini,0,4,A,0.527027027027027
25,gini,0,4,MCC,0.2694004634564572
26,gini,0,5,A,0.527027027027027
27,gini,0,5,MCC,0.2694004634564572
28,gini,0,6,A,0.527027027027027
29,gini,0,6,MCC,0.2694004634564572
30,gini,0,7,A,0.527027027027027
31,gini,0,7,MCC,0.2694004634564572
32,gini,0,8,A,0.527027027027027
33,gini,0,8,MCC,0.2694004634564572
34,gini,0,9,A,0.527027027027027
35,gini,0,9,MCC,0.2694004634564572
36,gini,0,10,A,0.527027027027027
37,gini,0,10,MCC,0.2694004634564572
38,gini,0,11,A,0.527027027027027
39,gini,0,11,MCC,0.2694004634564572
40,shap,0,2,A,0.527027027027027
41,shap,0,2,MCC,0.27309246673447757
42,shap,0,3,A,0.527027027027027
43,shap,0,3,MCC,0.2694004634564572
44,shap,0,4,A,0.527027027027027
45,shap,0,4,MCC,0.2694004634564572
46,shap,0,5,A,0.527027027027027
47,shap,0,5,MCC,0.2694004634564572
48,shap,0,6,A,0.527027027027027
49,shap,0,6,MCC,0.2694004634564572
50,shap,0,7,A,0.527027027027027
51,shap,0,7,MCC,0.2694004634564572
52,shap,0,8,A,0.527027027027027
53,shap,0,8,MCC,0.2694004634564572
54,shap,0,9,A,0.527027027027027
55,shap,0,9,MCC,0.2694004634564572
56,shap,0,10,A,0.527027027027027
57,shap,0,10,MCC,0.2694004634564572
58,shap,0,11,A,0.527027027027027
59,shap,0,11,MCC,0.2694004634564572
60,support_impurity_centrality,0,2,A,0.527027027027027
61,support_impurity_centrality,0,2,MCC,0.27309246673447757
62,support_impurity_centrality,0,3,A,0.527027027027027
63,support_impurity_centrality,0,3,MCC,0.2694004634564572
64,support_impurity_centrality,0,4,A,0.527027027027027
65,support_impurity_centrality,0,4,MCC,0.2694004634564572
66,support_impurity_centrality,0,5,A,0.527027027027027
67,support_impurity_centrality,0,5,MCC,0.2694004634564572
68,support_impurity_centrality,0,6,A,0.527027027027027
69,support_impurity_centrality,0,6,MCC,0.2694004634564572
70,support_impurity_centrality,0,7,A,0.527027027027027
71,support_impurity_centrality,0,7,MCC,0.2694004634564572
72,support_impurity_centrality,0,8,A,0.527027027027027
73,support_impurity_centrality,0,8,MCC,0.2694004634564572
74,support_impurity_centrality,0,9,A,0.527027027027027
75,support_impurity_centrality,0,9,MCC,0.2694004634564572
76,support_impurity_centrality,0,10,A,0.527027027027027
77,support_impurity_centrality,0,10,MCC,0.2694004634564572
78,support_impurity_centrality,0,11,A,0.527027027027027
79,support_impurity_centrality,0,11,MCC,0.2694004634564572
80,confidence_impurity_centrality,0,2,A,0.527027027027027
81,confidence_impurity_centrality,0,2,MCC,0.27309246673447757
82,confidence_impurity_centrality,0,3,A,0.5337837837837838
83,confidence_impurity_centrality,0,3,MCC,0.3017432690119985
84,confidence_impurity_centrality,0,4,A,0.527027027027027
85,confidence_impurity_centrality,0,4,MCC,0.2694004634564572
86,confidence_impurity_centrality,0,5,A,0.527027027027027
87,confidence_impurity_centrality,0,5,MCC,0.2694004634564572
88,confidence_impurity_centrality,0,6,A,0.527027027027027
89,confidence_impurity_centrality,0,6,MCC,0.2694004634564572
90,confidence_impurity_centrality,0,7,A,0.527027027027027
91,confidence_impurity_centrality,0,7,MCC,0.2694004634564572
92,confidence_impurity_centrality,0,8,A,0.527027027027027
93,confidence_impurity_centrality,0,8,MCC,0.2694004634564572
94,confidence_impurity_centrality,0,9,A,0.527027027027027
95,confidence_impurity_centrality,0,9,MCC,0.2694004634564572
96,confidence_impurity_centrality,0,10,A,0.527027027027027
97,confidence_impurity_centrality,0,10,MCC,0.2694004634564572
98,confidence_impurity_centrality,0,11,A,0.527027027027027
99,confidence_impurity_centrality,0,11,MCC,0.2694004634564572
100,lift_impurity_centrality,0,2,A,0.527027027027027
101,lift_impurity_centrality,0,2,MCC,0.27309246673447757
102,lift_impurity_centrality,0,3,A,0.5337837837837838
103,lift_impurity_centrality,0,3,MCC,0.3017432690119985
104,lift_impurity_centrality,0,4,A,0.527027027027027
105,lift_impurity_centrality,0,4,MCC,0.2694004634564572
106,lift_impurity_centrality,0,5,A,0.527027027027027
107,lift_impurity_centrality,0,5,MCC,0.2694004634564572
108,lift_impurity_centrality,0,6,A,0.527027027027027
109,lift_impurity_centrality,0,6,MCC,0.2694004634564572
110,lift_impurity_centrality,0,7,A,0.527027027027027
111,lift_impurity_centrality,0,7,MCC,0.2694004634564572
112,lift_impurity_centrality,0,8,A,0.527027027027027
113,lift_impurity_centrality,0,8,MCC,0.2694004634564572
114,lift_impurity_centrality,0,9,A,0.527027027027027
115,lift_impurity_centrality,0,9,MCC,0.2694004634564572
116,lift_impurity_centrality,0,10,A,0.527027027027027
117,lift_impurity_centrality,0,10,MCC,0.2694004634564572
118,lift_impurity_centrality,0,11,A,0.527027027027027
119,lift_impurity_centrality,0,11,MCC,0.2694004634564572
120,equal_impurity_centrality,0,2,A,0.527027027027027
121,equal_impurity_centrality,0,2,MCC,0.27309246673447757
122,equal_impurity_centrality,0,3,A,0.5337837837837838
123,equal_impurity_centrality,0,3,MCC,0.3017432690119985
124,equal_impurity_centrality,0,4,A,0.527027027027027
125,equal_impurity_centrality,0,4,MCC,0.2694004634564572
126,equal_impurity_centrality,0,5,A,0.527027027027027
127,equal_impurity_centrality,0,5,MCC,0.2694004634564572
128,equal_impurity_centrality,0,6,A,0.527027027027027
129,equal_impurity_centrality,0,6,MCC,0.2694004634564572
130,equal_impurity_centrality,0,7,A,0.527027027027027
131,equal_impurity_centrality,0,7,MCC,0.2694004634564572
132,equal_impurity_centrality,0,8,A,0.527027027027027
133,equal_impurity_centrality,0,8,MCC,0.2694004634564572
134,equal_impurity_centrality,0,9,A,0.527027027027027
135,equal_impurity_centrality,0,9,MCC,0.2694004634564572
136,equal_impurity_centrality,0,10,A,0.527027027027027
137,equal_impurity_centrality,0,10,MCC,0.2694004634564572
138,equal_impurity_centrality,0,11,A,0.527027027027027
139,equal_impurity_centrality,0,11,MCC,0.2694004634564572
140,relevance_impurity_centrality,0,2,A,0.527027027027027
141,relevance_impurity_centrality,0,2,MCC,0.27309246673447757
142,relevance_impurity_centrality,0,3,A,0.527027027027027
143,relevance_impurity_centrality,0,3,MCC,0.2694004634564572
144,relevance_impurity_centrality,0,4,A,0.527027027027027
145,relevance_impurity_centrality,0,4,MCC,0.2694004634564572
146,relevance_impurity_centrality,0,5,A,0.527027027027027
147,relevance_impurity_centrality,0,5,MCC,0.2694004634564572
148,relevance_impurity_centrality,0,6,A,0.527027027027027
149,relevance_impurity_centrality,0,6,MCC,0.2694004634564572
150,relevance_impurity_centrality,0,7,A,0.527027027027027
151,relevance_impurity_centrality,0,7,MCC,0.2694004634564572
152,relevance_impurity_centrality,0,8,A,0.527027027027027
153,relevance_impurity_centrality,0,8,MCC,0.2694004634564572
154,relevance_impurity_centrality,0,9,A,0.527027027027027
155,relevance_impurity_centrality,0,9,MCC,0.2694004634564572
156,relevance_impurity_centrality,0,10,A,0.527027027027027
157,relevance_impurity_centrality,0,10,MCC,0.2694004634564572
158,relevance_impurity_centrality,0,11,A,0.527027027027027
159,relevance_impurity_centrality,0,11,MCC,0.2694004634564572
160,support_relevance_centrality,0,2,A,0.44594594594594594
161,support_relevance_centrality,0,2,MCC,0.14084317496266585
162,support_relevance_centrality,0,3,A,0.527027027027027
163,support_relevance_centrality,0,3,MCC,0.2694004634564572
164,support_relevance_centrality,0,4,A,0.527027027027027
165,support_relevance_centrality,0,4,MCC,0.2694004634564572
166,support_relevance_centrality,0,5,A,0.527027027027027
167,support_relevance_centrality,0,5,MCC,0.2694004634564572
168,support_relevance_centrality,0,6,A,0.527027027027027
169,support_relevance_centrality,0,6,MCC,0.2694004634564572
170,support_relevance_centrality,0,7,A,0.527027027027027
171,support_relevance_centrality,0,7,MCC,0.2694004634564572
172,support_relevance_centrality,0,8,A,0.527027027027027
173,support_relevance_centrality,0,8,MCC,0.2694004634564572
174,support_relevance_centrality,0,9,A,0.527027027027027
175,support_relevance_centrality,0,9,MCC,0.2694004634564572
176,support_relevance_centrality,0,10,A,0.527027027027027
177,support_relevance_centrality,0,10,MCC,0.2694004634564572
178,support_relevance_centrality,0,11,A,0.527027027027027
179,support_relevance_centrality,0,11,MCC,0.2694004634564572
180,confidence_relevance_centrality,0,2,A,0.44594594594594594
181,confidence_relevance_centrality,0,2,MCC,0.14084317496266585
182,confidence_relevance_centrality,0,3,A,0.527027027027027
183,confidence_relevance_centrality,0,3,MCC,0.2694004634564572
184,confidence_relevance_centrality,0,4,A,0.527027027027027
185,confidence_relevance_centrality,0,4,MCC,0.2694004634564572
186,confidence_relevance_centrality,0,5,A,0.527027027027027
187,confidence_relevance_centrality,0,5,MCC,0.2694004634564572
188,confidence_relevance_centrality,0,6,A,0.527027027027027
189,confidence_relevance_centrality,0,6,MCC,0.2694004634564572
190,confidence_relevance_centrality,0,7,A,0.527027027027027
191,confidence_relevance_centrality,0,7,MCC,0.2694004634564572
192,confidence_relevance_centrality,0,8,A,0.527027027027027
193,confidence_relevance_centrality,0,8,MCC,0.2694004634564572
194,confidence_relevance_centrality,0,9,A,0.527027027027027
195,confidence_relevance_centrality,0,9,MCC,0.2694004634564572
196,confidence_relevance_centrality,0,10,A,0.527027027027027
197,confidence_relevance_centrality,0,10,MCC,0.2694004634564572
198,confidence_relevance_centrality,0,11,A,0.527027027027027
199,confidence_relevance_centrality,0,11,MCC,0.2694004634564572
200,lift_relevance_centrality,0,2,A,0.44594594594594594
201,lift_relevance_centrality,0,2,MCC,0.14084317496266585
202,lift_relevance_centrality,0,3,A,0.527027027027027
203,lift_relevance_centrality,0,3,MCC,0.2694004634564572
204,lift_relevance_centrality,0,4,A,0.527027027027027
205,lift_relevance_centrality,0,4,MCC,0.2694004634564572
206,lift_relevance_centrality,0,5,A,0.527027027027027
207,lift_relevance_centrality,0,5,MCC,0.2694004634564572
208,lift_relevance_centrality,0,6,A,0.527027027027027
209,lift_relevance_centrality,0,6,MCC,0.2694004634564572
210,lift_relevance_centrality,0,7,A,0.527027027027027
