,method,fold,Age,Sex,Steroid,Antivirals,Fatigue,Malaise,Anorexia,Liver Big,Liver Firm,Spleen Palpable,Spiders,Ascites,Varices,Bilirubin,Alk Phosphate,Sgot,Albumin,Protime,Histology
0,perm,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08333333333333334,0.0,0.0,0.7777777777777778,0.11111111111111113,0.19444444444444445
1,gini,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05490815470862711,0.09287931688821326,0.0,0.27196340106117733,0.1271721161891593,0.0,0.20279452331061915,0.17801021583255786,0.07227227200964594
2,support_impurity_centrality,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08337375184894337,0.019501175775177976,0.0,0.0,0.3506983239347556,0.546426748441123
3,confidence_impurity_centrality,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07217831422640938,0.036212120253542965,0.0,0.0,0.5397337960925748,0.3518757694274729
4,lift_impurity_centrality,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028765659259229012,0.0426660319954768,0.0,0.0,0.6061318886142355,0.32243642013105855
5,equal_impurity_centrality,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06904973903662029,0.03410955085751068,0.0,0.0,0.5275270870581119,0.3693136230477571
6,relevance_impurity_centrality,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366550222651006,0.01393306961677988,0.0,0.0,0.4010122481223922,0.5483996599957273
7,support_relevance_centrality,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12047065386808782,0.12074271369776278,0.0,0.0,0.7553604335719142,0.003426198862235199
8,confidence_relevance_centrality,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09783956796027868,0.11077377215000876,0.0,0.0,0.7701700104770637,0.021216649412648874
9,lift_relevance_centrality,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06119296637633992,0.09314668441518521,0.0,0.0,0.8029578284919598,0.04270252071651501
