,method,fold,selected,metric,value
0,perm,0,2,A,0.9375
1,perm,0,2,MCC,0.7867957924694432
2,perm,0,3,A,1.0
3,perm,0,3,MCC,1.0
4,perm,0,4,A,1.0
5,perm,0,4,MCC,1.0
6,perm,0,5,A,1.0
7,perm,0,5,MCC,1.0
8,perm,0,6,A,1.0
9,perm,0,6,MCC,1.0
10,perm,0,7,A,1.0
11,perm,0,7,MCC,1.0
12,perm,0,8,A,1.0
13,perm,0,8,MCC,1.0
14,perm,0,9,A,1.0
15,perm,0,9,MCC,1.0
16,perm,0,10,A,1.0
17,perm,0,10,MCC,1.0
18,gini,0,2,A,0.875
19,gini,0,2,MCC,0.7125253031944253
20,gini,0,3,A,0.875
21,gini,0,3,MCC,0.5897435897435898
22,gini,0,4,A,0.875
23,gini,0,4,MCC,0.5897435897435898
24,gini,0,5,A,0.875
25,gini,0,5,MCC,0.5897435897435898
26,gini,0,6,A,0.9375
27,gini,0,6,MCC,0.7867957924694432
28,gini,0,7,A,0.9375
29,gini,0,7,MCC,0.7867957924694432
30,gini,0,8,A,1.0
31,gini,0,8,MCC,1.0
32,gini,0,9,A,0.9375
33,gini,0,9,MCC,0.7867957924694432
34,gini,0,10,A,0.9375
35,gini,0,10,MCC,0.7867957924694432
36,support_impurity_centrality,0,2,A,1.0
37,support_impurity_centrality,0,2,MCC,1.0
38,support_impurity_centrality,0,3,A,1.0
39,support_impurity_centrality,0,3,MCC,1.0
40,support_impurity_centrality,0,4,A,0.9375
41,support_impurity_centrality,0,4,MCC,0.8320502943378436
42,support_impurity_centrality,0,5,A,0.875
43,support_impurity_centrality,0,5,MCC,0.53748384988657
44,support_impurity_centrality,0,6,A,0.875
45,support_impurity_centrality,0,6,MCC,0.53748384988657
46,support_impurity_centrality,0,7,A,1.0
47,support_impurity_centrality,0,7,MCC,1.0
48,support_impurity_centrality,0,8,A,0.9375
49,support_impurity_centrality,0,8,MCC,0.7867957924694432
50,support_impurity_centrality,0,9,A,0.9375
