,method,fold,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100
0,perm,0,-0.17575757575757311,-0.206060606060603,0.04848484848484796,0.0,0.04848484848484796,-0.0484848484848473,-0.15151515151514905,0.0,0.30303030303029976,0.0,0.0,0.0,0.06060606060605995,-0.006060606060605748,0.0,0.006060606060605995,0.1212121212121199,0.0,0.0,0.0545454545454542,0.0,-0.06060606060605929,-0.006060606060605831,0.0,-0.06060606060605912,0.0,-0.018181818181817737,0.08484848484848426,0.036363636363635966,0.0,0.0,0.0,-0.012121212121211743,0.0,0.0,0.006060606060605995,0.036363636363635966,0.0,0.0,0.0,-0.006060606060605748,0.0,0.006060606060605995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06060606060605912,-0.16969696969696704,-0.012121212121211825,0.0,0.0,2.4626765273503177e-16,0.0,0.0,0.0,0.15151515151515002,0.0,0.0,0.0,0.24848484848484587,-0.10303030303030117,0.0,0.006060606060605995,0.0,0.0,0.0,-0.024242424242423566,0.0,0.5515151515151452,0.0,0.0,0.0,0.0,-0.012121212121211825,0.12727272727272587,-0.16363636363636114,0.0,0.0,0.0,0.0,0.006060606060606159,0.0,0.0,0.0,0.09090909090908993,0.0,0.0,0.18181818181817985,0.0,0.05454545454545395,0.0,0.09090909090908993,0.0,0.0,-0.02424242424242365
1,gini,0,0.09229866471022402,0.01728244942483203,0.022301803346942626,0.0,0.053364422071389486,0.016796620568778415,0.0044254887587005754,0.004435828685706887,0.06185666841264195,0.0,0.0,0.0031846975179434067,0.010350266933316069,0.007564255232468587,0.0,0.025411264671845117,0.01526430533070648,0.0,0.0,0.011905715868018646,0.0,0.020039508415428762,0.03645670511118656,0.0,0.012905829130673164,0.0,0.00788591766347891,0.022909750259009088,0.008412778541857888,0.0,0.0,0.0,0.003968899350369324,0.0,0.0,0.009867089141254311,0.01551642098967914,0.0,0.0,0.0,0.02805136975800546,0.0,0.016489045942041463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022524152326311636,0.015318322402361261,0.007625400740667556,0.011533154582837908,0.0,0.016237369541965717,0.0,0.0,0.0,0.0195463775823067,0.0,0.02253119332422546,0.0,0.024336256557213692,0.02365775299043673,0.0,0.011828876495218365,0.0,0.0,0.0,0.011898072509199015,0.0,0.022897105940266067,0.0,0.0,0.004435828685706887,0.0,0.03120516113882812,0.010081428831152012,0.02444805446149637,0.0,0.0,0.028797681467525666,0.0,0.030031879857326436,0.0,0.0,0.0,0.021328396646119723,0.0,0.0,0.025101797653489355,0.0,0.034943531438915404,0.0,0.024854082545066783,0.0,0.0,0.02589235644486462
2,shap,0,0.11622802495996351,0.02298514935090265,0.006670918592172564,0.0,0.037300808386264796,0.014258150791262976,0.013415146795001102,0.0031046308227690492,0.04057764001089995,0.0,0.0,0.001936787493527508,0.0030045660553949067,0.02100729611883987,0.0,0.004559431303421286,0.005104920882080468,0.0,0.0,0.01691977814226251,0.0,0.010250247167535231,0.014697362793443408,0.0,0.011827377282059424,0.0,0.01789380178381119,0.04358477816599044,0.003498145721208284,0.0,0.0,0.0,0.002645417738816212,0.0,0.0,0.005476020832332014,0.004349497353712742,0.0,0.0,0.0,0.026626494074078116,0.0,0.0027410638417058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004626157030605656,0.04378461852691044,0.007218177264706067,0.000700278209374316,0.0,0.008870423867314705,0.0,0.0,0.0,0.057957850212435214,0.0,0.00327169696851627,0.0,0.04437440694692651,0.007325373593293235,0.0,0.0023256727628413187,0.0,0.0,0.0,0.03192868084796621,0.0,0.08397882716197692,0.0,0.0,0.0028047864948182954,0.0,0.006043736180107006,0.023566227508124822,0.024471674767402536,0.0,0.0,0.008618687600385696,0.0,0.024041463283914877,0.0,0.0,0.0,0.006514415612622033,0.0,0.0,0.012647167635282017,0.0,0.01856563898306491,0.0,0.025991566712905124,0.0,0.0,0.09970901536904994
3,support_impurity_centrality,0,0.03735008749278428,0.010895318166750038,0.031647653606474715,0.0,0.06494888685547345,0.018927848231474795,0.0035782617408454133,0.00401938793795742,0.06280638387804702,0.0,0.0,0.006075038653696791,0.008985632473410356,0.009506853460064147,0.0,0.03444618773154632,0.01922750366473982,0.0,0.0,0.03189996371062875,0.0,0.029802207349076442,0.025601359627734296,0.0,0.01468371047072604,0.0,0.005456929033783054,0.015415438226708735,0.00738326606033624,0.0,0.0,0.0,0.004762330634415726,0.0,0.0,0.012609509622474604,0.029839345210327297,0.0,0.0,0.0,0.042822540611673024,0.0,0.03142374915862474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03138614152134221,0.009931810228550775,0.004894282333904943,0.013656999279519343,0.0,0.05481761214329378,0.0,0.0,0.0,0.008292432002332284,0.0,0.040376788541333655,0.0,0.012920425687903692,0.030144496383520812,0.0,0.017527237062500332,0.0,0.0,0.0,0.011898718644942923,0.0,0.017105643656744322,0.0,0.0,0.0059856555950468515,0.0,0.02170659015948319,0.0048603424012074,0.03192481026511548,0.0,0.0,0.03673272412222934,0.0,0.011382080654481153,0.0,0.0,0.0,0.0068996643186783925,0.0,0.0,0.022791061910543396,0.0,0.0050378857191895705,0.0,0.019678877572093658,0.0,0.0,0.01593232618626897
4,confidence_impurity_centrality,0,0.0299589155443677,0.025482280335099083,0.0202875443074038,0.0,0.04436815547386508,0.021494950026943363,0.013206434541419674,0.019925064329862695,0.06053452242023319,0.0,0.0,0.01265059916834691,0.03159318443324772,0.003393540933810979,0.0,0.017049171353560502,0.006611313267712442,0.0,0.0,0.02350258225982131,0.0,0.04201255111762063,0.014145595319347478,0.0,0.01613211573097057,0.0,0.008194300958881174,0.017137963979008533,0.0032173614655333226,0.0,0.0,0.0,0.004291395766353013,0.0,0.0,0.012765607423496993,0.0199601459876405,0.0,0.0,0.0,0.03627148317946937,0.0,0.02842539911535631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030288804201465683,0.011512288533369741,0.0016190775117921367,0.013672523508533397,0.0,0.026592309873012806,0.0,0.0,0.0,0.022884834027853358,0.0,0.03167055258169344,0.0,0.010215700758604118,0.04964697415088404,0.0,0.02992966113372129,0.0,0.0,0.0,0.025050296538876943,0.0,0.02107206176085832,0.0,0.0,0.03089711735408582,0.0,0.013816887403241083,0.0031342797625620927,0.03216008295581721,0.0,0.0,0.027333910632346085,0.0,0.024012602483447477,0.0,0.0,0.0,0.002654446726475926,0.0,0.0,0.02745092769967347,0.0,0.0029325307584859334,0.0,0.009609911055172764,0.0,0.0,0.019230040148654697
5,lift_impurity_centrality,0,0.028563893660317426,0.026481463973189387,0.021258715469561183,0.0,0.040802046184997276,0.022762261537123914,0.013998158803030045,0.018625023728070816,0.056701026874750884,0.0,0.0,0.013510795371522211,0.025912686758184787,0.003624992080541834,0.0,0.01783820752164659,0.00706788059901364,0.0,0.0,0.024058582028922883,0.0,0.04009954951296466,0.014985331195323002,0.0,0.016967178599209085,0.0,0.008696335831606674,0.018324123149099168,0.0034372222585576577,0.0,0.0,0.0,0.004587190301916781,0.0,0.0,0.013595418470674785,0.02125486854250514,0.0,0.0,0.0,0.03652668335370009,0.0,0.02919377750745616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03149849854953196,0.012249207988151512,0.001729340011095721,0.014527498831572984,0.0,0.02766097075790127,0.0,0.0,0.0,0.0241382516291511,0.0,0.0325985919970035,0.0,0.010921876707364431,0.04521636906332556,0.0,0.030328950207825858,0.0,0.0,0.0,0.02471849466733816,0.0,0.02177183532481913,0.0,0.0,0.03035668944077483,0.0,0.014040017985857753,0.0033468505845072522,0.03196747593577366,0.0,0.0,0.028015658032288168,0.0,0.025409723166106964,0.0,0.0,0.0,0.002818677989220878,0.0,0.0,0.025925473147259268,0.0,0.003124327238924279,0.0,0.010214187550980589,0.0,0.0,0.018547619879339318
6,equal_impurity_centrality,0,0.0298985612739793,0.025422328800750786,0.020239814300771992,0.0,0.04426377160547171,0.021444379386564676,0.01317536408761347,0.019878187120960854,0.060517259530325815,0.0,0.0,0.01262083641475523,0.03151885592509168,0.003385557033501418,0.0,0.017009060187347286,0.006595758993556269,0.0,0.0,0.023447288312454972,0.0,0.041913709221673104,0.01411231532507252,0.0,0.0160941620989707,0.0,0.008175022428508835,0.01709764391256879,0.004273759156589852,0.0,0.0,0.0,0.004281299505056717,0.0,0.0,0.012735574092811416,0.01991318624298504,0.0,0.0,0.0,0.03618614815289004,0.0,0.02835852337782347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030217544476606923,0.011485203855218503,0.0016861746447757943,0.01364035649867515,0.0,0.026529746799465712,0.0,0.0,0.0,0.02283099344156226,0.0,0.031596042051396996,0.0,0.010192084509877398,0.049530170935592664,0.0,0.02985924635592687,0.0,0.0,0.0,0.02499136132218376,0.0,0.02104993907256653,0.0,0.0,0.030824426465830997,0.0,0.013894607457027862,0.003126905819635031,0.032084420719446866,0.0,0.0,0.02726960281292809,0.0,0.023956108624042145,0.0,0.0,0.0,0.0035926214467968858,0.0,0.0,0.02738634457707856,0.0,0.002925631465479858,0.0,0.009587302053736002,0.0,0.0,0.019184798106053697
7,relevance_impurity_centrality,0,0.03726898444717945,0.010900370003701036,0.031659578464243464,0.0,0.06491133790598998,0.018937072677236575,0.0035801122310543027,0.004021099886514154,0.06276339609713208,0.0,0.0,0.006078215551823938,0.008987501407767343,0.009511868540598649,0.0,0.03445642118316554,0.019237659078143322,0.0,0.0,0.0319114441434027,0.0,0.02980861734708798,0.025612014588622525,0.0,0.014690480695282185,0.0,0.00545973259366137,0.015423582482873921,0.007342822365874608,0.0,0.0,0.0,0.004764844028194592,0.0,0.0,0.012616037208714506,0.029853827644629086,0.0,0.0,0.0,0.04283437881893196,0.0,0.031434276393680925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03139895817789072,0.009936690478681776,0.004887966573578076,0.01366366719437867,0.0,0.054830492730589264,0.0,0.0,0.0,0.00829640646550399,0.0,0.04039034505300055,0.0,0.012897288826994523,0.030145513405390022,0.0,0.017534441087082686,0.0,0.0,0.0,0.01190305459277686,0.0,0.017111975263139415,0.0,0.0,0.00598840668168135,0.0,0.02169705690018253,0.0048628171598522315,0.03193443803694685,0.0,0.0,0.03674558044430625,0.0,0.011387148090392403,0.0,0.0,0.0,0.006860801891299291,0.0,0.0,0.022794135190486165,0.0,0.005040282153749072,0.0,0.019688601458813904,0.0,0.0,0.015938256357777212
8,support_relevance_centrality,0,0.44175560490899113,1.8009118694748077e-06,6.525763578516879e-05,0.0,0.016976208258301543,4.528612164263958e-05,1.488392610678435e-05,1.2184545710684773e-08,0.04102190050521808,0.0,0.0,2.33500112312649e-06,1.3243274025721012e-07,2.86612493712286e-05,0.0,0.0002793841770310021,0.00037391524057390634,0.0,0.0,0.0006569893208705144,0.0,1.4542228629083316e-05,0.0001154976622567822,0.0,0.0006464402619805465,0.0,5.1677389377880315e-05,0.07118275184235305,0.00013590864035092914,0.0,0.0,0.0,2.6161336724259223e-05,0.0,0.0,3.188733626668225e-05,0.00023939210378198287,0.0,0.0,0.0,0.0006633556026175203,0.0,0.0001591193662854411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3934089134273145e-05,0.0002922666664581551,0.0006706504507864942,6.523296324720674e-05,0.0,0.00021714961240183487,0.0,0.0,0.0,0.021409850525306102,0.0,1.8764974016404436e-05,0.0,0.13191582709814204,3.5324878716911948e-06,0.0,7.096180718412655e-07,0.0,0.0,0.0,0.0019415367926713105,0.0,0.15090541307760774,0.0,0.0,7.186014232765651e-09,0.0,0.0020197799930047225,0.0026311783518385688,0.0012576081248228332,0.0,0.0,2.018578074602833e-05,0.0,0.0003828301598124149,0.0,0.0,0.0,0.0029953491103541195,0.0,0.0,0.0004574868387824289,0.0,0.008862519549661052,0.0,0.00026304196687953026,0.0,0.0,0.09915603893757428
9,confidence_relevance_centrality,0,0.4054750670027543,9.111606373932773e-06,0.00011783967848734941,0.0,0.03179953649281915,8.692698134840956e-05,2.8087067364348976e-05,1.83360478613051e-07,0.060254117878634425,0.0,0.0,6.0555980439922626e-06,1.0907598918323802e-06,6.185830938149924e-05,0.0,0.000270767037952319,0.0003685263765125648,0.0,0.0,0.0016156824887414835,0.0,3.074814538306818e-05,0.00020033308928505528,0.0,0.00048058316285095286,0.0,9.75665922787446e-05,0.1071563454238606,0.00016929278374374713,0.0,0.0,0.0,2.4227093781019077e-05,0.0,0.0,3.1378153321893745e-05,0.00031233345258667536,0.0,0.0,0.0,0.0012270857482460282,0.0,0.00022432981510241455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7471363699727135e-05,0.0003646570193367864,0.0005063775253653154,8.100302700244574e-05,0.0,0.0002267370054353142,0.0,0.0,0.0,0.040285430235387366,0.0,4.0245278858122207e-05,0.0,0.057121462202106676,1.3380614945481581e-05,0.0,3.0842176378848894e-06,0.0,0.0,0.0,0.0019563013836282213,0.0,0.15628132208303588,0.0,0.0,1.0813567277831537e-07,0.0,0.0015418551720103393,0.0019009450612215942,0.003276580877417726,0.0,0.0,3.787099552389682e-05,0.0,0.0006613529675125846,0.0,0.0,0.0,0.0030116454073366087,0.0,0.0,0.00035436531930546216,0.0,0.006394775158552236,0.0,0.0005664992993438609,0.0,0.0,0.11528745555043922
