,method,fold,selected,metric,value
0,perm,0,4,A,0.5573770491803278
1,perm,0,4,MCC,0.13478996693836334
2,perm,0,5,A,0.5573770491803278
3,perm,0,5,MCC,0.1382147381437882
4,perm,0,6,A,0.5409836065573771
5,perm,0,6,MCC,0.0922609731347581
6,perm,0,7,A,0.5327868852459017
7,perm,0,7,MCC,0.07312724241271307
8,perm,0,8,A,0.5655737704918032
9,perm,0,8,MCC,0.14159846508095775
10,perm,0,9,A,0.6147540983606558
11,perm,0,9,MCC,0.2608745973749755
12,perm,0,10,A,0.6065573770491803
13,perm,0,10,MCC,0.2447607691223871
14,perm,0,11,A,0.6065573770491803
15,perm,0,11,MCC,0.2447607691223871
16,perm,0,12,A,0.5819672131147541
17,perm,0,12,MCC,0.18281810603178267
18,perm,0,13,A,0.5491803278688525
19,perm,0,13,MCC,0.10783277320343841
20,perm,0,14,A,0.5491803278688525
21,perm,0,14,MCC,0.10476454436543674
22,perm,0,15,A,0.5819672131147541
23,perm,0,15,MCC,0.17699808135119718
24,perm,0,16,A,0.5409836065573771
25,perm,0,16,MCC,0.09061004703659373
26,perm,0,17,A,0.5655737704918032
27,perm,0,17,MCC,0.14625448482542613
28,perm,0,18,A,0.5163934426229508
29,perm,0,18,MCC,0.037267799624996496
30,perm,0,19,A,0.5491803278688525
31,perm,0,19,MCC,0.1096908636190696
32,gini,0,4,A,0.5573770491803278
33,gini,0,4,MCC,0.11481582730452868
34,gini,0,5,A,0.5163934426229508
35,gini,0,5,MCC,0.03300491809922248
36,gini,0,6,A,0.5573770491803278
37,gini,0,6,MCC,0.12303443814151495
38,gini,0,7,A,0.5655737704918032
39,gini,0,7,MCC,0.13530201829834768
40,gini,0,8,A,0.5327868852459017
41,gini,0,8,MCC,0.06827887419989188
42,gini,0,9,A,0.5327868852459017
43,gini,0,9,MCC,0.07453559924999299
44,gini,0,10,A,0.5327868852459017
45,gini,0,10,MCC,0.07796811755854505
46,gini,0,11,A,0.5245901639344263
47,gini,0,11,MCC,0.06092076990801715
48,gini,0,12,A,0.5081967213114754
49,gini,0,12,MCC,0.019255709562623336
50,gini,0,13,A,0.5
51,gini,0,13,MCC,0.0
52,gini,0,14,A,0.5327868852459017
53,gini,0,14,MCC,0.07796811755854505
54,gini,0,15,A,0.5327868852459017
55,gini,0,15,MCC,0.08006407690254357
56,gini,0,16,A,0.5327868852459017
57,gini,0,16,MCC,0.08006407690254357
58,gini,0,17,A,0.4918032786885246
59,gini,0,17,MCC,-0.02095648711539772
60,gini,0,18,A,0.5737704918032787
61,gini,0,18,MCC,0.17770466332772772
62,gini,0,19,A,0.5573770491803278
63,gini,0,19,MCC,0.14214846311870669
64,shap,0,4,A,0.5491803278688525
65,shap,0,4,MCC,0.10619884881071831
66,shap,0,5,A,0.5491803278688525
67,shap,0,5,MCC,0.1096908636190696
68,shap,0,6,A,0.5327868852459017
69,shap,0,6,MCC,0.0761386987626881
70,shap,0,7,A,0.5655737704918032
71,shap,0,7,MCC,0.14377703093791788
72,shap,0,8,A,0.5655737704918032
73,shap,0,8,MCC,0.1559362351170901
74,shap,0,9,A,0.5737704918032787
75,shap,0,9,MCC,0.16606975164256457
76,shap,0,10,A,0.5737704918032787
77,shap,0,10,MCC,0.1694497632385757
78,shap,0,11,A,0.5737704918032787
79,shap,0,11,MCC,0.17330138606361004
80,shap,0,12,A,0.5901639344262295
81,shap,0,12,MCC,0.20297414089646781
82,shap,0,13,A,0.5983606557377049
83,shap,0,13,MCC,0.22360679774997896
84,shap,0,14,A,0.6065573770491803
85,shap,0,14,MCC,0.2447607691223871
86,shap,0,15,A,0.5737704918032787
87,shap,0,15,MCC,0.1694497632385757
88,shap,0,16,A,0.5737704918032787
89,shap,0,16,MCC,0.1694497632385757
90,shap,0,17,A,0.5737704918032787
91,shap,0,17,MCC,0.17330138606361004
92,shap,0,18,A,0.5655737704918032
93,shap,0,18,MCC,0.1559362351170901
94,shap,0,19,A,0.5409836065573771
95,shap,0,19,MCC,0.09413875735476426
96,support_impurity_centrality,0,4,A,0.5245901639344263
97,support_impurity_centrality,0,4,MCC,0.054366028221956235
98,support_impurity_centrality,0,5,A,0.5655737704918032
99,support_impurity_centrality,0,5,MCC,0.13655774839978377
100,support_impurity_centrality,0,6,A,0.5655737704918032
101,support_impurity_centrality,0,6,MCC,0.13655774839978377
102,support_impurity_centrality,0,7,A,0.5655737704918032
103,support_impurity_centrality,0,7,MCC,0.13801311186847084
104,support_impurity_centrality,0,8,A,0.5409836065573771
105,support_impurity_centrality,0,8,MCC,0.08788174152965354
106,support_impurity_centrality,0,9,A,0.5655737704918032
107,support_impurity_centrality,0,9,MCC,0.14377703093791788
108,support_impurity_centrality,0,10,A,0.5737704918032787
109,support_impurity_centrality,0,10,MCC,0.1694497632385757
110,support_impurity_centrality,0,11,A,0.5409836065573771
111,support_impurity_centrality,0,11,MCC,0.0922609731347581
112,support_impurity_centrality,0,12,A,0.5491803278688525
113,support_impurity_centrality,0,12,MCC,0.11180339887498948
114,support_impurity_centrality,0,13,A,0.5081967213114754
115,support_impurity_centrality,0,13,MCC,0.01845219462695162
116,support_impurity_centrality,0,14,A,0.5245901639344263
117,support_impurity_centrality,0,14,MCC,0.05535658388085486
118,support_impurity_centrality,0,15,A,0.5491803278688525
119,support_impurity_centrality,0,15,MCC,0.10783277320343841
120,support_impurity_centrality,0,16,A,0.5163934426229508
121,support_impurity_centrality,0,16,MCC,0.037267799624996496
122,support_impurity_centrality,0,17,A,0.5491803278688525
123,support_impurity_centrality,0,17,MCC,0.1096908636190696
124,support_impurity_centrality,0,18,A,0.5655737704918032
125,support_impurity_centrality,0,18,MCC,0.14625448482542613
126,support_impurity_centrality,0,19,A,0.5491803278688525
127,support_impurity_centrality,0,19,MCC,0.11420804814403215
128,confidence_impurity_centrality,0,4,A,0.5081967213114754
129,confidence_impurity_centrality,0,4,MCC,0.016843038421330378
130,confidence_impurity_centrality,0,5,A,0.5655737704918032
131,confidence_impurity_centrality,0,5,MCC,0.1522773975253762
132,confidence_impurity_centrality,0,6,A,0.5573770491803278
133,confidence_impurity_centrality,0,6,MCC,0.13478996693836334
134,confidence_impurity_centrality,0,7,A,0.5655737704918032
135,confidence_impurity_centrality,0,7,MCC,0.13968605915391566
136,confidence_impurity_centrality,0,8,A,0.5245901639344263
137,confidence_impurity_centrality,0,8,MCC,0.0534947213716119
138,confidence_impurity_centrality,0,9,A,0.4672131147540984
139,confidence_impurity_centrality,0,9,MCC,-0.06666666666666667
140,confidence_impurity_centrality,0,10,A,0.48360655737704916
141,confidence_impurity_centrality,0,10,MCC,-0.038984058779272523
142,confidence_impurity_centrality,0,11,A,0.5573770491803278
143,confidence_impurity_centrality,0,11,MCC,0.11704114719613055
144,confidence_impurity_centrality,0,12,A,0.5491803278688525
145,confidence_impurity_centrality,0,12,MCC,0.1096908636190696
146,confidence_impurity_centrality,0,13,A,0.5491803278688525
147,confidence_impurity_centrality,0,13,MCC,0.1096908636190696
148,confidence_impurity_centrality,0,14,A,0.5573770491803278
149,confidence_impurity_centrality,0,14,MCC,0.13478996693836334
150,confidence_impurity_centrality,0,15,A,0.5983606557377049
151,confidence_impurity_centrality,0,15,MCC,0.20952908873087348
152,confidence_impurity_centrality,0,16,A,0.5655737704918032
153,confidence_impurity_centrality,0,16,MCC,0.14625448482542613
154,confidence_impurity_centrality,0,17,A,0.5491803278688525
155,confidence_impurity_centrality,0,17,MCC,0.11180339887498948
156,confidence_impurity_centrality,0,18,A,0.5327868852459017
157,confidence_impurity_centrality,0,18,MCC,0.07079923254047887
158,confidence_impurity_centrality,0,19,A,0.5491803278688525
159,confidence_impurity_centrality,0,19,MCC,0.11180339887498948
160,lift_impurity_centrality,0,4,A,0.5081967213114754
161,lift_impurity_centrality,0,4,MCC,0.016843038421330378
162,lift_impurity_centrality,0,5,A,0.5655737704918032
163,lift_impurity_centrality,0,5,MCC,0.1522773975253762
164,lift_impurity_centrality,0,6,A,0.5245901639344263
165,lift_impurity_centrality,0,6,MCC,0.052057920629535355
166,lift_impurity_centrality,0,7,A,0.5655737704918032
167,lift_impurity_centrality,0,7,MCC,0.13968605915391566
168,lift_impurity_centrality,0,8,A,0.5409836065573771
169,lift_impurity_centrality,0,8,MCC,0.1015346165133619
170,lift_impurity_centrality,0,9,A,0.5491803278688525
171,lift_impurity_centrality,0,9,MCC,0.11180339887498948
172,lift_impurity_centrality,0,10,A,0.5655737704918032
173,lift_impurity_centrality,0,10,MCC,0.13116516715679058
174,lift_impurity_centrality,0,11,A,0.5
175,lift_impurity_centrality,0,11,MCC,0.0
176,lift_impurity_centrality,0,12,A,0.5655737704918032
177,lift_impurity_centrality,0,12,MCC,0.14159846508095775
178,lift_impurity_centrality,0,13,A,0.5983606557377049
179,lift_impurity_centrality,0,13,MCC,0.21566554640687682
180,lift_impurity_centrality,0,14,A,0.5655737704918032
181,lift_impurity_centrality,0,14,MCC,0.1522773975253762
182,lift_impurity_centrality,0,15,A,0.5901639344262295
183,lift_impurity_centrality,0,15,MCC,0.20297414089646781
184,lift_impurity_centrality,0,16,A,0.5573770491803278
185,lift_impurity_centrality,0,16,MCC,0.12916536238866133
186,lift_impurity_centrality,0,17,A,0.5491803278688525
187,lift_impurity_centrality,0,17,MCC,0.10783277320343841
188,lift_impurity_centrality,0,18,A,0.5327868852459017
189,lift_impurity_centrality,0,18,MCC,0.07188851546895894
190,lift_impurity_centrality,0,19,A,0.5655737704918032
191,lift_impurity_centrality,0,19,MCC,0.14907119849998599
