,method,fold,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0,perm,0,-0.06250000000000039,0.03125000000000001,-0.0,0.03125000000000001,-0.0,-0.0,-0.1250000000000005,-0.0,-0.0,0.062499999999999924,-0.0,0.12500000000000003,0.40625000000000056,-0.0,-0.0,-0.0,-0.0,-0.0,-1.873501354054955e-16,0.5312500000000007,-0.0,-2.8102520310824324e-16
1,gini,0,0.041149265694482094,0.031066778370403187,0.0,0.019383964201073533,0.043411451454322285,0.025329330649702223,0.06429182682087428,0.021155408465978347,0.0,0.05715033507776781,0.04169749633537818,0.021291474295216366,0.2757949253365881,0.018370305279962654,0.0,0.05595474584747002,0.07107076519879871,0.0,0.015128888028088244,0.09695720021736867,0.0,0.10079583872652544
2,shap,0,0.06059789668792251,0.026531574501557378,0.0,0.021290538779841918,0.0370591118850636,0.0201132339264703,0.08349814204412918,0.021927094974328352,0.0,0.08260285059653821,0.022463784092379074,0.05385722063025814,0.1924290310195386,0.017209757629493012,0.0,0.05099434079777938,0.05105004752979673,0.0,0.03808539787336975,0.14393974005855104,0.0,0.07635023697298278
3,support_impurity_centrality,0,0.016981030895207975,0.032114662660229956,0.0,0.009689249627412855,0.004984139019739795,0.004748498014799184,0.07019830076014155,0.01509526896545631,0.0,0.18866010904224184,0.02513899597270916,0.023762319896340495,0.20465746429847187,0.017203076482131364,0.0,0.04142257669465228,0.11344388452211827,0.0,0.02590806551925689,0.10812425866493941,0.0,0.09786809896415079
4,confidence_impurity_centrality,0,0.046094759529562934,0.0473894864204814,0.0,0.009996536674579622,0.001171135154264297,0.0017484431819603972,0.007590429322047325,0.05051485824530092,0.0,0.10158462781614176,0.07139085582661667,0.02857854888283824,0.22047711703476022,0.05142576423229332,0.0,0.09964911840826608,0.0896227566993844,0.0,0.04044968567905213,0.03219307377032606,0.0,0.10012280312212413
5,lift_impurity_centrality,0,0.0521379696361781,0.047645113204489914,0.0,0.005101551742145454,0.00035455224175975176,0.0005292068341613984,0.007619998701492156,0.058110558525201673,0.0,0.10267208895604314,0.0808059652985714,0.0295597752375888,0.19638751629512813,0.05825622899591798,0.0,0.09366347278888414,0.09898646983436057,0.0,0.026876523254248306,0.03155408720751308,0.0,0.109738921246316
6,equal_impurity_centrality,0,0.046923671399087034,0.04911641479591252,0.0,0.01212617217353665,0.0017693251956437221,0.0019071009331088663,0.009172830754313539,0.04920244998029817,0.0,0.10190169090924897,0.06994513532733079,0.02822472952067618,0.21939139048284534,0.05008969004824228,0.0,0.09751682720052113,0.08904479302449232,0.0,0.03939877702274823,0.03456452103422014,0.0,0.09970448019777416
7,relevance_impurity_centrality,0,0.018557985150332214,0.02999959030257351,0.0,0.005427601838457286,0.0013712001569407496,0.0013936921699446078,0.07611920826008046,0.017451601224526703,0.0,0.19350204721974945,0.025383353489687222,0.01982637937673454,0.20786745289118505,0.018092859524472406,0.0,0.03306758665836963,0.12708240847123353,0.0,0.012371238067719902,0.11401169880153215,0.0,0.09847409639646056
8,support_relevance_centrality,0,0.0026794344261236625,7.6053862937028106e-06,0.0,2.0849248731956472e-05,0.11601308795290066,0.00010494558987774415,0.0656263546662001,0.0014063408379456144,0.0,0.1945943692221158,4.9675410500600344e-05,0.0007927194353808091,0.32964747518901244,3.08040001472025e-05,0.0,7.33220435000261e-05,0.048582926928044716,0.0,9.616005707936884e-06,0.12775295174008913,0.0,0.11260752191742789
9,confidence_relevance_centrality,0,0.005311397533169849,0.00013053414215537522,0.0,0.00023681884122658242,0.08558913423375329,0.0005309077156087223,0.06717107744371073,0.0014510959776248558,0.0,0.2100482944046988,0.00037534980654198313,0.002424991569909934,0.2861425223047036,0.000180709825164348,0.0,0.0004496462342421131,0.08019846118761903,0.0,0.00013156604579357266,0.1382011408700188,0.0,0.1214263518640584
