,method,fold,selected,metric,value
0,perm,0,2,A,0.8148148148148148
1,perm,0,2,MCC,0.0
2,perm,0,3,A,0.8148148148148148
3,perm,0,3,MCC,0.0
4,perm,0,4,A,0.6296296296296297
5,perm,0,4,MCC,-0.06446583712203043
6,perm,0,5,A,0.5925925925925926
7,perm,0,5,MCC,-0.10053683654458372
8,perm,0,6,A,0.6296296296296297
9,perm,0,6,MCC,-0.06446583712203043
10,perm,0,7,A,0.7037037037037037
11,perm,0,7,MCC,0.01818181818181818
12,perm,0,8,A,0.6666666666666666
13,perm,0,8,MCC,-0.025482359571881278
14,perm,0,9,A,0.6666666666666666
15,perm,0,9,MCC,-0.025482359571881278
16,perm,0,10,A,0.6666666666666666
17,perm,0,10,MCC,-0.025482359571881278
18,perm,0,11,A,0.6296296296296297
19,perm,0,11,MCC,-0.06446583712203043
20,gini,0,2,A,0.8148148148148148
21,gini,0,2,MCC,0.0
22,gini,0,3,A,0.6296296296296297
23,gini,0,3,MCC,0.06741998624632421
24,gini,0,4,A,0.6296296296296297
25,gini,0,4,MCC,0.06741998624632421
26,gini,0,5,A,0.7037037037037037
27,gini,0,5,MCC,0.15310636316482226
28,gini,0,6,A,0.7407407407407407
29,gini,0,6,MCC,0.06958374259266012
30,gini,0,7,A,0.7407407407407407
31,gini,0,7,MCC,0.06958374259266012
32,gini,0,8,A,0.7407407407407407
33,gini,0,8,MCC,0.06958374259266012
34,gini,0,9,A,0.7407407407407407
35,gini,0,9,MCC,0.06958374259266012
36,gini,0,10,A,0.7407407407407407
37,gini,0,10,MCC,0.06958374259266012
38,gini,0,11,A,0.7407407407407407
39,gini,0,11,MCC,0.06958374259266012
40,shap,0,2,A,0.8148148148148148
41,shap,0,2,MCC,0.0
42,shap,0,3,A,0.6666666666666666
43,shap,0,3,MCC,0.10827043935570554
44,shap,0,4,A,0.7037037037037037
45,shap,0,4,MCC,0.01818181818181818
46,shap,0,5,A,0.7407407407407407
47,shap,0,5,MCC,0.06958374259266012
48,shap,0,6,A,0.7407407407407407
49,shap,0,6,MCC,0.06958374259266012
50,shap,0,7,A,0.7037037037037037
51,shap,0,7,MCC,0.01818181818181818
52,shap,0,8,A,0.7037037037037037
53,shap,0,8,MCC,0.01818181818181818
54,shap,0,9,A,0.7037037037037037
55,shap,0,9,MCC,0.01818181818181818
56,shap,0,10,A,0.7037037037037037
57,shap,0,10,MCC,0.01818181818181818
58,shap,0,11,A,0.7037037037037037
59,shap,0,11,MCC,0.01818181818181818
60,support_impurity_centrality,0,2,A,0.8148148148148148
61,support_impurity_centrality,0,2,MCC,0.0
62,support_impurity_centrality,0,3,A,0.6296296296296297
63,support_impurity_centrality,0,3,MCC,0.06741998624632421
64,support_impurity_centrality,0,4,A,0.6296296296296297
65,support_impurity_centrality,0,4,MCC,-0.06446583712203043
66,support_impurity_centrality,0,5,A,0.7037037037037037
67,support_impurity_centrality,0,5,MCC,0.01818181818181818
68,support_impurity_centrality,0,6,A,0.7407407407407407
69,support_impurity_centrality,0,6,MCC,0.06958374259266012
70,support_impurity_centrality,0,7,A,0.7407407407407407
71,support_impurity_centrality,0,7,MCC,0.06958374259266012
72,support_impurity_centrality,0,8,A,0.7407407407407407
73,support_impurity_centrality,0,8,MCC,0.06958374259266012
74,support_impurity_centrality,0,9,A,0.7407407407407407
75,support_impurity_centrality,0,9,MCC,0.06958374259266012
76,support_impurity_centrality,0,10,A,0.7777777777777778
77,support_impurity_centrality,0,10,MCC,0.2636363636363636
78,support_impurity_centrality,0,11,A,0.7407407407407407
79,support_impurity_centrality,0,11,MCC,0.20385887657505022
80,confidence_impurity_centrality,0,2,A,0.8148148148148148
81,confidence_impurity_centrality,0,2,MCC,0.0
82,confidence_impurity_centrality,0,3,A,0.7037037037037037
83,confidence_impurity_centrality,0,3,MCC,0.15310636316482226
84,confidence_impurity_centrality,0,4,A,0.7407407407407407
85,confidence_impurity_centrality,0,4,MCC,0.20385887657505022
86,confidence_impurity_centrality,0,5,A,0.7407407407407407
87,confidence_impurity_centrality,0,5,MCC,0.20385887657505022
88,confidence_impurity_centrality,0,6,A,0.7407407407407407
89,confidence_impurity_centrality,0,6,MCC,0.20385887657505022
90,confidence_impurity_centrality,0,7,A,0.7407407407407407
