,method,fold,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21
0,perm,0,0.002877697841726619,-0.0038369304556354926,-0.0062350119904076755,0.0033573141486810563,0.0589928057553957,0.05323741007194246,0.19616306954436452,0.02925659472422063,0.04028776978417268,0.12517985611510796,0.18561151079136692,0.0892086330935252,0.04556354916067148,0.03453237410071944,0.11414868105515591,0.027338129496402887,0.0033573141486810563,0.020623501199040772,-0.00863309352517986,-0.006714628297362113,-0.00431654676258993
1,gini,0,0.0030304209189874714,0.0020058940772680715,0.005257011952454358,0.00909779146509707,0.05231376162458304,0.022337261055545156,0.2576290559939839,0.03854003253796478,0.05469664820801569,0.06945566434645849,0.1715445517916391,0.10641524275997107,0.04269502744886385,0.018865106675613395,0.06495613409019783,0.03472900541247024,0.014432975562026133,0.015728773300859367,0.008064789233618735,0.0032297763356370747,0.004975075208745231
2,shap,0,0.004899219398214774,0.0029869351528707673,0.006772333437506219,0.013247630861954489,0.054384760999788936,0.04579512957953301,0.14573557337481466,0.05312360256437772,0.06119864573622908,0.08047816294041414,0.17157361428795315,0.1050866041451061,0.05731088069144796,0.02004579917074406,0.08062812351994601,0.040491365801495455,0.02070771423525701,0.0213257405759704,0.004556617919992845,0.00528481293332588,0.004366732673057527
3,support_impurity_centrality,0,0.010144460429223833,0.005793492839829211,0.010602662289825761,0.020446503693781943,0.07716380329551151,0.03736401411527978,0.09446277001661879,0.06205192189146344,0.053668712695654895,0.08115085789026331,0.1536469667030488,0.07918607393033701,0.07109146345291531,0.03495717074889394,0.06353530455830644,0.06033077708656799,0.02595911646181769,0.026823837418105553,0.013490684140379627,0.005406812037966246,0.012722594304208877
4,confidence_impurity_centrality,0,0.03136632419039737,0.02147315843036728,0.011772882689489074,0.025748347773128153,0.06417067324381362,0.04486485671454968,0.09489284227892633,0.05854745991258653,0.05887373089892445,0.06758255717350976,0.08468635692245048,0.06996697154265345,0.06777741075120514,0.049112884572108655,0.047397844274174795,0.061954676585539555,0.03434711153667065,0.04058034787829604,0.011358653057461848,0.0181119023763441,0.03541300719740283
5,lift_impurity_centrality,0,0.03528890950671227,0.024205872088505095,0.015455806770626879,0.03045933769148572,0.06360594767425871,0.04733293748247796,0.08673802287870827,0.059984853140938925,0.05431717686092258,0.06290465794538956,0.07256234261349243,0.06655356696179354,0.06355144416239174,0.04995364524296316,0.049189652759652445,0.06141635155304863,0.038218251282580884,0.044744811755807024,0.014865547429631587,0.02236774233764364,0.03628312186096886
6,equal_impurity_centrality,0,0.03074392489141641,0.020893567484842904,0.011984308947078224,0.026567474402231048,0.06373764426880199,0.046160198874280974,0.09361430322005006,0.058538983755317006,0.057999057613453184,0.06742563617756821,0.08431095194344389,0.06961139257965807,0.06692702701278251,0.05081989929249091,0.04780536175572145,0.06158677867796143,0.034266146842219805,0.040136545881416165,0.012077437693056704,0.01778765479656641,0.03700570388964265
7,relevance_impurity_centrality,0,0.01009325763208134,0.00576229471972738,0.010683146804408334,0.020472617238835075,0.07697110870924467,0.037261706759828137,0.09429675743804206,0.06214900478061328,0.05405487651546737,0.08114773790897814,0.1532354279263966,0.07911046537382706,0.07095709655409685,0.034822571587519356,0.06378069611393697,0.060474018904608164,0.026002412598875355,0.027064199584508286,0.013564282538408228,0.005394204389666884,0.012702115920930441
8,support_relevance_centrality,0,2.94419314842584e-07,2.095075771983208e-10,7.025677595594973e-06,0.0002208121520475219,0.033440770803925754,0.02765709956560583,0.26402770507675993,0.040622634632261824,0.029706477683855568,0.05093356113831175,0.4061215951664476,0.03530678356928857,0.046188703072105965,3.839058062739422e-05,0.059751359396502474,0.001177230295705134,0.00473677086305165,5.034205703955869e-05,1.131421919800541e-06,1.0986702352800944e-06,1.0213547890353126e-05
9,confidence_relevance_centrality,0,3.0803544396918055e-06,2.4246474402639606e-08,7.189964748178516e-05,0.0007148132029613614,0.02984049143008213,0.02420317558793274,0.3088233569850612,0.04096571459130985,0.03588163466989245,0.04745132175327873,0.3618517190546581,0.04070908126476007,0.04508995455246066,0.0002729553878923608,0.05509425795475763,0.0019571814233516004,0.0065430020241930365,0.0004404354864754936,1.905026803122083e-05,1.4367940718353494e-05,5.248217378712405e-05
