,method,fold,selected,metric,value
0,perm,0,2,A,0.664
1,perm,0,2,MCC,0.4971483257333787
2,perm,0,3,A,0.694
3,perm,0,3,MCC,0.5415987262804915
4,perm,0,4,A,0.728
5,perm,0,4,MCC,0.5924626609031406
6,perm,0,5,A,0.784
7,perm,0,5,MCC,0.6766150160666085
8,perm,0,6,A,0.802
9,perm,0,6,MCC,0.7029693488407189
10,perm,0,7,A,0.8
11,perm,0,7,MCC,0.69997359689883
12,perm,0,8,A,0.798
13,perm,0,8,MCC,0.6979341435327329
14,perm,0,9,A,0.8
15,perm,0,9,MCC,0.7017459756589658
16,perm,0,10,A,0.806
17,perm,0,10,MCC,0.7102188585000456
18,perm,0,11,A,0.818
19,perm,0,11,MCC,0.7278340660622037
20,gini,0,2,A,0.664
21,gini,0,2,MCC,0.4971483257333787
22,gini,0,3,A,0.716
23,gini,0,3,MCC,0.5742628081306155
24,gini,0,4,A,0.73
25,gini,0,4,MCC,0.5960454499986305
26,gini,0,5,A,0.782
27,gini,0,5,MCC,0.6737172864690633
28,gini,0,6,A,0.778
29,gini,0,6,MCC,0.6669907846524297
30,gini,0,7,A,0.794
31,gini,0,7,MCC,0.6910264416853081
32,gini,0,8,A,0.794
33,gini,0,8,MCC,0.6923176809695379
34,gini,0,9,A,0.804
35,gini,0,9,MCC,0.7075086662707342
36,gini,0,10,A,0.798
37,gini,0,10,MCC,0.6982372088526935
38,gini,0,11,A,0.798
39,gini,0,11,MCC,0.6977804701789344
40,shap,0,2,A,0.664
41,shap,0,2,MCC,0.4971483257333787
42,shap,0,3,A,0.716
43,shap,0,3,MCC,0.5742628081306155
44,shap,0,4,A,0.766
45,shap,0,4,MCC,0.6495949417416035
46,shap,0,5,A,0.784
47,shap,0,5,MCC,0.6766150160666085
48,shap,0,6,A,0.778
49,shap,0,6,MCC,0.6669747323662415
50,shap,0,7,A,0.772
51,shap,0,7,MCC,0.6580132349164117
52,shap,0,8,A,0.798
53,shap,0,8,MCC,0.6983346954052196
54,shap,0,9,A,0.806
55,shap,0,9,MCC,0.7105527715519857
56,shap,0,10,A,0.806
57,shap,0,10,MCC,0.7095435907068578
58,shap,0,11,A,0.796
59,shap,0,11,MCC,0.6946046719537717
60,support_impurity_centrality,0,2,A,0.664
61,support_impurity_centrality,0,2,MCC,0.4971483257333787
62,support_impurity_centrality,0,3,A,0.694
63,support_impurity_centrality,0,3,MCC,0.5415987262804915
64,support_impurity_centrality,0,4,A,0.73
65,support_impurity_centrality,0,4,MCC,0.5960454499986305
66,support_impurity_centrality,0,5,A,0.726
67,support_impurity_centrality,0,5,MCC,0.5889714757160531
68,support_impurity_centrality,0,6,A,0.758
69,support_impurity_centrality,0,6,MCC,0.6370583832492789
70,support_impurity_centrality,0,7,A,0.8
71,support_impurity_centrality,0,7,MCC,0.7008153674311239
72,support_impurity_centrality,0,8,A,0.776
73,support_impurity_centrality,0,8,MCC,0.6665015184634703
74,support_impurity_centrality,0,9,A,0.788
75,support_impurity_centrality,0,9,MCC,0.6835047342378989
76,support_impurity_centrality,0,10,A,0.796
77,support_impurity_centrality,0,10,MCC,0.6950529178145943
78,support_impurity_centrality,0,11,A,0.8
79,support_impurity_centrality,0,11,MCC,0.700786330737989
80,confidence_impurity_centrality,0,2,A,0.664
81,confidence_impurity_centrality,0,2,MCC,0.4971483257333787
82,confidence_impurity_centrality,0,3,A,0.716
83,confidence_impurity_centrality,0,3,MCC,0.5742628081306155
84,confidence_impurity_centrality,0,4,A,0.702
85,confidence_impurity_centrality,0,4,MCC,0.554083551200059
86,confidence_impurity_centrality,0,5,A,0.744
87,confidence_impurity_centrality,0,5,MCC,0.6164944795920247
88,confidence_impurity_centrality,0,6,A,0.752
89,confidence_impurity_centrality,0,6,MCC,0.6280996167047637
90,confidence_impurity_centrality,0,7,A,0.758
91,confidence_impurity_centrality,0,7,MCC,0.6382822869274786
92,confidence_impurity_centrality,0,8,A,0.764
93,confidence_impurity_centrality,0,8,MCC,0.6462892462026558
94,confidence_impurity_centrality,0,9,A,0.79
95,confidence_impurity_centrality,0,9,MCC,0.6853655983512988
96,confidence_impurity_centrality,0,10,A,0.798
97,confidence_impurity_centrality,0,10,MCC,0.6978512923668792
98,confidence_impurity_centrality,0,11,A,0.796
99,confidence_impurity_centrality,0,11,MCC,0.6950208829646319
100,lift_impurity_centrality,0,2,A,0.664
101,lift_impurity_centrality,0,2,MCC,0.4971483257333787
102,lift_impurity_centrality,0,3,A,0.716
103,lift_impurity_centrality,0,3,MCC,0.5742628081306155
104,lift_impurity_centrality,0,4,A,0.686
105,lift_impurity_centrality,0,4,MCC,0.5299452223639696
106,lift_impurity_centrality,0,5,A,0.714
107,lift_impurity_centrality,0,5,MCC,0.5721712222478713
108,lift_impurity_centrality,0,6,A,0.752
109,lift_impurity_centrality,0,6,MCC,0.628088462778539
110,lift_impurity_centrality,0,7,A,0.756
111,lift_impurity_centrality,0,7,MCC,0.6351341954970302
112,lift_impurity_centrality,0,8,A,0.802
113,lift_impurity_centrality,0,8,MCC,0.7036959082053481
114,lift_impurity_centrality,0,9,A,0.786
115,lift_impurity_centrality,0,9,MCC,0.6794400883122907
116,lift_impurity_centrality,0,10,A,0.786
117,lift_impurity_centrality,0,10,MCC,0.6798899646497404
118,lift_impurity_centrality,0,11,A,0.792
119,lift_impurity_centrality,0,11,MCC,0.6891428767989988
120,equal_impurity_centrality,0,2,A,0.664
121,equal_impurity_centrality,0,2,MCC,0.4971483257333787
122,equal_impurity_centrality,0,3,A,0.716
123,equal_impurity_centrality,0,3,MCC,0.5742628081306155
124,equal_impurity_centrality,0,4,A,0.73
125,equal_impurity_centrality,0,4,MCC,0.5960454499986305
126,equal_impurity_centrality,0,5,A,0.748
127,equal_impurity_centrality,0,5,MCC,0.6222636236672411
128,equal_impurity_centrality,0,6,A,0.754
129,equal_impurity_centrality,0,6,MCC,0.6310936838886426
130,equal_impurity_centrality,0,7,A,0.756
131,equal_impurity_centrality,0,7,MCC,0.6351341954970302
132,equal_impurity_centrality,0,8,A,0.802
133,equal_impurity_centrality,0,8,MCC,0.7036743293910225
134,equal_impurity_centrality,0,9,A,0.786
135,equal_impurity_centrality,0,9,MCC,0.679324477188851
136,equal_impurity_centrality,0,10,A,0.79
137,equal_impurity_centrality,0,10,MCC,0.6859034969746098
138,equal_impurity_centrality,0,11,A,0.792
139,equal_impurity_centrality,0,11,MCC,0.6891428767989988
140,relevance_impurity_centrality,0,2,A,0.664
141,relevance_impurity_centrality,0,2,MCC,0.4971483257333787
142,relevance_impurity_centrality,0,3,A,0.694
143,relevance_impurity_centrality,0,3,MCC,0.5415987262804915
144,relevance_impurity_centrality,0,4,A,0.73
145,relevance_impurity_centrality,0,4,MCC,0.5960454499986305
146,relevance_impurity_centrality,0,5,A,0.726
147,relevance_impurity_centrality,0,5,MCC,0.5889714757160531
148,relevance_impurity_centrality,0,6,A,0.758
149,relevance_impurity_centrality,0,6,MCC,0.6370583832492789
150,relevance_impurity_centrality,0,7,A,0.8
151,relevance_impurity_centrality,0,7,MCC,0.7008153674311239
152,relevance_impurity_centrality,0,8,A,0.776
153,relevance_impurity_centrality,0,8,MCC,0.6665015184634703
154,relevance_impurity_centrality,0,9,A,0.788
155,relevance_impurity_centrality,0,9,MCC,0.6835047342378989
156,relevance_impurity_centrality,0,10,A,0.796
157,relevance_impurity_centrality,0,10,MCC,0.6950529178145943
158,relevance_impurity_centrality,0,11,A,0.8
159,relevance_impurity_centrality,0,11,MCC,0.700786330737989
160,support_relevance_centrality,0,2,A,0.664
161,support_relevance_centrality,0,2,MCC,0.4971483257333787
162,support_relevance_centrality,0,3,A,0.732
163,support_relevance_centrality,0,3,MCC,0.5982796114632686
164,support_relevance_centrality,0,4,A,0.728
165,support_relevance_centrality,0,4,MCC,0.5924626609031406
166,support_relevance_centrality,0,5,A,0.762
167,support_relevance_centrality,0,5,MCC,0.6438223919915922
168,support_relevance_centrality,0,6,A,0.754
169,support_relevance_centrality,0,6,MCC,0.6311021970437563
170,support_relevance_centrality,0,7,A,0.768
171,support_relevance_centrality,0,7,MCC,0.6528591368494522
172,support_relevance_centrality,0,8,A,0.782
173,support_relevance_centrality,0,8,MCC,0.6754981702032421
174,support_relevance_centrality,0,9,A,0.804
175,support_relevance_centrality,0,9,MCC,0.7073380408075287
176,support_relevance_centrality,0,10,A,0.81
177,support_relevance_centrality,0,10,MCC,0.7159408242408443
178,support_relevance_centrality,0,11,A,0.812
179,support_relevance_centrality,0,11,MCC,0.7185268366282387
180,confidence_relevance_centrality,0,2,A,0.664
181,confidence_relevance_centrality,0,2,MCC,0.4971483257333787
182,confidence_relevance_centrality,0,3,A,0.732
183,confidence_relevance_centrality,0,3,MCC,0.5982796114632686
184,confidence_relevance_centrality,0,4,A,0.728
185,confidence_relevance_centrality,0,4,MCC,0.5924626609031406
186,confidence_relevance_centrality,0,5,A,0.762
187,confidence_relevance_centrality,0,5,MCC,0.6438223919915922
188,confidence_relevance_centrality,0,6,A,0.754
189,confidence_relevance_centrality,0,6,MCC,0.6311021970437563
190,confidence_relevance_centrality,0,7,A,0.768
191,confidence_relevance_centrality,0,7,MCC,0.6528591368494522
192,confidence_relevance_centrality,0,8,A,0.786
193,confidence_relevance_centrality,0,8,MCC,0.6799746468087899
194,confidence_relevance_centrality,0,9,A,0.808
195,confidence_relevance_centrality,0,9,MCC,0.7135282235623557
196,confidence_relevance_centrality,0,10,A,0.808
197,confidence_relevance_centrality,0,10,MCC,0.712882768099591
198,confidence_relevance_centrality,0,11,A,0.814
199,confidence_relevance_centrality,0,11,MCC,0.7216053817182337
200,lift_relevance_centrality,0,2,A,0.664
201,lift_relevance_centrality,0,2,MCC,0.4971483257333787
202,lift_relevance_centrality,0,3,A,0.732
203,lift_relevance_centrality,0,3,MCC,0.5982796114632686
204,lift_relevance_centrality,0,4,A,0.728
205,lift_relevance_centrality,0,4,MCC,0.5924626609031406
206,lift_relevance_centrality,0,5,A,0.762
207,lift_relevance_centrality,0,5,MCC,0.6438223919915922
208,lift_relevance_centrality,0,6,A,0.754
209,lift_relevance_centrality,0,6,MCC,0.6311021970437563
210,lift_relevance_centrality,0,7,A,0.768
211,lift_relevance_centrality,0,7,MCC,0.6528591368494522
212,lift_relevance_centrality,0,8,A,0.786
213,lift_relevance_centrality,0,8,MCC,0.6799746468087899
214,lift_relevance_centrality,0,9,A,0.808
215,lift_relevance_centrality,0,9,MCC,0.7135282235623557
216,lift_relevance_centrality,0,10,A,0.808
217,lift_relevance_centrality,0,10,MCC,0.712882768099591
218,lift_relevance_centrality,0,11,A,0.814
219,lift_relevance_centrality,0,11,MCC,0.7216053817182337
220,equal_relevance_centrality,0,2,A,0.664
221,equal_relevance_centrality,0,2,MCC,0.4971483257333787
222,equal_relevance_centrality,0,3,A,0.732
223,equal_relevance_centrality,0,3,MCC,0.5982796114632686
224,equal_relevance_centrality,0,4,A,0.728
225,equal_relevance_centrality,0,4,MCC,0.5924626609031406
226,equal_relevance_centrality,0,5,A,0.762
227,equal_relevance_centrality,0,5,MCC,0.6438223919915922
228,equal_relevance_centrality,0,6,A,0.754
229,equal_relevance_centrality,0,6,MCC,0.6311021970437563
230,equal_relevance_centrality,0,7,A,0.768
231,equal_relevance_centrality,0,7,MCC,0.6528591368494522
232,equal_relevance_centrality,0,8,A,0.786
233,equal_relevance_centrality,0,8,MCC,0.6799746468087899
234,equal_relevance_centrality,0,9,A,0.808
235,equal_relevance_centrality,0,9,MCC,0.7135282235623557
236,equal_relevance_centrality,0,10,A,0.808
237,equal_relevance_centrality,0,10,MCC,0.712882768099591
238,equal_relevance_centrality,0,11,A,0.814
239,equal_relevance_centrality,0,11,MCC,0.7216053817182337
240,relevance_relevance_centrality,0,2,A,0.664
241,relevance_relevance_centrality,0,2,MCC,0.4971483257333787
242,relevance_relevance_centrality,0,3,A,0.732
243,relevance_relevance_centrality,0,3,MCC,0.5982796114632686
244,relevance_relevance_centrality,0,4,A,0.728
245,relevance_relevance_centrality,0,4,MCC,0.5924626609031406
246,relevance_relevance_centrality,0,5,A,0.762
247,relevance_relevance_centrality,0,5,MCC,0.6438223919915922
248,relevance_relevance_centrality,0,6,A,0.754
249,relevance_relevance_centrality,0,6,MCC,0.6311021970437563
250,relevance_relevance_centrality,0,7,A,0.768
251,relevance_relevance_centrality,0,7,MCC,0.6528591368494522
252,relevance_relevance_centrality,0,8,A,0.782
253,relevance_relevance_centrality,0,8,MCC,0.6754981702032421
254,relevance_relevance_centrality,0,9,A,0.804
255,relevance_relevance_centrality,0,9,MCC,0.7073380408075287
256,relevance_relevance_centrality,0,10,A,0.81
257,relevance_relevance_centrality,0,10,MCC,0.7159408242408443
258,relevance_relevance_centrality,0,11,A,0.812
259,relevance_relevance_centrality,0,11,MCC,0.7185268366282387
260,perm,1,2,A,0.686
261,perm,1,2,MCC,0.5291360884348996
262,perm,1,3,A,0.7
263,perm,1,3,MCC,0.5527185389019228
264,perm,1,4,A,0.732
265,perm,1,4,MCC,0.5990430202910161
266,perm,1,5,A,0.748
267,perm,1,5,MCC,0.6240111009156277
268,perm,1,6,A,0.75
269,perm,1,6,MCC,0.6252025559073235
270,perm,1,7,A,0.754
271,perm,1,7,MCC,0.6316350112092717
272,perm,1,8,A,0.756
273,perm,1,8,MCC,0.6349946197721247
274,perm,1,9,A,0.758
275,perm,1,9,MCC,0.637786507146634
276,perm,1,10,A,0.766
277,perm,1,10,MCC,0.652542976729045
278,perm,1,11,A,0.784
279,perm,1,11,MCC,0.6779921455575761
280,perm,1,12,A,0.786
281,perm,1,12,MCC,0.6809154386139211
282,perm,1,13,A,0.778
283,perm,1,13,MCC,0.6694057561493248
284,perm,1,14,A,0.772
285,perm,1,14,MCC,0.6589738283410959
286,perm,1,15,A,0.78
287,perm,1,15,MCC,0.6713000711018962
288,perm,1,16,A,0.782
289,perm,1,16,MCC,0.6740912042872786
290,perm,1,17,A,0.788
291,perm,1,17,MCC,0.6832979548032865
292,perm,1,18,A,0.784
293,perm,1,18,MCC,0.6772117881255303
294,perm,1,19,A,0.782
295,perm,1,19,MCC,0.6742721868886522
296,gini,1,2,A,0.686
297,gini,1,2,MCC,0.5290506854064034
298,gini,1,3,A,0.68
299,gini,1,3,MCC,0.5199551152515769
300,gini,1,4,A,0.71
301,gini,1,4,MCC,0.5651806038670738
302,gini,1,5,A,0.716
303,gini,1,5,MCC,0.5743792179742675
304,gini,1,6,A,0.746
305,gini,1,6,MCC,0.6190547706587725
306,gini,1,7,A,0.736
307,gini,1,7,MCC,0.6045363330658854
308,gini,1,8,A,0.75
309,gini,1,8,MCC,0.6259251273460944
310,gini,1,9,A,0.746
311,gini,1,9,MCC,0.6202947603101323
312,gini,1,10,A,0.756
313,gini,1,10,MCC,0.6362512562577427
314,gini,1,11,A,0.748
315,gini,1,11,MCC,0.6242286705801213
316,gini,1,12,A,0.766
317,gini,1,12,MCC,0.6506968802549317
318,gini,1,13,A,0.78
319,gini,1,13,MCC,0.6720683565465032
320,gini,1,14,A,0.77
321,gini,1,14,MCC,0.656230013215288
322,gini,1,15,A,0.778
323,gini,1,15,MCC,0.668338081767765
324,gini,1,16,A,0.78
325,gini,1,16,MCC,0.6719530852183824
326,gini,1,17,A,0.782
327,gini,1,17,MCC,0.6745063268896783
328,gini,1,18,A,0.778
329,gini,1,18,MCC,0.6686481194099421
330,gini,1,19,A,0.788
331,gini,1,19,MCC,0.6835232297252217
332,support_impurity_centrality,1,2,A,0.686
333,support_impurity_centrality,1,2,MCC,0.5291360884348996
334,support_impurity_centrality,1,3,A,0.702
335,support_impurity_centrality,1,3,MCC,0.5529449242958604
336,support_impurity_centrality,1,4,A,0.722
337,support_impurity_centrality,1,4,MCC,0.5834024492208939
338,support_impurity_centrality,1,5,A,0.718
339,support_impurity_centrality,1,5,MCC,0.5774459879026769
340,support_impurity_centrality,1,6,A,0.744
341,support_impurity_centrality,1,6,MCC,0.6160289952918317
342,support_impurity_centrality,1,7,A,0.736
343,support_impurity_centrality,1,7,MCC,0.6045363330658854
344,support_impurity_centrality,1,8,A,0.724
345,support_impurity_centrality,1,8,MCC,0.587170181723127
346,support_impurity_centrality,1,9,A,0.74
347,support_impurity_centrality,1,9,MCC,0.6100071511962469
348,support_impurity_centrality,1,10,A,0.76
