,method,fold,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize
0,perm,0,0.0,0.1842105263157895,0.0,0.4736842105263157,0.008771929824561406,0.008771929824561406,0.008771929824561406,0.0,0.19298245614035084,0.0,0.0,0.09649122807017545,0.0,0.02631578947368422,0.0,0.0
1,gini,0,0.0,0.2162293488824101,0.014577259475218658,0.3828960155490769,0.06708852372117678,0.00874635568513119,0.018552875695732843,0.0,0.0783527696793003,0.0,0.0,0.14941690962099125,0.029154518950437316,0.03498542274052479,0.0,0.0
2,shap,0,0.0,0.18911271014450057,0.013658140509557116,0.4084834544911888,0.023996301915813832,0.0393214358488647,0.024808786150974798,0.0,0.13307931693766023,0.0,0.0,0.11935113303178925,0.00932956044794473,0.03885916052170602,0.0,0.0
3,support_impurity_centrality,0,0.0,0.1053763286973718,0.04551854792586608,0.31040183170918106,0.06021164944600418,0.03347585378768755,0.0651976265460557,0.0,0.18227449818913363,0.0,0.0,0.09041695762239993,0.0717007854031791,0.03542592067312093,0.0,0.0
4,confidence_impurity_centrality,0,0.0,0.09556515189312464,0.14984059819077486,0.17595505018491292,0.032744202506546874,0.08233021103099487,0.08368663114106195,0.0,0.17343743502831296,0.0,0.0,0.04904896884120912,0.11627078331842829,0.04112096786463365,0.0,0.0
5,lift_impurity_centrality,0,0.0,0.15758367261010264,-0.10389649068160439,0.19673509630549613,0.03525447863296901,0.17651272302109394,0.1076268942244048,0.0,0.18934897580221832,0.0,0.0,0.0846648713407837,0.045509332855708275,0.11066044588882762,0.0,0.0
6,equal_impurity_centrality,0,0.0,0.09556515189312464,0.14984059819077486,0.17595505018491292,0.032744202506546874,0.08233021103099487,0.08368663114106195,0.0,0.17343743502831296,0.0,0.0,0.04904896884120912,0.11627078331842829,0.04112096786463365,0.0,0.0
7,relevance_impurity_centrality,0,0.0,0.10992901266277759,0.08005940344589559,0.23297384632898205,0.05088604960839449,0.0593809453255415,0.06067551399489493,0.0,0.21332608290255234,0.0,0.0,0.0621825629658055,0.0674442991829394,0.06314228358221656,0.0,0.0
8,support_relevance_centrality,0,0.0,0.1086039895427975,4.7761479194072795e-06,0.8563524990321684,0.0008431484198266839,0.0002334341169549685,0.0002987008472891415,0.0,0.0029850993679072266,0.0,0.0,0.03015106453164587,1.1464016186286448e-05,0.0005158239773045728,0.0,0.0
9,confidence_relevance_centrality,0,0.0,0.19070600190297798,0.00013536969290483495,0.6993710687103766,0.004557559263942676,0.0024534800275518766,0.0014635030136995787,0.0,0.023774334455933115,0.0,0.0,0.07250291164267551,0.0001624606294500448,0.004873310660487679,0.0,0.0
10,lift_relevance_centrality,0,0.0,0.3427592992405334,0.0008685563201477189,0.2933275021337879,0.016246453868125676,0.015728773860381434,0.004457969948221459,0.0,0.13686530258229815,0.0,0.0,0.15789862266825141,0.0005792441345058644,0.03126827524374708,0.0,0.0
