,method,fold,selected,metric,value
0,perm,0,2,A,0.7272727272727273
1,perm,0,2,MCC,0.6480786841589871
2,perm,0,3,A,0.8181818181818182
3,perm,0,3,MCC,0.7676494735787385
4,perm,0,4,A,0.9090909090909091
5,perm,0,4,MCC,0.885115943003028
6,perm,0,5,A,0.9090909090909091
7,perm,0,5,MCC,0.885115943003028
8,perm,0,6,A,1.0
9,perm,0,6,MCC,1.0
10,perm,0,7,A,1.0
11,perm,0,7,MCC,1.0
12,perm,0,8,A,1.0
13,perm,0,8,MCC,1.0
14,perm,0,9,A,1.0
15,perm,0,9,MCC,1.0
16,perm,0,10,A,1.0
17,perm,0,10,MCC,1.0
18,perm,0,11,A,1.0
19,perm,0,11,MCC,1.0
20,gini,0,2,A,0.7272727272727273
21,gini,0,2,MCC,0.6725344835612129
22,gini,0,3,A,0.8181818181818182
23,gini,0,3,MCC,0.7769546554242183
24,gini,0,4,A,0.9090909090909091
25,gini,0,4,MCC,0.885115943003028
26,gini,0,5,A,1.0
27,gini,0,5,MCC,1.0
28,gini,0,6,A,1.0
29,gini,0,6,MCC,1.0
30,gini,0,7,A,0.9090909090909091
31,gini,0,7,MCC,0.885115943003028
32,gini,0,8,A,1.0
33,gini,0,8,MCC,1.0
34,gini,0,9,A,1.0
35,gini,0,9,MCC,1.0
36,gini,0,10,A,1.0
37,gini,0,10,MCC,1.0
38,gini,0,11,A,1.0
39,gini,0,11,MCC,1.0
40,shap,0,2,A,0.7272727272727273
41,shap,0,2,MCC,0.6725344835612129
42,shap,0,3,A,0.8181818181818182
43,shap,0,3,MCC,0.7676494735787385
44,shap,0,4,A,0.9090909090909091
45,shap,0,4,MCC,0.885115943003028
46,shap,0,5,A,1.0
47,shap,0,5,MCC,1.0
48,shap,0,6,A,1.0
49,shap,0,6,MCC,1.0
50,shap,0,7,A,1.0
51,shap,0,7,MCC,1.0
52,shap,0,8,A,1.0
53,shap,0,8,MCC,1.0
54,shap,0,9,A,1.0
55,shap,0,9,MCC,1.0
56,shap,0,10,A,1.0
57,shap,0,10,MCC,1.0
58,shap,0,11,A,1.0
59,shap,0,11,MCC,1.0
60,support_impurity_centrality,0,2,A,0.7272727272727273
61,support_impurity_centrality,0,2,MCC,0.6480786841589871
62,support_impurity_centrality,0,3,A,0.8181818181818182
63,support_impurity_centrality,0,3,MCC,0.7676494735787385
64,support_impurity_centrality,0,4,A,0.9090909090909091
65,support_impurity_centrality,0,4,MCC,0.885115943003028
66,support_impurity_centrality,0,5,A,0.9090909090909091
67,support_impurity_centrality,0,5,MCC,0.885115943003028
68,support_impurity_centrality,0,6,A,0.9090909090909091
69,support_impurity_centrality,0,6,MCC,0.885115943003028
70,support_impurity_centrality,0,7,A,1.0
71,support_impurity_centrality,0,7,MCC,1.0
72,support_impurity_centrality,0,8,A,1.0
73,support_impurity_centrality,0,8,MCC,1.0
74,support_impurity_centrality,0,9,A,1.0
75,support_impurity_centrality,0,9,MCC,1.0
76,support_impurity_centrality,0,10,A,1.0
77,support_impurity_centrality,0,10,MCC,1.0
78,support_impurity_centrality,0,11,A,1.0
79,support_impurity_centrality,0,11,MCC,1.0
80,confidence_impurity_centrality,0,2,A,0.7272727272727273
81,confidence_impurity_centrality,0,2,MCC,0.6480786841589871
82,confidence_impurity_centrality,0,3,A,0.7272727272727273
83,confidence_impurity_centrality,0,3,MCC,0.6480786841589871
84,confidence_impurity_centrality,0,4,A,0.8181818181818182
85,confidence_impurity_centrality,0,4,MCC,0.7676494735787385
86,confidence_impurity_centrality,0,5,A,0.8181818181818182
87,confidence_impurity_centrality,0,5,MCC,0.7676494735787385
88,confidence_impurity_centrality,0,6,A,0.8181818181818182
89,confidence_impurity_centrality,0,6,MCC,0.7676494735787385
90,confidence_impurity_centrality,0,7,A,1.0
91,confidence_impurity_centrality,0,7,MCC,1.0
92,confidence_impurity_centrality,0,8,A,1.0
93,confidence_impurity_centrality,0,8,MCC,1.0
94,confidence_impurity_centrality,0,9,A,1.0
95,confidence_impurity_centrality,0,9,MCC,1.0
96,confidence_impurity_centrality,0,10,A,1.0
97,confidence_impurity_centrality,0,10,MCC,1.0
98,confidence_impurity_centrality,0,11,A,1.0
99,confidence_impurity_centrality,0,11,MCC,1.0
100,lift_impurity_centrality,0,2,A,0.7272727272727273
101,lift_impurity_centrality,0,2,MCC,0.6480786841589871
102,lift_impurity_centrality,0,3,A,0.9090909090909091
103,lift_impurity_centrality,0,3,MCC,0.8839599998785473
104,lift_impurity_centrality,0,4,A,1.0
105,lift_impurity_centrality,0,4,MCC,1.0
106,lift_impurity_centrality,0,5,A,1.0
107,lift_impurity_centrality,0,5,MCC,1.0
108,lift_impurity_centrality,0,6,A,1.0
109,lift_impurity_centrality,0,6,MCC,1.0
110,lift_impurity_centrality,0,7,A,1.0
111,lift_impurity_centrality,0,7,MCC,1.0
112,lift_impurity_centrality,0,8,A,1.0
113,lift_impurity_centrality,0,8,MCC,1.0
114,lift_impurity_centrality,0,9,A,1.0
115,lift_impurity_centrality,0,9,MCC,1.0
116,lift_impurity_centrality,0,10,A,1.0
117,lift_impurity_centrality,0,10,MCC,1.0
118,lift_impurity_centrality,0,11,A,1.0
119,lift_impurity_centrality,0,11,MCC,1.0
120,equal_impurity_centrality,0,2,A,0.7272727272727273
121,equal_impurity_centrality,0,2,MCC,0.6480786841589871
122,equal_impurity_centrality,0,3,A,0.7272727272727273
123,equal_impurity_centrality,0,3,MCC,0.6480786841589871
124,equal_impurity_centrality,0,4,A,0.8181818181818182
125,equal_impurity_centrality,0,4,MCC,0.7676494735787385
126,equal_impurity_centrality,0,5,A,0.8181818181818182
127,equal_impurity_centrality,0,5,MCC,0.7676494735787385
128,equal_impurity_centrality,0,6,A,0.8181818181818182
129,equal_impurity_centrality,0,6,MCC,0.7676494735787385
130,equal_impurity_centrality,0,7,A,1.0
131,equal_impurity_centrality,0,7,MCC,1.0
132,equal_impurity_centrality,0,8,A,1.0
133,equal_impurity_centrality,0,8,MCC,1.0
134,equal_impurity_centrality,0,9,A,1.0
135,equal_impurity_centrality,0,9,MCC,1.0
136,equal_impurity_centrality,0,10,A,1.0
137,equal_impurity_centrality,0,10,MCC,1.0
138,equal_impurity_centrality,0,11,A,1.0
139,equal_impurity_centrality,0,11,MCC,1.0
140,relevance_impurity_centrality,0,2,A,0.7272727272727273
141,relevance_impurity_centrality,0,2,MCC,0.6480786841589871
142,relevance_impurity_centrality,0,3,A,0.8181818181818182
143,relevance_impurity_centrality,0,3,MCC,0.7676494735787385
144,relevance_impurity_centrality,0,4,A,0.8181818181818182
145,relevance_impurity_centrality,0,4,MCC,0.7676494735787385
146,relevance_impurity_centrality,0,5,A,0.8181818181818182
147,relevance_impurity_centrality,0,5,MCC,0.7676494735787385
148,relevance_impurity_centrality,0,6,A,0.8181818181818182
149,relevance_impurity_centrality,0,6,MCC,0.7676494735787385
150,relevance_impurity_centrality,0,7,A,0.9090909090909091
151,relevance_impurity_centrality,0,7,MCC,0.885115943003028
152,relevance_impurity_centrality,0,8,A,0.9090909090909091
153,relevance_impurity_centrality,0,8,MCC,0.885115943003028
154,relevance_impurity_centrality,0,9,A,1.0
155,relevance_impurity_centrality,0,9,MCC,1.0
156,relevance_impurity_centrality,0,10,A,1.0
157,relevance_impurity_centrality,0,10,MCC,1.0
158,relevance_impurity_centrality,0,11,A,1.0
159,relevance_impurity_centrality,0,11,MCC,1.0
160,support_relevance_centrality,0,2,A,0.7272727272727273
161,support_relevance_centrality,0,2,MCC,0.6725344835612129
162,support_relevance_centrality,0,3,A,0.8181818181818182
163,support_relevance_centrality,0,3,MCC,0.7769546554242183
164,support_relevance_centrality,0,4,A,0.9090909090909091
165,support_relevance_centrality,0,4,MCC,0.885115943003028
166,support_relevance_centrality,0,5,A,1.0
167,support_relevance_centrality,0,5,MCC,1.0
168,support_relevance_centrality,0,6,A,1.0
169,support_relevance_centrality,0,6,MCC,1.0
170,support_relevance_centrality,0,7,A,1.0
171,support_relevance_centrality,0,7,MCC,1.0
172,support_relevance_centrality,0,8,A,1.0
173,support_relevance_centrality,0,8,MCC,1.0
174,support_relevance_centrality,0,9,A,1.0
175,support_relevance_centrality,0,9,MCC,1.0
176,support_relevance_centrality,0,10,A,1.0
177,support_relevance_centrality,0,10,MCC,1.0
178,support_relevance_centrality,0,11,A,1.0
179,support_relevance_centrality,0,11,MCC,1.0
180,confidence_relevance_centrality,0,2,A,0.7272727272727273
181,confidence_relevance_centrality,0,2,MCC,0.6725344835612129
182,confidence_relevance_centrality,0,3,A,0.8181818181818182
183,confidence_relevance_centrality,0,3,MCC,0.7769546554242183
184,confidence_relevance_centrality,0,4,A,0.9090909090909091
185,confidence_relevance_centrality,0,4,MCC,0.885115943003028
186,confidence_relevance_centrality,0,5,A,0.9090909090909091
187,confidence_relevance_centrality,0,5,MCC,0.885115943003028
188,confidence_relevance_centrality,0,6,A,1.0
189,confidence_relevance_centrality,0,6,MCC,1.0
190,confidence_relevance_centrality,0,7,A,1.0
191,confidence_relevance_centrality,0,7,MCC,1.0
192,confidence_relevance_centrality,0,8,A,1.0
193,confidence_relevance_centrality,0,8,MCC,1.0
194,confidence_relevance_centrality,0,9,A,1.0
195,confidence_relevance_centrality,0,9,MCC,1.0
196,confidence_relevance_centrality,0,10,A,1.0
197,confidence_relevance_centrality,0,10,MCC,1.0
198,confidence_relevance_centrality,0,11,A,1.0
199,confidence_relevance_centrality,0,11,MCC,1.0
200,lift_relevance_centrality,0,2,A,0.7272727272727273
201,lift_relevance_centrality,0,2,MCC,0.6725344835612129
202,lift_relevance_centrality,0,3,A,0.8181818181818182
203,lift_relevance_centrality,0,3,MCC,0.7769546554242183
204,lift_relevance_centrality,0,4,A,0.9090909090909091
205,lift_relevance_centrality,0,4,MCC,0.885115943003028
206,lift_relevance_centrality,0,5,A,0.9090909090909091
207,lift_relevance_centrality,0,5,MCC,0.885115943003028
208,lift_relevance_centrality,0,6,A,1.0
209,lift_relevance_centrality,0,6,MCC,1.0
210,lift_relevance_centrality,0,7,A,1.0
211,lift_relevance_centrality,0,7,MCC,1.0
212,lift_relevance_centrality,0,8,A,1.0
213,lift_relevance_centrality,0,8,MCC,1.0
214,lift_relevance_centrality,0,9,A,1.0
215,lift_relevance_centrality,0,9,MCC,1.0
216,lift_relevance_centrality,0,10,A,1.0
217,lift_relevance_centrality,0,10,MCC,1.0
218,lift_relevance_centrality,0,11,A,1.0
219,lift_relevance_centrality,0,11,MCC,1.0
220,equal_relevance_centrality,0,2,A,0.7272727272727273
221,equal_relevance_centrality,0,2,MCC,0.6725344835612129
222,equal_relevance_centrality,0,3,A,0.8181818181818182
223,equal_relevance_centrality,0,3,MCC,0.7769546554242183
224,equal_relevance_centrality,0,4,A,0.9090909090909091
225,equal_relevance_centrality,0,4,MCC,0.885115943003028
226,equal_relevance_centrality,0,5,A,0.9090909090909091
227,equal_relevance_centrality,0,5,MCC,0.885115943003028
228,equal_relevance_centrality,0,6,A,1.0
229,equal_relevance_centrality,0,6,MCC,1.0
230,equal_relevance_centrality,0,7,A,1.0
231,equal_relevance_centrality,0,7,MCC,1.0
232,equal_relevance_centrality,0,8,A,1.0
233,equal_relevance_centrality,0,8,MCC,1.0
234,equal_relevance_centrality,0,9,A,1.0
235,equal_relevance_centrality,0,9,MCC,1.0
236,equal_relevance_centrality,0,10,A,1.0
237,equal_relevance_centrality,0,10,MCC,1.0
238,equal_relevance_centrality,0,11,A,1.0
239,equal_relevance_centrality,0,11,MCC,1.0
240,relevance_relevance_centrality,0,2,A,0.7272727272727273
241,relevance_relevance_centrality,0,2,MCC,0.6725344835612129
242,relevance_relevance_centrality,0,3,A,0.8181818181818182
243,relevance_relevance_centrality,0,3,MCC,0.7769546554242183
244,relevance_relevance_centrality,0,4,A,0.9090909090909091
245,relevance_relevance_centrality,0,4,MCC,0.885115943003028
246,relevance_relevance_centrality,0,5,A,0.9090909090909091
247,relevance_relevance_centrality,0,5,MCC,0.885115943003028
248,relevance_relevance_centrality,0,6,A,1.0
249,relevance_relevance_centrality,0,6,MCC,1.0
250,relevance_relevance_centrality,0,7,A,1.0
251,relevance_relevance_centrality,0,7,MCC,1.0
252,relevance_relevance_centrality,0,8,A,1.0
253,relevance_relevance_centrality,0,8,MCC,1.0
254,relevance_relevance_centrality,0,9,A,1.0
255,relevance_relevance_centrality,0,9,MCC,1.0
256,relevance_relevance_centrality,0,10,A,1.0
257,relevance_relevance_centrality,0,10,MCC,1.0
258,relevance_relevance_centrality,0,11,A,1.0
259,relevance_relevance_centrality,0,11,MCC,1.0
260,perm,1,2,A,0.8
261,perm,1,2,MCC,0.7556096518348253
262,perm,1,3,A,0.9
263,perm,1,3,MCC,0.8767945989619056
264,perm,1,4,A,0.9
265,perm,1,4,MCC,0.8767945989619056
266,perm,1,5,A,1.0
267,perm,1,5,MCC,1.0
