,method,fold,age,sex,on_thyroxine,query_on_thyroxine,on_antithyroid_medication,thyroid_surgery,query_hypothyroid,query_hyperthyroid,pregnant,sick,tumor,lithium,goitre,TSH_measured,TSH,T3_measured,T3,TT4_measured,TT4,T4U_measured,T4U,FTI_measured,FTI,TBG_measured,TBG
0,perm,0,-0.006912442396313317,0.0,0.0,0.0,0.027649769585253427,0.004608294930875544,-0.01152073732718886,0.0,0.0,0.009216589861751088,0.0,0.0,0.0,0.0,0.23502304147465444,0.0,0.12672811059907826,0.0,0.02995391705069128,0.0,0.07834101382488498,0.0,0.5069124423963132,0.0,0.0
1,gini,0,0.043988676388012314,0.0,0.008484083172629,0.0,0.006267644411037617,0.006596323767048664,0.01150420632755456,0.0,0.0,0.00826952573970784,0.0,0.0,0.0,0.0,0.28932072319142144,0.00255824227168637,0.1511157606916655,0.0,0.015423735383225902,0.0,0.1052362922404798,0.0,0.35123478641553096,0.0,0.0
2,shap,0,0.07740446194806554,0.0,0.007350017953949958,0.0,0.005984976668634929,0.0022635828611370277,0.010035040672366215,0.0,0.0,0.003429831682684017,0.0,0.0,0.0,0.0,0.30947735731530146,0.0018368418522578243,0.13050986376217094,0.0,0.031164022694814282,0.0,0.09540975171038579,0.0,0.325134250878232,0.0,0.0
3,support_impurity_centrality,0,0.1427879328138655,0.0,0.04838489398380287,0.0,0.032899876722539,0.0030027685611570677,0.017844542410189235,0.0,0.0,0.017075438522500534,0.0,0.0,0.0,0.0,0.16010472324537695,0.009981673453747042,0.08732461351172463,0.0,0.05542974485621587,0.0,0.238897889321664,0.0,0.1862659025972173,0.0,0.0
4,confidence_impurity_centrality,0,0.1844987789921783,0.0,0.029121695920529548,0.0,0.010411460374835434,0.01306411207923302,0.054628963260246306,0.0,0.0,0.0043448817015744835,0.0,0.0,0.0,0.0,0.1688635403939407,0.06563174590292142,0.09225778238038466,0.0,0.06823789656192605,0.0,0.19095548550810287,0.0,0.11798365692412738,0.0,0.0
5,lift_impurity_centrality,0,0.009732414821844825,0.0,0.06507283276682954,0.0,0.025202056452859514,0.04504426610842781,0.06515571086780825,0.0,0.0,0.013183040590807098,0.0,0.0,0.0,0.0,0.20235551049380524,0.15543091251533653,0.07296277681974597,0.0,0.02818768472209065,0.0,0.17898853819464003,0.0,0.13868425564580456,0.0,0.0
6,equal_impurity_centrality,0,0.18442233485972695,0.0,0.029109629809348125,0.0,0.01040714655194591,0.013058699172331418,0.0546063286188359,0.0,0.0,0.004343081468997906,0.0,0.0,0.0,0.0,0.16879357447374008,0.06560455243365175,0.09254484471389926,0.0,0.06820962327561232,0.0,0.19087636614207656,0.0,0.118023818479834,0.0,0.0
7,relevance_impurity_centrality,0,0.10739606202216102,0.0,0.05808886263994868,0.0,0.03986094024703215,0.0023345870119956297,0.008760740065152975,0.0,0.0,0.021063388068811473,0.0,0.0,0.0,0.0,0.18792030107600963,0.008716816980310037,0.04828943491140836,0.0,0.06310902434022644,0.0,0.24682595779838562,0.0,0.207633884838558,0.0,0.0
8,support_relevance_centrality,0,9.26726753001824e-08,0.0,8.459227906211859e-08,0.0,1.5827845725296758e-06,1.5354507363382156e-07,1.2538301581811064e-08,0.0,0.0,5.275658524139645e-07,0.0,0.0,0.0,0.0,0.9303989254113378,1.422757065910738e-12,0.002715052443491932,0.0,9.42514099579861e-07,0.0,0.024007929751377003,0.0,0.04287469617951635,0.0,0.0
9,confidence_relevance_centrality,0,1.2792306272770836e-05,0.0,7.0382463514215335e-06,0.0,6.180545148902689e-05,3.7702973242298976e-06,2.530813878899553e-06,0.0,0.0,2.060990122598876e-05,0.0,0.0,0.0,0.0,0.8457509325701207,1.7697518200458265e-09,0.012495427848697617,0.0,2.4065372535166084e-05,0.0,0.024702773608841995,0.0,0.1169182518135104,0.0,0.0
10,lift_relevance_centrality,0,0.0001493439026597273,0.0,0.00011055286216355386,0.0,0.001054109628054673,3.5300350156529965e-06,3.0608057861862277e-05,0.0,0.0,0.0003513767619539223,0.0,0.0,0.0,0.0,0.7668333981704639,2.6010539638318188e-08,0.0399802516025777,0.0,9.897113597578326e-05,0.0,0.027588163931665632,0.0,0.16379966790106795,0.0,0.0
11,equal_relevance_centrality,0,1.2792306238990184e-05,0.0,7.038246332835632e-06,0.0,6.18054513258172e-05,3.7702973142736708e-06,2.530813872216431e-06,0.0,0.0,2.060990117156418e-05,0.0,0.0,0.0,0.0,0.8457509303367455,1.7697518153724415e-09,0.012495428699937415,0.0,2.4065372471616637e-05,0.0,0.024702773543609363,0.0,0.11691825326122854,0.0,0.0
12,relevance_relevance_centrality,0,8.727846176324278e-07,0.0,1.6642575164816303e-06,0.0,3.1652825006402225e-05,1.5323091940977959e-07,8.940330647557423e-08,0.0,0.0,1.0550912776791692e-05,0.0,0.0,0.0,0.0,0.9280266814803808,2.440938543228992e-11,0.0034639147110146684,0.0,1.3525454480566518e-06,0.0,0.024021238853431177,0.0,0.04444182897117271,0.0,0.0
13,perm,1,0.021276595744681517,0.0,0.021276595744681142,0.0,0.0,0.01418439716312068,0.010638297872340698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2943262411347513,0.0,0.20567375886524783,0.0,2.4960333248664783e-16,0.0,0.12056737588652502,0.0,0.31205673758865154,0.0,0.0
14,gini,1,0.027343754707489794,0.0,0.01701926725621758,0.0,0.016005880977482626,0.0007594027599271309,0.023437201071241347,0.0039164167493098805,0.0,0.007641788779141233,0.0,0.0,0.0,0.0,0.2071656714955608,0.0,0.16157160708453905,0.0,0.051459281818489896,0.0,0.16721457737407883,0.0,0.31646514992652186,0.0,0.0
15,shap,1,0.042001934045265615,0.0,0.010011991436019132,0.0,0.0013967067178843953,0.01679147481850983,0.02770554640158563,0.00053853600891886,0.0,0.007148193759705444,0.0,0.0,0.0,0.0,0.3054738875653829,0.0,0.1271374355384974,0.0,0.02066583484804677,0.0,0.08590908331631048,0.0,0.35521937554387356,0.0,0.0
