,method,fold,selected,metric,value
0,perm,0,2,A,0.9810725552050473
1,perm,0,2,MCC,0.8151415124443631
2,perm,0,3,A,0.9621451104100947
3,perm,0,3,MCC,0.6741562263607108
4,perm,0,4,A,0.9747634069400631
5,perm,0,4,MCC,0.7528764860721069
6,perm,0,5,A,0.9716088328075709
7,perm,0,5,MCC,0.7309606335282411
8,perm,0,6,A,0.9779179810725552
9,perm,0,6,MCC,0.7916665598652735
10,perm,0,7,A,0.9810725552050473
11,perm,0,7,MCC,0.8151415124443631
12,perm,0,8,A,0.9716088328075709
13,perm,0,8,MCC,0.7309606335282411
14,perm,0,9,A,0.9747634069400631
15,perm,0,9,MCC,0.7699275864833156
16,perm,0,10,A,0.9779179810725552
17,perm,0,10,MCC,0.7766396946850983
18,perm,0,11,A,0.9810725552050473
19,perm,0,11,MCC,0.8151415124443631
20,perm,0,12,A,0.9779179810725552
21,perm,0,12,MCC,0.7916665598652735
22,perm,0,13,A,0.9810725552050473
23,perm,0,13,MCC,0.8151415124443631
24,perm,0,14,A,0.9810725552050473
25,perm,0,14,MCC,0.8151415124443631
26,perm,0,15,A,0.9716088328075709
27,perm,0,15,MCC,0.7309606335282411
28,perm,0,16,A,0.9810725552050473
29,perm,0,16,MCC,0.8151415124443631
30,perm,0,17,A,0.9747634069400631
31,perm,0,17,MCC,0.7528764860721069
32,perm,0,18,A,0.9747634069400631
33,perm,0,18,MCC,0.7528764860721069
34,perm,0,19,A,0.9779179810725552
35,perm,0,19,MCC,0.7766396946850983
36,gini,0,2,A,0.9810725552050473
37,gini,0,2,MCC,0.8151415124443631
38,gini,0,3,A,0.9621451104100947
39,gini,0,3,MCC,0.6741562263607108
40,gini,0,4,A,0.9747634069400631
41,gini,0,4,MCC,0.7528764860721069
42,gini,0,5,A,0.9747634069400631
43,gini,0,5,MCC,0.7875589983195037
44,gini,0,6,A,0.9684542586750788
45,gini,0,6,MCC,0.7308576123401073
46,gini,0,7,A,0.9747634069400631
47,gini,0,7,MCC,0.7875589983195037
48,gini,0,8,A,0.9747634069400631
49,gini,0,8,MCC,0.7875589983195037
50,gini,0,9,A,0.9716088328075709
51,gini,0,9,MCC,0.7497162323707838
52,gini,0,10,A,0.9747634069400631
53,gini,0,10,MCC,0.7875589983195037
54,gini,0,11,A,0.9779179810725552
55,gini,0,11,MCC,0.8076538349211344
56,gini,0,12,A,0.9779179810725552
57,gini,0,12,MCC,0.8076538349211344
58,gini,0,13,A,0.9747634069400631
59,gini,0,13,MCC,0.7699275864833156
60,gini,0,14,A,0.9716088328075709
61,gini,0,14,MCC,0.7497162323707838
62,gini,0,15,A,0.9747634069400631
63,gini,0,15,MCC,0.7699275864833156
64,gini,0,16,A,0.9779179810725552
65,gini,0,16,MCC,0.8076538349211344
66,gini,0,17,A,0.9747634069400631
67,gini,0,17,MCC,0.7875589983195037
68,gini,0,18,A,0.9747634069400631
69,gini,0,18,MCC,0.7699275864833156
70,gini,0,19,A,0.9779179810725552
71,gini,0,19,MCC,0.8076538349211344
72,shap,0,2,A,0.9810725552050473
73,shap,0,2,MCC,0.8151415124443631
74,shap,0,3,A,0.9621451104100947
75,shap,0,3,MCC,0.6741562263607108
76,shap,0,4,A,0.9747634069400631
77,shap,0,4,MCC,0.7528764860721069
78,shap,0,5,A,0.9747634069400631
79,shap,0,5,MCC,0.7875589983195037
80,shap,0,6,A,0.9684542586750788
81,shap,0,6,MCC,0.7308576123401073
82,shap,0,7,A,0.9747634069400631
83,shap,0,7,MCC,0.7875589983195037
84,shap,0,8,A,0.9747634069400631
85,shap,0,8,MCC,0.7875589983195037
86,shap,0,9,A,0.9779179810725552
87,shap,0,9,MCC,0.8076538349211344
88,shap,0,10,A,0.9747634069400631
89,shap,0,10,MCC,0.7875589983195037
90,shap,0,11,A,0.9779179810725552
91,shap,0,11,MCC,0.7916665598652735
92,shap,0,12,A,0.9747634069400631
93,shap,0,12,MCC,0.7875589983195037
94,shap,0,13,A,0.9779179810725552
95,shap,0,13,MCC,0.7916665598652735
96,shap,0,14,A,0.9810725552050473
97,shap,0,14,MCC,0.8291959315331483
98,shap,0,15,A,0.9779179810725552
99,shap,0,15,MCC,0.8076538349211344
100,shap,0,16,A,0.9779179810725552
101,shap,0,16,MCC,0.8076538349211344
102,shap,0,17,A,0.9779179810725552
103,shap,0,17,MCC,0.7916665598652735
104,shap,0,18,A,0.9747634069400631
105,shap,0,18,MCC,0.7875589983195037
106,shap,0,19,A,0.9779179810725552
107,shap,0,19,MCC,0.7916665598652735
108,support_impurity_centrality,0,2,A,0.9684542586750788
109,support_impurity_centrality,0,2,MCC,0.6708887043189369
110,support_impurity_centrality,0,3,A,0.9842271293375394
111,support_impurity_centrality,0,3,MCC,0.8523724862023058
112,support_impurity_centrality,0,4,A,0.9684542586750788
113,support_impurity_centrality,0,4,MCC,0.7106592414334829
114,support_impurity_centrality,0,5,A,0.9747634069400631
115,support_impurity_centrality,0,5,MCC,0.7875589983195037
116,support_impurity_centrality,0,6,A,0.9684542586750788
117,support_impurity_centrality,0,6,MCC,0.7308576123401073
118,support_impurity_centrality,0,7,A,0.9716088328075709
119,support_impurity_centrality,0,7,MCC,0.7687529796034221
120,support_impurity_centrality,0,8,A,0.9716088328075709
121,support_impurity_centrality,0,8,MCC,0.7687529796034221
122,support_impurity_centrality,0,9,A,0.9779179810725552
123,support_impurity_centrality,0,9,MCC,0.8076538349211344
124,support_impurity_centrality,0,10,A,0.9747634069400631
125,support_impurity_centrality,0,10,MCC,0.7699275864833156
126,support_impurity_centrality,0,11,A,0.9779179810725552
127,support_impurity_centrality,0,11,MCC,0.7916665598652735
128,support_impurity_centrality,0,12,A,0.9779179810725552
129,support_impurity_centrality,0,12,MCC,0.7916665598652735
130,support_impurity_centrality,0,13,A,0.9747634069400631
131,support_impurity_centrality,0,13,MCC,0.7699275864833156
132,support_impurity_centrality,0,14,A,0.9779179810725552
133,support_impurity_centrality,0,14,MCC,0.8076538349211344
134,support_impurity_centrality,0,15,A,0.9747634069400631
135,support_impurity_centrality,0,15,MCC,0.7699275864833156
136,support_impurity_centrality,0,16,A,0.9747634069400631
137,support_impurity_centrality,0,16,MCC,0.7699275864833156
138,support_impurity_centrality,0,17,A,0.9747634069400631
139,support_impurity_centrality,0,17,MCC,0.7699275864833156
140,support_impurity_centrality,0,18,A,0.9810725552050473
141,support_impurity_centrality,0,18,MCC,0.8291959315331483
142,support_impurity_centrality,0,19,A,0.9747634069400631
143,support_impurity_centrality,0,19,MCC,0.7699275864833156
144,confidence_impurity_centrality,0,2,A,0.9053627760252366
145,confidence_impurity_centrality,0,2,MCC,0.11797579093515594
146,confidence_impurity_centrality,0,3,A,0.9589905362776026
147,confidence_impurity_centrality,0,3,MCC,0.5336189806517029
148,confidence_impurity_centrality,0,4,A,0.9684542586750788
149,confidence_impurity_centrality,0,4,MCC,0.7106592414334829
150,confidence_impurity_centrality,0,5,A,0.9747634069400631
151,confidence_impurity_centrality,0,5,MCC,0.7699275864833156
152,confidence_impurity_centrality,0,6,A,0.9684542586750788
153,confidence_impurity_centrality,0,6,MCC,0.7308576123401073
154,confidence_impurity_centrality,0,7,A,0.9747634069400631
155,confidence_impurity_centrality,0,7,MCC,0.7875589983195037
156,confidence_impurity_centrality,0,8,A,0.9747634069400631
157,confidence_impurity_centrality,0,8,MCC,0.7699275864833156
158,confidence_impurity_centrality,0,9,A,0.9716088328075709
159,confidence_impurity_centrality,0,9,MCC,0.7497162323707838
160,confidence_impurity_centrality,0,10,A,0.9716088328075709
161,confidence_impurity_centrality,0,10,MCC,0.7497162323707838
162,confidence_impurity_centrality,0,11,A,0.9747634069400631
163,confidence_impurity_centrality,0,11,MCC,0.7699275864833156
164,confidence_impurity_centrality,0,12,A,0.9810725552050473
165,confidence_impurity_centrality,0,12,MCC,0.8291959315331483
166,confidence_impurity_centrality,0,13,A,0.9747634069400631
167,confidence_impurity_centrality,0,13,MCC,0.7699275864833156
168,confidence_impurity_centrality,0,14,A,0.9779179810725552
169,confidence_impurity_centrality,0,14,MCC,0.8076538349211344
170,confidence_impurity_centrality,0,15,A,0.9747634069400631
171,confidence_impurity_centrality,0,15,MCC,0.7699275864833156
172,confidence_impurity_centrality,0,16,A,0.9747634069400631
173,confidence_impurity_centrality,0,16,MCC,0.7699275864833156
174,confidence_impurity_centrality,0,17,A,0.9779179810725552
175,confidence_impurity_centrality,0,17,MCC,0.8076538349211344
176,confidence_impurity_centrality,0,18,A,0.9747634069400631
177,confidence_impurity_centrality,0,18,MCC,0.7699275864833156
178,confidence_impurity_centrality,0,19,A,0.9779179810725552
179,confidence_impurity_centrality,0,19,MCC,0.8076538349211344
180,lift_impurity_centrality,0,2,A,0.9716088328075709
181,lift_impurity_centrality,0,2,MCC,0.6789430501247181
182,lift_impurity_centrality,0,3,A,0.9716088328075709
183,lift_impurity_centrality,0,3,MCC,0.6789430501247181
184,lift_impurity_centrality,0,4,A,0.9810725552050473
185,lift_impurity_centrality,0,4,MCC,0.8151415124443631
186,lift_impurity_centrality,0,5,A,0.9810725552050473
187,lift_impurity_centrality,0,5,MCC,0.8151415124443631
188,lift_impurity_centrality,0,6,A,0.9747634069400631
189,lift_impurity_centrality,0,6,MCC,0.7699275864833156
190,lift_impurity_centrality,0,7,A,0.9810725552050473
191,lift_impurity_centrality,0,7,MCC,0.8291959315331483
192,lift_impurity_centrality,0,8,A,0.9747634069400631
193,lift_impurity_centrality,0,8,MCC,0.7528764860721069
194,lift_impurity_centrality,0,9,A,0.9747634069400631
195,lift_impurity_centrality,0,9,MCC,0.7528764860721069
196,lift_impurity_centrality,0,10,A,0.9779179810725552
197,lift_impurity_centrality,0,10,MCC,0.7916665598652735
198,lift_impurity_centrality,0,11,A,0.9810725552050473
199,lift_impurity_centrality,0,11,MCC,0.8291959315331483
200,lift_impurity_centrality,0,12,A,0.9747634069400631
201,lift_impurity_centrality,0,12,MCC,0.7875589983195037
202,lift_impurity_centrality,0,13,A,0.9779179810725552
203,lift_impurity_centrality,0,13,MCC,0.7916665598652735
204,lift_impurity_centrality,0,14,A,0.9779179810725552
205,lift_impurity_centrality,0,14,MCC,0.7916665598652735
206,lift_impurity_centrality,0,15,A,0.9779179810725552
207,lift_impurity_centrality,0,15,MCC,0.7916665598652735
208,lift_impurity_centrality,0,16,A,0.9747634069400631
209,lift_impurity_centrality,0,16,MCC,0.7699275864833156
210,lift_impurity_centrality,0,17,A,0.9779179810725552
211,lift_impurity_centrality,0,17,MCC,0.8076538349211344
212,lift_impurity_centrality,0,18,A,0.9779179810725552
213,lift_impurity_centrality,0,18,MCC,0.7916665598652735
214,lift_impurity_centrality,0,19,A,0.9747634069400631
215,lift_impurity_centrality,0,19,MCC,0.7699275864833156
216,equal_impurity_centrality,0,2,A,0.9053627760252366
217,equal_impurity_centrality,0,2,MCC,0.11797579093515594
218,equal_impurity_centrality,0,3,A,0.9589905362776026
219,equal_impurity_centrality,0,3,MCC,0.5336189806517029
220,equal_impurity_centrality,0,4,A,0.9684542586750788
221,equal_impurity_centrality,0,4,MCC,0.7106592414334829
222,equal_impurity_centrality,0,5,A,0.9747634069400631
223,equal_impurity_centrality,0,5,MCC,0.7699275864833156
224,equal_impurity_centrality,0,6,A,0.9684542586750788
225,equal_impurity_centrality,0,6,MCC,0.7308576123401073
226,equal_impurity_centrality,0,7,A,0.9747634069400631
227,equal_impurity_centrality,0,7,MCC,0.7875589983195037
228,equal_impurity_centrality,0,8,A,0.9747634069400631
229,equal_impurity_centrality,0,8,MCC,0.7699275864833156
230,equal_impurity_centrality,0,9,A,0.9716088328075709
231,equal_impurity_centrality,0,9,MCC,0.7497162323707838
232,equal_impurity_centrality,0,10,A,0.9716088328075709
233,equal_impurity_centrality,0,10,MCC,0.7497162323707838
234,equal_impurity_centrality,0,11,A,0.9747634069400631
235,equal_impurity_centrality,0,11,MCC,0.7699275864833156
236,equal_impurity_centrality,0,12,A,0.9810725552050473
237,equal_impurity_centrality,0,12,MCC,0.8291959315331483
238,equal_impurity_centrality,0,13,A,0.9747634069400631
239,equal_impurity_centrality,0,13,MCC,0.7699275864833156
240,equal_impurity_centrality,0,14,A,0.9779179810725552
241,equal_impurity_centrality,0,14,MCC,0.8076538349211344
242,equal_impurity_centrality,0,15,A,0.9747634069400631
243,equal_impurity_centrality,0,15,MCC,0.7699275864833156
244,equal_impurity_centrality,0,16,A,0.9747634069400631
245,equal_impurity_centrality,0,16,MCC,0.7699275864833156
246,equal_impurity_centrality,0,17,A,0.9779179810725552
247,equal_impurity_centrality,0,17,MCC,0.8076538349211344
248,equal_impurity_centrality,0,18,A,0.9747634069400631
249,equal_impurity_centrality,0,18,MCC,0.7699275864833156
250,equal_impurity_centrality,0,19,A,0.9779179810725552
251,equal_impurity_centrality,0,19,MCC,0.8076538349211344
252,relevance_impurity_centrality,0,2,A,0.9684542586750788
253,relevance_impurity_centrality,0,2,MCC,0.6708887043189369
254,relevance_impurity_centrality,0,3,A,0.9842271293375394
255,relevance_impurity_centrality,0,3,MCC,0.8523724862023058
256,relevance_impurity_centrality,0,4,A,0.9684542586750788
257,relevance_impurity_centrality,0,4,MCC,0.7106592414334829
258,relevance_impurity_centrality,0,5,A,0.9779179810725552
259,relevance_impurity_centrality,0,5,MCC,0.7916665598652735
260,relevance_impurity_centrality,0,6,A,0.9747634069400631
261,relevance_impurity_centrality,0,6,MCC,0.7528764860721069
262,relevance_impurity_centrality,0,7,A,0.9684542586750788
263,relevance_impurity_centrality,0,7,MCC,0.7308576123401073
264,relevance_impurity_centrality,0,8,A,0.9747634069400631
265,relevance_impurity_centrality,0,8,MCC,0.7875589983195037
266,relevance_impurity_centrality,0,9,A,0.9747634069400631
267,relevance_impurity_centrality,0,9,MCC,0.7875589983195037
268,relevance_impurity_centrality,0,10,A,0.9716088328075709
269,relevance_impurity_centrality,0,10,MCC,0.7497162323707838
270,relevance_impurity_centrality,0,11,A,0.9747634069400631
271,relevance_impurity_centrality,0,11,MCC,0.7699275864833156
272,relevance_impurity_centrality,0,12,A,0.9779179810725552
273,relevance_impurity_centrality,0,12,MCC,0.8076538349211344
274,relevance_impurity_centrality,0,13,A,0.9779179810725552
275,relevance_impurity_centrality,0,13,MCC,0.8076538349211344
276,relevance_impurity_centrality,0,14,A,0.9779179810725552
277,relevance_impurity_centrality,0,14,MCC,0.8076538349211344
278,relevance_impurity_centrality,0,15,A,0.9716088328075709
279,relevance_impurity_centrality,0,15,MCC,0.7497162323707838
280,relevance_impurity_centrality,0,16,A,0.9779179810725552
281,relevance_impurity_centrality,0,16,MCC,0.7916665598652735
282,relevance_impurity_centrality,0,17,A,0.9779179810725552
283,relevance_impurity_centrality,0,17,MCC,0.8076538349211344
284,relevance_impurity_centrality,0,18,A,0.9747634069400631
285,relevance_impurity_centrality,0,18,MCC,0.7699275864833156
286,relevance_impurity_centrality,0,19,A,0.9779179810725552
287,relevance_impurity_centrality,0,19,MCC,0.8076538349211344
288,support_relevance_centrality,0,2,A,0.9810725552050473
289,support_relevance_centrality,0,2,MCC,0.8151415124443631
290,support_relevance_centrality,0,3,A,0.9873817034700315
291,support_relevance_centrality,0,3,MCC,0.8774065388166192
292,support_relevance_centrality,0,4,A,0.9747634069400631
293,support_relevance_centrality,0,4,MCC,0.7528764860721069
294,support_relevance_centrality,0,5,A,0.9779179810725552
295,support_relevance_centrality,0,5,MCC,0.7766396946850983
296,support_relevance_centrality,0,6,A,0.9747634069400631
297,support_relevance_centrality,0,6,MCC,0.7528764860721069
298,support_relevance_centrality,0,7,A,0.9779179810725552
299,support_relevance_centrality,0,7,MCC,0.7916665598652735
300,support_relevance_centrality,0,8,A,0.9810725552050473
301,support_relevance_centrality,0,8,MCC,0.8151415124443631
302,support_relevance_centrality,0,9,A,0.9779179810725552
303,support_relevance_centrality,0,9,MCC,0.8076538349211344
304,support_relevance_centrality,0,10,A,0.9779179810725552
305,support_relevance_centrality,0,10,MCC,0.8076538349211344
306,support_relevance_centrality,0,11,A,0.9810725552050473
307,support_relevance_centrality,0,11,MCC,0.8291959315331483
308,support_relevance_centrality,0,12,A,0.9779179810725552
309,support_relevance_centrality,0,12,MCC,0.8076538349211344
310,support_relevance_centrality,0,13,A,0.9779179810725552
311,support_relevance_centrality,0,13,MCC,0.7916665598652735
312,support_relevance_centrality,0,14,A,0.9747634069400631
313,support_relevance_centrality,0,14,MCC,0.7699275864833156
314,support_relevance_centrality,0,15,A,0.9779179810725552
315,support_relevance_centrality,0,15,MCC,0.7916665598652735
316,support_relevance_centrality,0,16,A,0.9747634069400631
317,support_relevance_centrality,0,16,MCC,0.7875589983195037
318,support_relevance_centrality,0,17,A,0.9779179810725552
319,support_relevance_centrality,0,17,MCC,0.8076538349211344
320,support_relevance_centrality,0,18,A,0.9747634069400631
321,support_relevance_centrality,0,18,MCC,0.7699275864833156
322,support_relevance_centrality,0,19,A,0.9779179810725552
323,support_relevance_centrality,0,19,MCC,0.8076538349211344
324,confidence_relevance_centrality,0,2,A,0.9810725552050473
325,confidence_relevance_centrality,0,2,MCC,0.8151415124443631
