,method,fold,selected,metric,value
0,perm,0,2,A,0.36
1,perm,0,2,MCC,0.30796631160369536
2,perm,0,3,A,0.4
3,perm,0,3,MCC,0.3488855641545211
4,perm,0,4,A,0.55
5,perm,0,4,MCC,0.5078330780986867
6,perm,0,5,A,0.63
7,perm,0,5,MCC,0.5908617215134085
8,perm,0,6,A,0.69
9,perm,0,6,MCC,0.6559747845199477
10,perm,0,7,A,0.745
11,perm,0,7,MCC,0.717384410128141
12,perm,0,8,A,0.725
13,perm,0,8,MCC,0.6948305687136147
14,perm,0,9,A,0.79
15,perm,0,9,MCC,0.7673704122425824
16,perm,0,10,A,0.81
17,perm,0,10,MCC,0.7893055768205585
18,perm,0,11,A,0.835
19,perm,0,11,MCC,0.8173708170656527
20,perm,0,12,A,0.835
21,perm,0,12,MCC,0.8173253330325041
22,perm,0,13,A,0.835
23,perm,0,13,MCC,0.8169844446417642
24,perm,0,14,A,0.845
25,perm,0,14,MCC,0.8283071431650186
26,perm,0,15,A,0.89
27,perm,0,15,MCC,0.8782414164623115
28,perm,0,16,A,0.88
29,perm,0,16,MCC,0.8671967822851374
30,perm,0,17,A,0.88
31,perm,0,17,MCC,0.867438065721621
32,perm,0,18,A,0.87
33,perm,0,18,MCC,0.8565554538663884
34,perm,0,19,A,0.885
35,perm,0,19,MCC,0.8727557360177345
36,gini,0,2,A,0.36
37,gini,0,2,MCC,0.30796631160369536
38,gini,0,3,A,0.4
39,gini,0,3,MCC,0.3488855641545211
40,gini,0,4,A,0.55
41,gini,0,4,MCC,0.5078330780986867
42,gini,0,5,A,0.63
43,gini,0,5,MCC,0.5908617215134085
44,gini,0,6,A,0.725
45,gini,0,6,MCC,0.6969463260440901
46,gini,0,7,A,0.765
47,gini,0,7,MCC,0.739402541289394
48,gini,0,8,A,0.81
49,gini,0,8,MCC,0.789503185908634
50,gini,0,9,A,0.85
51,gini,0,9,MCC,0.8340750631938664
52,gini,0,10,A,0.875
53,gini,0,10,MCC,0.8616378285525403
54,gini,0,11,A,0.865
55,gini,0,11,MCC,0.8504016734299716
56,gini,0,12,A,0.87
57,gini,0,12,MCC,0.8560074565518733
58,gini,0,13,A,0.88
59,gini,0,13,MCC,0.8672932714962603
60,gini,0,14,A,0.87
61,gini,0,14,MCC,0.8561026848819656
62,gini,0,15,A,0.875
63,gini,0,15,MCC,0.8611828793415238
64,gini,0,16,A,0.855
65,gini,0,16,MCC,0.8390287386671196
66,gini,0,17,A,0.865
67,gini,0,17,MCC,0.8502125797207176
68,gini,0,18,A,0.85
69,gini,0,18,MCC,0.8335185802697849
70,gini,0,19,A,0.865
71,gini,0,19,MCC,0.8504489665742637
72,shap,0,2,A,0.36
73,shap,0,2,MCC,0.30796631160369536
74,shap,0,3,A,0.4
75,shap,0,3,MCC,0.3488855641545211
76,shap,0,4,A,0.55
77,shap,0,4,MCC,0.5078330780986867
78,shap,0,5,A,0.6
79,shap,0,5,MCC,0.5608462330151472
80,shap,0,6,A,0.69
81,shap,0,6,MCC,0.6559747845199477
82,shap,0,7,A,0.765
83,shap,0,7,MCC,0.739402541289394
84,shap,0,8,A,0.795
85,shap,0,8,MCC,0.7741384360553044
86,shap,0,9,A,0.85
87,shap,0,9,MCC,0.83409827417672
88,shap,0,10,A,0.83
89,shap,0,10,MCC,0.8116749701372294
90,shap,0,11,A,0.84
91,shap,0,11,MCC,0.8226336419238361
92,shap,0,12,A,0.865
93,shap,0,12,MCC,0.8502125797207176
94,shap,0,13,A,0.865
95,shap,0,13,MCC,0.8504489665742637
96,shap,0,14,A,0.88
97,shap,0,14,MCC,0.8671244365070924
98,shap,0,15,A,0.89
99,shap,0,15,MCC,0.878436852663109
100,shap,0,16,A,0.885
101,shap,0,16,MCC,0.873071454714306
102,shap,0,17,A,0.88
103,shap,0,17,MCC,0.8673173988319304
104,shap,0,18,A,0.88
105,shap,0,18,MCC,0.8673173988319304
106,shap,0,19,A,0.865
107,shap,0,19,MCC,0.8503780298163318
108,support_impurity_centrality,0,2,A,0.36
109,support_impurity_centrality,0,2,MCC,0.30796631160369536
110,support_impurity_centrality,0,3,A,0.4
111,support_impurity_centrality,0,3,MCC,0.3488855641545211
112,support_impurity_centrality,0,4,A,0.55
113,support_impurity_centrality,0,4,MCC,0.5078330780986867
114,support_impurity_centrality,0,5,A,0.63
115,support_impurity_centrality,0,5,MCC,0.5908617215134085
116,support_impurity_centrality,0,6,A,0.725
117,support_impurity_centrality,0,6,MCC,0.6969463260440901
118,support_impurity_centrality,0,7,A,0.82
119,support_impurity_centrality,0,7,MCC,0.8007789138780896
120,support_impurity_centrality,0,8,A,0.815
121,support_impurity_centrality,0,8,MCC,0.7951073101788263
122,support_impurity_centrality,0,9,A,0.87
123,support_impurity_centrality,0,9,MCC,0.8560788748199434
124,support_impurity_centrality,0,10,A,0.835
125,support_impurity_centrality,0,10,MCC,0.8175300710013218
126,support_impurity_centrality,0,11,A,0.84
127,support_impurity_centrality,0,11,MCC,0.8229769638543637
128,support_impurity_centrality,0,12,A,0.865
129,support_impurity_centrality,0,12,MCC,0.8507328912315977
130,support_impurity_centrality,0,13,A,0.87
131,support_impurity_centrality,0,13,MCC,0.8560788748199434
132,support_impurity_centrality,0,14,A,0.875
133,support_impurity_centrality,0,14,MCC,0.8614940824936694
134,support_impurity_centrality,0,15,A,0.86
135,support_impurity_centrality,0,15,MCC,0.8446791101275749
136,support_impurity_centrality,0,16,A,0.85
137,support_impurity_centrality,0,16,MCC,0.8336807727202585
138,support_impurity_centrality,0,17,A,0.85
139,support_impurity_centrality,0,17,MCC,0.8337966824563376
140,support_impurity_centrality,0,18,A,0.86
141,support_impurity_centrality,0,18,MCC,0.8451020018176928
142,support_impurity_centrality,0,19,A,0.835
143,support_impurity_centrality,0,19,MCC,0.816961733911788
144,confidence_impurity_centrality,0,2,A,0.375
145,confidence_impurity_centrality,0,2,MCC,0.3255076160284518
146,confidence_impurity_centrality,0,3,A,0.4
147,confidence_impurity_centrality,0,3,MCC,0.3488855641545211
148,confidence_impurity_centrality,0,4,A,0.545
149,confidence_impurity_centrality,0,4,MCC,0.5027093398631691
150,confidence_impurity_centrality,0,5,A,0.615
151,confidence_impurity_centrality,0,5,MCC,0.5768556761818591
152,confidence_impurity_centrality,0,6,A,0.685
153,confidence_impurity_centrality,0,6,MCC,0.6531096740519408
154,confidence_impurity_centrality,0,7,A,0.685
155,confidence_impurity_centrality,0,7,MCC,0.651576550636845
156,confidence_impurity_centrality,0,8,A,0.705
157,confidence_impurity_centrality,0,8,MCC,0.6740973227187494
158,confidence_impurity_centrality,0,9,A,0.77
159,confidence_impurity_centrality,0,9,MCC,0.747314662486569
160,confidence_impurity_centrality,0,10,A,0.75
161,confidence_impurity_centrality,0,10,MCC,0.7241356637993236
162,confidence_impurity_centrality,0,11,A,0.73
163,confidence_impurity_centrality,0,11,MCC,0.7011305105798072
164,confidence_impurity_centrality,0,12,A,0.77
165,confidence_impurity_centrality,0,12,MCC,0.7461251188524746
166,confidence_impurity_centrality,0,13,A,0.785
167,confidence_impurity_centrality,0,13,MCC,0.7623190733723487
168,confidence_impurity_centrality,0,14,A,0.785
169,confidence_impurity_centrality,0,14,MCC,0.7620642875786775
170,confidence_impurity_centrality,0,15,A,0.78
171,confidence_impurity_centrality,0,15,MCC,0.7578960153918012
172,confidence_impurity_centrality,0,16,A,0.795
173,confidence_impurity_centrality,0,16,MCC,0.7739656083618952
174,confidence_impurity_centrality,0,17,A,0.84
175,confidence_impurity_centrality,0,17,MCC,0.8233436481226746
176,confidence_impurity_centrality,0,18,A,0.85
177,confidence_impurity_centrality,0,18,MCC,0.8337966824563376
178,confidence_impurity_centrality,0,19,A,0.86
179,confidence_impurity_centrality,0,19,MCC,0.8447260667449016
180,lift_impurity_centrality,0,2,A,0.375
181,lift_impurity_centrality,0,2,MCC,0.3255076160284518
182,lift_impurity_centrality,0,3,A,0.4
183,lift_impurity_centrality,0,3,MCC,0.3488855641545211
184,lift_impurity_centrality,0,4,A,0.495
185,lift_impurity_centrality,0,4,MCC,0.44246768503405015
186,lift_impurity_centrality,0,5,A,0.605
187,lift_impurity_centrality,0,5,MCC,0.5636374851396361
188,lift_impurity_centrality,0,6,A,0.685
189,lift_impurity_centrality,0,6,MCC,0.6531096740519408
190,lift_impurity_centrality,0,7,A,0.735
191,lift_impurity_centrality,0,7,MCC,0.7095880121410953
192,lift_impurity_centrality,0,8,A,0.79
193,lift_impurity_centrality,0,8,MCC,0.7693211300353179
194,lift_impurity_centrality,0,9,A,0.76
195,lift_impurity_centrality,0,9,MCC,0.7339452093958396
196,lift_impurity_centrality,0,10,A,0.87
197,lift_impurity_centrality,0,10,MCC,0.8562455869864328
198,lift_impurity_centrality,0,11,A,0.87
199,lift_impurity_centrality,0,11,MCC,0.8560788748199434
200,lift_impurity_centrality,0,12,A,0.875
201,lift_impurity_centrality,0,12,MCC,0.8617816465904105
202,lift_impurity_centrality,0,13,A,0.86
203,lift_impurity_centrality,0,13,MCC,0.8449374684750295
204,lift_impurity_centrality,0,14,A,0.835
205,lift_impurity_centrality,0,14,MCC,0.8170980267086063
206,lift_impurity_centrality,0,15,A,0.85
207,lift_impurity_centrality,0,15,MCC,0.833773496641435
208,lift_impurity_centrality,0,16,A,0.86
209,lift_impurity_centrality,0,16,MCC,0.8451490290012699
210,lift_impurity_centrality,0,17,A,0.85
211,lift_impurity_centrality,0,17,MCC,0.8337966824563376
212,lift_impurity_centrality,0,18,A,0.87
213,lift_impurity_centrality,0,18,MCC,0.855793308945043
214,lift_impurity_centrality,0,19,A,0.85
215,lift_impurity_centrality,0,19,MCC,0.8337503127606448
216,equal_impurity_centrality,0,2,A,0.375
217,equal_impurity_centrality,0,2,MCC,0.3255076160284518
218,equal_impurity_centrality,0,3,A,0.4
219,equal_impurity_centrality,0,3,MCC,0.3488855641545211
220,equal_impurity_centrality,0,4,A,0.545
221,equal_impurity_centrality,0,4,MCC,0.5027093398631691
222,equal_impurity_centrality,0,5,A,0.615
223,equal_impurity_centrality,0,5,MCC,0.5768556761818591
224,equal_impurity_centrality,0,6,A,0.685
225,equal_impurity_centrality,0,6,MCC,0.6531096740519408
226,equal_impurity_centrality,0,7,A,0.685
227,equal_impurity_centrality,0,7,MCC,0.651576550636845
228,equal_impurity_centrality,0,8,A,0.705
229,equal_impurity_centrality,0,8,MCC,0.6740973227187494
230,equal_impurity_centrality,0,9,A,0.77
231,equal_impurity_centrality,0,9,MCC,0.747314662486569
232,equal_impurity_centrality,0,10,A,0.75
233,equal_impurity_centrality,0,10,MCC,0.7241356637993236
234,equal_impurity_centrality,0,11,A,0.73
235,equal_impurity_centrality,0,11,MCC,0.7011305105798072
236,equal_impurity_centrality,0,12,A,0.77
237,equal_impurity_centrality,0,12,MCC,0.7461251188524746
238,equal_impurity_centrality,0,13,A,0.785
239,equal_impurity_centrality,0,13,MCC,0.7623190733723487
240,equal_impurity_centrality,0,14,A,0.785
241,equal_impurity_centrality,0,14,MCC,0.7620642875786775
242,equal_impurity_centrality,0,15,A,0.78
243,equal_impurity_centrality,0,15,MCC,0.7578960153918012
244,equal_impurity_centrality,0,16,A,0.795
245,equal_impurity_centrality,0,16,MCC,0.7739656083618952
246,equal_impurity_centrality,0,17,A,0.84
247,equal_impurity_centrality,0,17,MCC,0.8233436481226746
248,equal_impurity_centrality,0,18,A,0.85
249,equal_impurity_centrality,0,18,MCC,0.8337966824563376
250,equal_impurity_centrality,0,19,A,0.86
251,equal_impurity_centrality,0,19,MCC,0.8447260667449016
252,relevance_impurity_centrality,0,2,A,0.36
253,relevance_impurity_centrality,0,2,MCC,0.30796631160369536
254,relevance_impurity_centrality,0,3,A,0.4
