,method,fold,cpu_avg_user,cpu_avg_sys,cpu_avg_busy,cpu_avg_wait,cpu_avg_idle,cpu_avg_waste,cpu_max_user,cpu_max_sys,cpu_max_busy,cpu_max_wait,cpu_max_idle,cpu_max_waste,cpu_frac_busy,io_iget,io_bread,io_bwrite,io_lread,io_lwrite,io_phread,io_phwrite,io_wcancel,io_namei,io_dirblk,disk_avg_active,disk_max_active,disk_frac_active,disk_avg_read,disk_avg_write,disk_avg_total,disk_max_read,disk_max_write,disk_max_total,disk_frac_busy,net_avg_read,net_avg_write,net_avg_total,net_max_read,net_max_write,net_max_total,net_frac_busy,mem_swap,mem_fault,mem_tlbflush,syscall_total
0,perm,0,0.0,0.020648967551622436,0.528023598820059,0.0,0.0,0.07964601769911504,0.0,0.30088495575221236,0.023598820058996967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023598820058996967,0.0,0.0,0.0,0.0,0.038348082595870255,0.0,0.0,0.0,0.026548672566371678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005899705014749242,0.0
1,gini,0,0.0,0.6528352979203679,0.015120738057353688,0.0,0.0,0.06675358338435343,0.0,0.1363783653807835,0.007228542142882106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009587947174003362,0.0114104930676446,0.0,0.0,0.0,0.0,0.06187605524028732,0.0,0.0,0.0,0.01012301687102837,0.0,0.0,0.0,0.0,0.0,0.018994042656285494,0.0,0.0,0.0,0.0,0.0,0.0,0.009691918105010225,0.0
2,shap,0,0.0,0.10240539414894995,0.276212216170512,0.0,0.0,0.0704457230618633,0.0,0.2840737242364267,0.01351987783940575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04864812660752602,0.0,0.0,0.0,0.0,0.0674210201878402,0.0,0.0,0.0,0.022052330868108618,0.0,0.0,0.0,0.0,0.0,0.08501123109963805,0.0,0.0,0.0,0.0,0.0,0.0,0.030210355779729484,0.0
3,support_impurity_centrality,0,0.0,0.10769515368557127,0.0012794972144650552,0.0,0.0,0.06647808067705202,0.0,0.4264877408595149,0.05535972874253322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00990956221796684,0.06921043808875066,0.0,0.0,0.0,0.0,0.17021073387378793,0.0,0.0,0.0,0.00999991229959237,0.0,0.0,0.0,0.0,0.0,0.05855974195060173,0.0,0.0,0.0,0.0,0.0,0.0,0.02480941039016401,0.0
4,confidence_impurity_centrality,0,0.0,0.02814769097631908,0.00015170237819187116,0.0,0.0,0.14721974963008722,0.0,0.32735351917115896,0.28222519900932225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007055201859296567,0.12749741498659725,0.0,0.0,0.0,0.0,0.040322850622602366,0.0,0.0,0.0,0.018708896825202527,0.0,0.0,0.0,0.0,0.0,0.017925036929629587,0.0,0.0,0.0,0.0,0.0,0.0,0.009742419284959291,0.0
5,lift_impurity_centrality,0,0.0,0.025356091365005468,0.00016202078144755177,0.0,0.0,0.17701204589738986,0.0,0.3479116632041593,0.231534573402498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008314553096402345,0.1436776484448,0.0,0.0,0.0,0.0,0.039513146281240856,0.0,0.0,0.0,0.013107511537955013,0.0,0.0,0.0,0.0,0.0,0.012292630102895455,0.0,0.0,0.0,0.0,0.0,0.0,0.00860121367296826,0.0
6,equal_impurity_centrality,0,0.0,0.03403990365060198,0.00014386315674737388,0.0,0.0,0.14108489825753134,0.0,0.3250766456339537,0.26764120989444395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006748697029850269,0.1296436928966367,0.0,0.0,0.0,0.0,0.05160411820081568,0.0,0.0,0.0,0.017746466907316696,0.0,0.0,0.0,0.0,0.0,0.02253480723803701,0.0,0.0,0.0,0.0,0.0,0.0,0.009809524460930542,0.0
7,relevance_impurity_centrality,0,0.0,0.09474820520041718,0.0009823747928744443,0.0,0.0,0.08617397347186344,0.0,0.43834500590224973,0.061136878670612585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01339081629455835,0.07951073434741836,0.0,0.0,0.0,0.0,0.15438762667164393,0.0,0.0,0.0,0.012003426812417731,0.0,0.0,0.0,0.0,0.0,0.04035787553304213,0.0,0.0,0.0,0.0,0.0,0.0,0.018963082302902088,0.0
8,support_relevance_centrality,0,0.0,0.03583062511035704,0.015789014750119575,0.0,0.0,0.14212313429195628,0.0,0.7578369803622689,3.476461210312662e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01157936257327579,1.0168100371340186e-05,0.0,0.0,0.0,0.0,0.013137071563220588,0.0,0.0,0.0,0.023157817082655238,0.0,0.0,0.0,0.0,0.0,0.0004351667463989541,0.0,0.0,0.0,0.0,0.0,0.0,0.00010062465476423036,0.0
9,confidence_relevance_centrality,0,0.0,0.029067013669023433,0.008891062322405824,0.0,0.0,0.07397112382179913,0.0,0.7999413603709177,3.631018412983609e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011858283234597962,0.00017722305032921067,0.0,0.0,0.0,0.0,0.046601909279995704,0.0,0.0,0.0,0.02344193587406905,0.0,0.0,0.0,0.0,0.0,0.005552886184434622,0.0,0.0,0.0,0.0,0.0,0.0,0.000493571174014418,0.0
10,lift_relevance_centrality,0,0.0,0.01846332430006634,0.005805587218069803,0.0,0.0,0.04556152195330846,0.0,0.8475627342413621,2.364233821763405e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01284971271995931,0.0001388940555221736,0.0,0.0,0.0,0.0,0.04031831112938279,0.0,0.0,0.0,0.02553080022124247,0.0,0.0,0.0,0.0,0.0,0.0034122043149754267,0.0,0.0,0.0,0.0,0.0,0.0,0.0003545456122893352,0.0
11,equal_relevance_centrality,0,0.0,0.03455033622057758,0.008366169513316422,0.0,0.0,0.06962196499649,0.0,0.7876147077656005,3.4166575879736002e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011261434532353927,0.0002156217097860979,0.0,0.0,0.0,0.0,0.060376794505813555,0.0,0.0,0.0,0.022264451563797926,0.0,0.0,0.0,0.0,0.0,0.005225065962034814,0.0,0.0,0.0,0.0,0.0,0.0,0.0005000365726411614,0.0
12,relevance_relevance_centrality,0,0.0,0.02225410077343102,0.009893941369561095,0.0,0.0,0.08904525099128247,0.0,0.8304165092931248,2.365653660946608e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282972788192689,7.131579863455802e-06,0.0,0.0,0.0,0.0,0.0095592567489867,0.0,0.0,0.0,0.025658888707072534,0.0,0.0,0.0,0.0,0.0,0.00027264617935448827,0.0,0.0,0.0,0.0,0.0,0.0,6.252281885990804e-05,0.0
13,perm,1,0.0,0.21387283236994228,0.4084778420038536,0.0,0.0,0.3815028901734104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007707129094412262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007707129094412283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011560693641618538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,gini,1,0.0,0.7392633287653834,0.0029539317736282833,0.0,0.0,0.11704567026204987,0.011175085328153467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011951893696617144,0.0,0.0,0.005276263740654771,0.005659485273485405,0.023749361368089004,0.0,0.0,0.0,0.0,0.06463699202563643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012412148600573212,0.0,0.0058758391657291785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,shap,1,0.0,0.32644425353254436,0.11406839777363272,0.0,0.0,0.33008036127186086,0.0037495078097485703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05178935556767424,0.0,0.0,0.019103615152977448,0.0,0.046577069213485506,0.0,0.0,0.0,0.0,0.04055723170374768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03532472874640579,0.0,0.032305479227922616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,support_impurity_centrality,1,0.0,0.1872438188751654,0.000341497682900569,0.0,0.0,0.29863037685658855,0.015372159355332897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04085609463975971,0.0,0.0,0.0323057029584074,0.007680928390754366,0.06934090475137845,0.0,0.0,0.0,0.0,0.28458378904629755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02457030058780508,0.0,0.03907442685561003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,confidence_impurity_centrality,1,0.0,0.13364982420435154,4.0263101793990125e-05,0.0,0.0,0.09935371416853192,0.00373897652047278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014945702213462121,0.0,0.0,0.15972354221616106,0.0009524668322775824,0.2209734291765634,0.0,0.0,0.0,0.0,0.15012197948222902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017191334257986673,0.0,0.19930876782617002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,lift_impurity_centrality,1,0.0,0.13743184509507475,3.4874875172718257e-05,0.0,0.0,0.07115211046952409,0.0032654941316228514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010461183368087377,0.0,0.0,0.16589348598049353,0.0010519332570401595,0.24548233012771117,0.0,0.0,0.0,0.0,0.14506998874293967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014332448068407222,0.0,0.20582430588392647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,equal_impurity_centrality,1,0.0,0.12922579442968835,5.473760869673626e-05,0.0,0.0,0.11503923563077945,0.003522509542342342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018544382096264238,0.0,0.0,0.1621466683549444,0.0009063886647427593,0.20772923472581956,0.0,0.0,0.0,0.0,0.1565668816099983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017678288180153663,0.0,0.1885858791565702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,relevance_impurity_centrality,1,0.0,0.2164330177048651,0.00025173174848222964,0.0,0.0,0.26336714583740756,0.019788251736384443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027972853736102293,0.0,0.0,0.04027329395647814,0.009926743970855072,0.07705309132640596,0.0,0.0,0.0,0.0,0.2777377388245331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017976320010482282,0.0,0.04921981114800383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,support_relevance_centrality,1,0.0,0.015889847134433588,0.011974997091380574,0.0,0.0,0.9036823307250135,0.024378818614396773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002100591936287076,0.0,0.0,9.187002812916355e-08,0.012186928064883853,0.012862405097658576,0.0,0.0,0.0,0.0,0.01647526963924773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044856417922478593,0.0,1.556474453970655e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,confidence_relevance_centrality,1,0.0,0.048697155185702265,0.006176388120945957,0.0,0.0,0.8491367265994078,0.02237857211271794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00537528945046518,0.0,0.0,4.225252329668566e-06,0.011017260306037842,0.008858756017536912,0.0,0.0,0.0,0.0,0.04661184203858149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00172977072533522,0.0,1.4014190939788464e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,lift_relevance_centrality,1,0.0,0.033243156900164834,0.004119827724181557,0.0,0.0,0.8794080502818249,0.025171852138920304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035514359917411713,0.0,0.0,3.772019646897595e-06,0.012475434017652354,0.005692228834744013,0.0,0.0,0.0,0.0,0.03509370886834289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001231002656216719,0.0,9.530566564354314e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,equal_relevance_centrality,1,0.0,0.05493994693746066,0.00593640894620117,0.0,0.0,0.8355788729580755,0.02092725076655018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006709368345736466,0.0,0.0,4.830220728258755e-06,0.010306104740543616,0.008576388815178885,0.0,0.0,0.0,0.0,0.05519258081448694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018154149283366242,0.0,1.283252670165461e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,relevance_relevance_centrality,1,0.0,0.009801410733887983,0.007501078769550183,0.0,0.0,0.9223780210687699,0.026850622437987037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012202936310321982,0.0,0.0,8.732143859391794e-08,0.013423757284474544,0.008039337965452366,0.0,0.0,0.0,0.0,0.010510728305412213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745500804224527,0.0,1.12401572553197e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,perm,2,0.0,0.25155925155925146,0.0,0.0,0.0,0.3201663201663201,0.03534303534303542,0.22661122661122654,0.0,0.0,0.0,0.04365904365904368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04158004158004161,0.0,0.0,0.0,0.0,0.058212058212058215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022869022869022933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,gini,2,0.0,0.6642739241864101,0.0,0.0,0.0,0.06664423096513708,0.012262395608395574,0.1158487972591697,0.0,0.0,0.0,0.006335358699709329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010649684876611245,0.028785626888864237,0.0,0.0,0.0,0.0,0.05729104499595353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034909222595804444,0.0,0.0,0.0,0.0,0.0,0.0,0.002999713923944867,0.0
28,shap,2,0.0,0.2935499003746398,0.0,0.0,0.0,0.14715196298939254,0.02508148388065044,0.21191879984379866,0.0,0.0,0.0,0.055681197540023666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00952268365917284,0.08920010688066049,0.0,0.0,0.0,0.0,0.06676046016288992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09827602035328681,0.0,0.0,0.0,0.0,0.0,0.0,0.0028573843154850354,0.0
29,support_impurity_centrality,2,0.0,0.1669077859771818,0.0,0.0,0.0,0.02901586872763025,0.0012162794577008247,0.33839845018230696,0.0,0.0,0.0,0.015775662713653698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029676639272192135,0.05723651612852189,0.0,0.0,0.0,0.0,0.18712685524314285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1674713157293669,0.0,0.0,0.0,0.0,0.0,0.0,0.03388360191327559,0.0
30,confidence_impurity_centrality,2,0.0,0.08543781587066063,0.0,0.0,0.0,0.08894049536892606,0.003258657382250108,0.1345366749973628,0.0,0.0,0.0,0.012426695504098894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007344946963103763,0.03802168725934026,0.0,0.0,0.0,0.0,0.05012608817360568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0991865454322745,0.0,0.0,0.0,0.0,0.0,0.0,0.4873308453151707,0.0
31,lift_impurity_centrality,2,0.0,0.07477437177846134,0.0,0.0,0.0,0.11919851012748747,0.004464642620086173,0.11094577021767618,0.0,0.0,0.0,0.01132921981597618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001011391669080743,0.04588815400569857,0.0,0.0,0.0,0.0,0.054633866340830284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10291086061442012,0.0,0.0,0.0,0.0,0.0,0.0,0.47484321281028286,0.0
32,equal_impurity_centrality,2,0.0,0.09523750770139822,0.0,0.0,0.0,0.08838635232593581,0.0028873152467518643,0.1393858260708129,0.0,0.0,0.0,0.013511944853825711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000722668461443983,0.04500904186747771,0.0,0.0,0.0,0.0,0.062056308783543304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12100625005127441,0.0,0.0,0.0,0.0,0.0,0.0,0.431796784637536,0.0
33,relevance_impurity_centrality,2,0.0,0.14207659272307663,0.0,0.0,0.0,0.038169099858200405,0.0011665663834503706,0.33062910405024953,0.0,0.0,0.0,0.013659202908711178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004457318509292203,0.07587994919360766,0.0,0.0,0.0,0.0,0.18980759259494234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16304956572910198,0.0,0.0,0.0,0.0,0.0,0.0,0.04110500804936768,0.0
34,support_relevance_centrality,2,0.0,0.09816864942284974,0.0,0.0,0.0,0.5740767900613312,0.041008695477329,0.24382128119749863,0.0,0.0,0.0,8.145734211777347e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02240919794709864,0.00041087783566150644,0.0,0.0,0.0,0.0,0.017984466119891594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020385725401044314,0.0,0.0,0.0,0.0,0.0,0.0,1.2056117570676553e-08,0.0
35,confidence_relevance_centrality,2,0.0,0.13969056855748194,0.0,0.0,0.0,0.27854649810906384,0.02078225183990914,0.44491394705605414,0.0,0.0,0.0,0.0006679914171746515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03773200859318418,0.002514612833467638,0.0,0.0,0.0,0.0,0.056148139726188866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019001505297371137,0.0,0.0,0.0,0.0,0.0,0.0,2.476570104491374e-06,0.0
36,lift_relevance_centrality,2,0.0,0.10511019900460605,0.0,0.0,0.0,0.2083267060738018,0.016058627336022865,0.5476452341822697,0.0,0.0,0.0,0.0005144216847301214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05003937166766113,0.002902160167569571,0.0,0.0,0.0,0.0,0.05495790055595752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014442102480996427,0.0,0.0,0.0,0.0,0.0,0.0,3.276846384794129e-06,0.0
37,equal_relevance_centrality,2,0.0,0.1391597867055086,0.0,0.0,0.0,0.2568243705815185,0.019138634013014487,0.4509895590481924,0.0,0.0,0.0,0.000639519039751887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03474787566831963,0.0028437169786212886,0.0,0.0,0.0,0.0,0.0779013877020359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017752869558847858,0.0,0.0,0.0,0.0,0.0,0.0,2.280704189447484e-06,0.0
