,method,fold,selected,metric,value
0,perm,0,2,A,0.8854166666666666
1,perm,0,2,MCC,0.7716444219563081
2,perm,0,3,A,0.8854166666666666
3,perm,0,3,MCC,0.7499854515656585
4,perm,0,4,A,0.90625
5,perm,0,4,MCC,0.7966771528304466
6,perm,0,5,A,0.9166666666666666
7,perm,0,5,MCC,0.8191376992166521
8,perm,0,6,A,0.90625
9,perm,0,6,MCC,0.7966771528304466
10,perm,0,7,A,0.875
11,perm,0,7,MCC,0.7271428173249503
12,perm,0,8,A,0.875
13,perm,0,8,MCC,0.7271428173249503
14,perm,0,9,A,0.875
15,perm,0,9,MCC,0.7271428173249503
16,perm,0,10,A,0.875
17,perm,0,10,MCC,0.7271428173249503
18,perm,0,11,A,0.875
19,perm,0,11,MCC,0.7271428173249503
20,perm,0,12,A,0.875
21,perm,0,12,MCC,0.7271428173249503
22,perm,0,13,A,0.875
23,perm,0,13,MCC,0.7271428173249503
24,perm,0,14,A,0.875
25,perm,0,14,MCC,0.7271428173249503
26,perm,0,15,A,0.8645833333333334
27,perm,0,15,MCC,0.7042971527455699
28,perm,0,16,A,0.8645833333333334
29,perm,0,16,MCC,0.7042971527455699
30,perm,0,17,A,0.875
31,perm,0,17,MCC,0.7271428173249503
32,perm,0,18,A,0.8645833333333334
33,perm,0,18,MCC,0.7042971527455699
34,perm,0,19,A,0.875
35,perm,0,19,MCC,0.7271428173249503
36,gini,0,2,A,0.8541666666666666
37,gini,0,2,MCC,0.7023125448316844
38,gini,0,3,A,0.8645833333333334
39,gini,0,3,MCC,0.7206647241937287
40,gini,0,4,A,0.875
41,gini,0,4,MCC,0.7271428173249503
42,gini,0,5,A,0.8854166666666666
43,gini,0,5,MCC,0.7519116081424536
44,gini,0,6,A,0.875
45,gini,0,6,MCC,0.7271428173249503
46,gini,0,7,A,0.875
47,gini,0,7,MCC,0.7271428173249503
48,gini,0,8,A,0.875
49,gini,0,8,MCC,0.7271428173249503
50,gini,0,9,A,0.875
51,gini,0,9,MCC,0.7271428173249503
52,gini,0,10,A,0.875
53,gini,0,10,MCC,0.7271428173249503
54,gini,0,11,A,0.875
55,gini,0,11,MCC,0.7271428173249503
56,gini,0,12,A,0.875
57,gini,0,12,MCC,0.7271428173249503
58,gini,0,13,A,0.875
59,gini,0,13,MCC,0.7271428173249503
60,gini,0,14,A,0.875
61,gini,0,14,MCC,0.7271428173249503
62,gini,0,15,A,0.875
63,gini,0,15,MCC,0.7271428173249503
64,gini,0,16,A,0.875
65,gini,0,16,MCC,0.7271428173249503
66,gini,0,17,A,0.8645833333333334
67,gini,0,17,MCC,0.7042971527455699
68,gini,0,18,A,0.875
69,gini,0,18,MCC,0.7271428173249503
70,gini,0,19,A,0.8645833333333334
71,gini,0,19,MCC,0.7042971527455699
72,shap,0,2,A,0.8854166666666666
73,shap,0,2,MCC,0.7716444219563081
74,shap,0,3,A,0.8020833333333334
75,shap,0,3,MCC,0.566223365199127
76,shap,0,4,A,0.90625
77,shap,0,4,MCC,0.8084614418620003
78,shap,0,5,A,0.90625
79,shap,0,5,MCC,0.8084614418620003
80,shap,0,6,A,0.875
81,shap,0,6,MCC,0.7271428173249503
82,shap,0,7,A,0.875
83,shap,0,7,MCC,0.7271428173249503
84,shap,0,8,A,0.875
85,shap,0,8,MCC,0.7271428173249503
86,shap,0,9,A,0.875
87,shap,0,9,MCC,0.7271428173249503
88,shap,0,10,A,0.875
89,shap,0,10,MCC,0.7271428173249503
90,shap,0,11,A,0.8645833333333334
91,shap,0,11,MCC,0.7042971527455699
92,shap,0,12,A,0.875
93,shap,0,12,MCC,0.7271428173249503
94,shap,0,13,A,0.8645833333333334
95,shap,0,13,MCC,0.7042971527455699
96,shap,0,14,A,0.875
97,shap,0,14,MCC,0.7271428173249503
98,shap,0,15,A,0.875
99,shap,0,15,MCC,0.7271428173249503
100,shap,0,16,A,0.875
101,shap,0,16,MCC,0.7271428173249503
102,shap,0,17,A,0.8645833333333334
103,shap,0,17,MCC,0.7042971527455699
104,shap,0,18,A,0.8645833333333334
105,shap,0,18,MCC,0.7042971527455699
106,shap,0,19,A,0.875
107,shap,0,19,MCC,0.7271428173249503
108,support_impurity_centrality,0,2,A,0.9166666666666666
109,support_impurity_centrality,0,2,MCC,0.8191376992166521
110,support_impurity_centrality,0,3,A,0.8958333333333334
111,support_impurity_centrality,0,3,MCC,0.7776898497790747
112,support_impurity_centrality,0,4,A,0.8854166666666666
113,support_impurity_centrality,0,4,MCC,0.7519116081424536
114,support_impurity_centrality,0,5,A,0.875
115,support_impurity_centrality,0,5,MCC,0.7271428173249503
116,support_impurity_centrality,0,6,A,0.8854166666666666
117,support_impurity_centrality,0,6,MCC,0.7519116081424536
118,support_impurity_centrality,0,7,A,0.875
119,support_impurity_centrality,0,7,MCC,0.7271428173249503
120,support_impurity_centrality,0,8,A,0.875
121,support_impurity_centrality,0,8,MCC,0.7271428173249503
122,support_impurity_centrality,0,9,A,0.875
123,support_impurity_centrality,0,9,MCC,0.7271428173249503
